songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
That's You,0.323,0.624,300921,0.524,0.546,130.078,0.0434,1,-7.034,0.0732,2,0.0,4,0
Last One Left (feat. Missy Elliott & Lil Gray),0.694,0.714,221508,0.428,0.721,138.912,0.283,0,-7.829,0.0958,6,2.52e-06,4,0
Sensational (feat. Davido & Lojay),0.108,0.774,231109,0.611,0.808,100.011,0.126,1,-7.077,0.116,6,0.0,4,0
On My Mama,0.556,0.675,184258,0.546,0.607,77.415,0.0511,0,-7.716,0.167,4,0.00441,4,0
Needs,0.0314,0.78,146792,0.42,0.0952,99.024,0.1,0,-9.218,0.118,6,1.48e-05,4,0
Feelings (feat. J Hus),0.064,0.773,237852,0.685,0.576,95.043,0.309,0,-7.529,0.113,5,6.85e-06,4,0
Me & U,0.117,0.775,192936,0.662,0.257,112.014,0.0408,1,-7.755,0.0928,10,0.0648,4,0
Girls Need Love (Girls Mix) (feat. Victoria Monét),0.432,0.716,158351,0.36,0.147,96.875,0.403,0,-11.168,0.1,6,0.0,4,0
Good Good,0.0378,0.753,247469,0.669,0.584,140.948,0.104,0,-4.914,0.122,7,0.0,4,0
Best Time,0.201,0.806,82581,0.342,0.937,92.985,0.075,1,-7.503,0.0758,9,0.0176,4,0
How We Roll,0.183,0.777,199513,0.631,0.337,96.015,0.0612,0,-5.649,0.119,8,4.4e-06,4,0
No Fake Love (with YoungBoy Never Broke Again),0.0371,0.642,148997,0.653,0.246,90.384,0.113,1,-4.635,0.203,1,0.0,4,0
From A Woman,0.0354,0.291,182073,0.376,0.174,178.399,0.0502,1,-11.91,0.11,7,2.04e-05,4,0
Bahamas Promises,0.85,0.626,184090,0.309,0.369,117.94,0.0433,1,-10.397,0.117,1,1.31e-05,4,0
Snooze (Acoustic) (feat. Justin Bieber),0.911,0.462,190465,0.331,0.604,141.364,0.0432,0,-8.794,0.15,9,0.0,3,0
Treasure In The Hills,0.0155,0.693,189202,0.503,0.426,76.119,0.0279,1,-3.647,0.133,10,0.00153,3,0
Go Baby,0.928,0.574,236236,0.176,0.497,78.929,0.213,0,-10.924,0.119,8,0.437,4,0
