songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Pissed Off (Interlude),0.26,0.338,125258,0.674,0.261,186.594,0.12,0,-7.165,0.105,0,0.00154,4,0
Valentina,0.665,0.726,154532,0.308,0.279,91.999,0.0389,0,-5.858,0.121,0,0.151,4,0
TANTRUM!,0.0133,0.79,148182,0.772,0.501,132.023,0.108,1,-4.069,0.239,2,0.000151,4,0
WOW!,0.0144,0.754,157213,0.523,0.609,110.956,0.0446,1,-7.782,0.077,7,0.0131,4,0
The Dress,0.266,0.747,184768,0.531,0.785,88.009,0.0477,1,-5.99,0.192,8,1.80E-06,4,0
Upset (feat. Tommy Richman & FELIX!),0.484,0.86,177778,0.486,0.877,134.992,0.176,1,-10.338,0.104,11,0,4,0
AFTER HOURS,0.949,0.285,173027,0.16,0.306,168.512,0.0363,0,-14.875,0.376,1,0.000346,4,0
Sleep Well,0.786,0.358,175875,0.363,0.173,151.15,0.034,1,-10.559,0.142,8,7.04E-06,3,0
Hello,0.0153,0.845,196373,0.57,0.767,119.989,0.0482,0,-6.97,0.114,2,0.14,4,0
Hell N Back (feat. Summer Walker),0.288,0.64,195147,0.673,0.736,209.942,0.563,0,-4.519,0.113,5,2.15E-06,4,0
GMFU,0.15,0.578,241306,0.445,0.202,87.529,0.033,0,-8.53,0.075,10,0.00294,4,0
Disillusioned (with serpentwithfeet),0.0858,0.792,241233,0.547,0.616,96.986,0.0353,1,-3.941,0.0584,9,1.21E-05,4,0
Hypnotherapy,0.696,0.4,205821,0.385,0.237,80.38,0.25,1,-11.785,0.113,5,0.498,3,0
NO SZNS,0.647,0.55,213027,0.34,0.195,112.077,0.0311,1,-7.988,0.121,5,0,4,0
These Four Walls,0.513,0.602,185667,0.344,0.315,137.702,0.149,1,-7.89,0.133,7,0,3,0
Pray,0.389,0.739,175909,0.692,0.432,87.986,0.129,0,-8.482,0.111,10,0.00432,4,0
Live For Me,0.579,0.584,211667,0.478,0.118,95.973,0.0305,1,-6.905,0.153,0,0.000316,4,0
Wet Dream,0.0868,0.859,161739,0.725,0.685,92,0.0753,1,-6.317,0.132,1,0.0118,4,0
TODAY,0.848,0.494,241667,0.406,0.0853,159.957,0.0559,0,-8.472,0.0765,0,5.63E-06,4,0
Don't Be Alarmed,0.658,0.644,230835,0.427,0.664,85.995,0.0402,1,-5.725,0.0968,8,0.0458,4,0
close with desires (feat. thuy),0.33,0.395,205750,0.599,0.233,74.687,0.118,0,-6.911,0.108,11,1.85E-06,1,0
Spirit 2.0,0.606,0.741,289963,0.491,0.503,150.553,0.0512,1,-11.416,0.141,5,0.283,4,0
bake (feat. Jordan Ward),0.104,0.773,178920,0.587,0.447,90.999,0.0411,1,-6.124,0.0909,1,0,4,0
only u,0.804,0.576,146128,0.312,0.377,147.769,0.0325,1,-7.717,0.0937,9,0,3,0
All For You,0.493,0.738,183354,0.511,0.743,138.654,0.0616,0,-9.879,0.205,11,0.0244,4,0
MUSTARD (WITH 6LACK),0.323,0.694,201464,0.439,0.298,118.896,0.0628,0,-7.56,0.551,5,1.25E-06,4,0
U4EA,0.003,0.353,181459,0.895,0.497,174.621,0.135,1,-9.857,0.535,1,0.000116,3,0
Endless Sky (feat. greek),0.334,0.215,174770,0.564,0.163,76.782,0.0748,1,-8.535,0.114,9,7.03E-05,4,0
STEREO DRIVER,0.0198,0.743,231533,0.711,0.842,97.992,0.0353,1,-5.953,0.0893,7,5.75E-05,4,0
Sweet (feat. Fousheé),0.178,0.745,132787,0.574,0.888,91.973,0.0565,1,-7.217,0.0781,5,1.36E-05,4,0
Another Half,0.727,0.463,148645,0.33,0.21,76.22,0.122,1,-10.452,0.104,4,8.82E-06,4,0
THE GLADE,0.761,0.29,222457,0.439,0.329,76.484,0.0501,0,-9.852,0.237,2,0.0241,4,0
Slowly,0.601,0.588,173661,0.479,0.28,94.562,0.0353,1,-7.656,0.15,7,0,3,0
Sleeper,0.306,0.477,244271,0.537,0.489,96.485,0.0545,1,-7.329,0.129,9,0.00221,4,0
Build Me A House,0.0688,0.447,181482,0.413,0.304,84.717,0.315,0,-9.788,0.104,8,0.00166,4,0
GO GO GO,0.0475,0.644,145893,0.708,0.854,160.045,0.0503,0,-5.481,0.099,2,2.75E-06,4,0
green house,0.146,0.618,117000,0.545,0.364,160.058,0.0479,1,-8.189,0.161,7,0.0452,4,0
Gimme A Chance,0.0114,0.718,211876,0.663,0.532,101.004,0.0956,1,-7.499,0.317,9,0.00173,4,0
Is It Magic?,0.0172,0.836,188727,0.649,0.77,109.968,0.0441,1,-6.576,0.114,5,9.17E-06,4,0
Definition of Love,0.723,0.599,195834,0.424,0.0881,107.918,0.0666,0,-7.833,0.107,10,0.00282,4,0
23rd Street,0.98,0.563,204225,0.294,0.149,76.916,0.0258,1,-11.945,0.121,6,0.0491,4,0
Suspended,0.695,0.655,185371,0.607,0.547,155.974,0.0433,0,-8.064,0.12,5,0.000626,4,0
Where R We Now,0.426,0.721,161055,0.529,0.504,101.916,0.0374,1,-4.778,0.123,1,1.96E-05,4,0
Ohio,0.542,0.653,170617,0.635,0.607,82.986,0.0673,1,-11.652,0.0868,5,0.358,4,0
SATURDAY,0.0757,0.738,159446,0.864,0.555,109.116,0.0695,1,-5.11,0.0675,5,0.000812,4,0
PERFECT PACE,0.205,0.732,158000,0.75,0.697,87.948,0.0636,1,-5.35,0.101,7,0.000182,4,0
444,0.7,0.655,210375,0.342,0.425,96.962,0.0287,1,-11.119,0.0865,0,4.18E-05,4,0
WAISTBIN,0.209,0.614,176276,0.593,0.233,140.933,0.0264,0,-5.647,0.186,11,0.000764,3,0
Love Me,0.228,0.626,273010,0.335,0.444,80.521,0.0437,0,-10.184,0.783,10,0,4,0
Get It B4,0.361,0.575,262388,0.409,0.238,124.868,0.0426,0,-9.303,0.222,1,6.13E-06,4,0
"Hey, Love!",0.443,0.756,149388,0.563,0.583,146.945,0.056,1,-7.987,0.095,0,0.13,4,0
DAYDREAM,0.623,0.723,181144,0.461,0.183,117.983,0.0776,0,-9.747,0.237,4,4.89E-06,4,0
Flow State,0.116,0.696,242581,0.38,0.577,92.964,0.0292,1,-12.01,0.315,7,0.00173,4,0
Cruel,0.729,0.573,186687,0.357,0.204,82.928,0.0253,1,-4.704,0.107,9,0,4,0
Like a Habit,0.318,0.717,166173,0.542,0.594,109.943,0.143,0,-10.381,0.26,11,0,4,0
