songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Lembrar de Você,0.705,0.547,124090,0.562,0.338,76.868,0.0849,1,-5.091,0.0839,8,0.0,3,0
Corro Atrás,0.953,0.566,225920,0.381,0.358,129.923,0.0548,0,-8.045,0.11,1,0.0115,3,0
Coisas Simples,0.78,0.796,165205,0.378,0.539,122.98,0.0422,1,-9.531,0.082,6,0.181,4,0
Mergulhei,0.252,0.592,211524,0.63,0.657,142.823,0.0477,1,-3.933,0.0881,7,4.17e-05,4,0
Te Ouvir,0.497,0.587,215758,0.452,0.382,99.217,0.173,0,-8.711,0.141,5,0.0,4,0
MENTIROSO,0.402,0.487,167936,0.389,0.709,83.575,0.0561,0,-14.662,0.299,2,1.52e-05,4,0
Muito Sou(L),0.309,0.691,222369,0.553,0.544,78.946,0.197,1,-7.861,0.217,2,1.54e-06,3,0
Peça Única,0.335,0.694,171327,0.446,0.186,99.946,0.0503,1,-5.116,0.113,7,0.0,4,0
Sem Tédio,0.825,0.624,180455,0.536,0.341,124.949,0.0657,1,-8.067,0.104,6,1.72e-06,4,0
Uma Vida é Pouco Pra Te Amar,0.764,0.324,212758,0.491,0.32,134.781,0.0342,0,-6.623,0.347,5,0.0,3,0
Freedom,0.631,0.482,218048,0.852,0.678,109.933,0.0738,0,-6.992,0.108,6,0.115,4,0
Caixa Postal,0.68,0.618,183529,0.711,0.284,170.11,0.07,0,-8.171,0.269,1,0.00166,4,0
Te Amar,0.869,0.714,166857,0.279,0.531,105.025,0.0697,0,-12.55,0.189,5,2.23e-05,4,0
Meu Bem,0.426,0.648,184489,0.482,0.538,125.212,0.457,0,-8.098,0.103,6,0.0,4,0
Tempo pra Perder,0.652,0.76,194975,0.394,0.183,100.038,0.0374,0,-8.378,0.107,10,0.000457,4,0
Sintomas de Prazer - Live,0.778,0.615,151104,0.581,0.395,100.008,0.0539,1,-6.243,0.176,0,0.0,4,0
Toque De Veludo,0.652,0.887,157440,0.408,0.503,124.97,0.0977,0,-12.098,0.193,1,0.0,4,0
Novela,0.292,0.67,144578,0.866,0.656,165.985,0.174,0,-6.308,0.0956,5,2.47e-06,4,0
LAMPEJOS,0.0192,0.627,150849,0.614,0.353,108.99,0.0425,0,-4.305,0.112,4,0.0,4,0
Sozinho,0.557,0.753,151475,0.444,0.356,121.816,0.0394,0,-8.165,0.171,1,0.000118,4,0
Pra Mim Não Dá,0.312,0.695,153103,0.43,0.429,116.015,0.156,0,-9.698,0.117,7,0.0,4,0
Não Vou Negar,0.542,0.656,163938,0.508,0.413,154.049,0.242,0,-7.349,0.12,11,0.0,4,0
Delírio,0.669,0.706,227234,0.22,0.488,140.986,0.0338,0,-10.287,0.11,8,0.0,3,0
Conexão,0.599,0.499,156000,0.443,0.392,98.772,0.0615,0,-10.384,0.312,2,1.12e-06,4,0
SEM BARULHO,0.671,0.383,162712,0.475,0.475,125.504,0.085,0,-10.226,0.244,1,1.37e-05,4,0
Por Isso Me Liga,0.209,0.594,219168,0.586,0.578,87.845,0.122,0,-9.258,0.0772,6,2.43e-06,4,0
Faz Arrepiar,0.787,0.83,140833,0.431,0.682,118.057,0.052,0,-9.22,0.0998,11,4.51e-06,4,0
Depois da Briga,0.189,0.612,177716,0.517,0.543,121.472,0.315,1,-7.156,0.17,1,0.0,4,0
Ligação,0.478,0.693,209389,0.252,0.431,66.021,0.298,0,-13.666,0.112,11,3e-05,4,0
Censura e Prazer,0.725,0.517,235135,0.59,0.831,173.623,0.359,0,-8.269,0.104,4,0.0,4,0
Ceder,0.855,0.665,197618,0.357,0.497,117.802,0.0559,0,-6.25,0.147,4,0.0,4,0
Nós,0.704,0.497,168064,0.423,0.199,135.719,0.0306,0,-10.063,0.119,1,0.0,3,0
Peito Aberto,0.703,0.702,156364,0.535,0.273,99.012,0.0735,0,-11.722,0.107,10,7.35e-06,4,0
Teu Sinal,0.285,0.427,189231,0.518,0.274,127.766,0.174,1,-8.347,0.137,11,1.24e-06,4,0
