songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
77 Degrees (feat. 21 Savage),0.0339,0.721,169173,0.455,0.206,142.083,0.168,1,-11.18,0.0909,1,2.6e-05,4,0
Outside All Night (feat. A$AP Rocky & N3WYRKLA),0.0941,0.649,202817,0.667,0.826,141.967,0.123,0,-7.799,0.121,1,0.0,4,0
Rich Baby Daddy (feat. Sexyy Red & SZA),0.0377,0.645,319192,0.729,0.142,146.01,0.0528,1,-4.56,0.384,2,0.0,4,0
Water,0.0856,0.673,200256,0.722,0.519,117.187,0.0755,0,-3.495,0.137,3,0.0,4,0
Sensational (feat. Davido & Lojay),0.108,0.774,231109,0.611,0.808,100.011,0.126,1,-7.077,0.116,6,0.0,4,0
You (feat. Bryson Tiller),0.00972,0.811,161400,0.551,0.506,99.972,0.098,1,-4.242,0.0639,1,2.13e-05,4,0
No Fake Love (with YoungBoy Never Broke Again),0.0371,0.642,148997,0.653,0.246,90.384,0.113,1,-4.635,0.203,1,0.0,4,0
On My Mama,0.556,0.675,184258,0.546,0.607,77.415,0.0511,0,-7.716,0.167,4,0.00441,4,0
Feelings (feat. J Hus),0.064,0.773,237852,0.685,0.576,95.043,0.309,0,-7.529,0.113,5,6.85e-06,4,0
City Boys,0.0851,0.808,153347,0.634,0.569,100.03,0.172,0,-6.764,0.127,2,0.0,4,0
Me & U,0.117,0.775,192936,0.662,0.257,112.014,0.0408,1,-7.755,0.0928,10,0.0648,4,0
Don't Leave,0.00423,0.677,185500,0.78,0.582,104.987,0.0667,1,-5.098,0.619,1,0.0,4,0
Best Time,0.201,0.806,82581,0.342,0.937,92.985,0.075,1,-7.503,0.0758,9,0.0176,4,0
Ave Maria,0.387,0.679,177797,0.529,0.288,135.011,0.0554,0,-7.323,0.118,11,0.0,4,0
Do Something (with Jeremih),0.12,0.589,165637,0.638,0.537,127.91,0.31,1,-6.42,0.177,6,0.0,5,0
jersey luv (turn me on),0.282,0.394,185660,0.572,0.21,105.99,0.0462,0,-11.646,0.0887,1,0.000422,4,0
Whip It Up,0.45,0.663,130959,0.632,0.602,150.108,0.0876,0,-10.267,0.363,8,0.011,4,0
Emotions (feat. Muni Long),0.0525,0.77,198763,0.663,0.591,121.972,0.0966,0,-5.82,0.141,1,0.0,4,0
Girls Need Love (Girls Mix) (feat. Tink),0.563,0.51,158351,0.358,0.16,95.312,0.475,0,-11.492,0.096,6,0.0,4,0
Ride (feat. Young Thug),0.127,0.389,184465,0.513,0.418,75.445,0.131,1,-7.383,0.274,11,0.0,4,0
Members Only (feat. PARTYNEXTDOOR),0.245,0.647,277721,0.34,0.176,91.998,0.0496,0,-8.795,0.107,2,0.0,4,0
WY@,0.59,0.795,208040,0.341,0.313,119.872,0.166,0,-7.869,0.12,7,6.53e-05,4,0
Crash & Burn (feat. Blxst),0.0972,0.416,147097,0.737,0.281,70.674,0.198,0,-7.074,0.756,0,6.59e-05,4,0
Another One Of Me (feat. 21 Savage),0.252,0.67,230311,0.562,0.18,97.919,0.233,0,-7.653,0.242,5,0.0,4,0
IDGAF (feat. Chris Brown and Mariah the Scientist),0.0166,0.688,195000,0.733,0.287,127.951,0.0504,0,-4.573,0.129,10,0.0,4,0
Favorite Girl (feat. Offset),0.431,0.476,183347,0.616,0.314,97.946,0.103,0,-8.458,0.0961,0,3.61e-06,4,0
Doin Yo Stuff,0.0738,0.837,156030,0.394,0.616,100.047,0.0424,1,-9.03,0.0958,7,1.26e-06,4,0
Link Up,0.186,0.753,153738,0.679,0.795,100.007,0.0598,0,-5.334,0.108,6,0.0,4,0
Who Told You (feat. Drake),0.147,0.646,208917,0.743,0.891,151.314,0.338,0,-4.572,0.101,11,0.0,5,0
Push (feat. Omah Lay),0.563,0.837,178983,0.383,0.5,118.015,0.164,0,-10.527,0.087,9,0.289,4,0
6 BUSINESS DAYS (feat. Projexx),0.112,0.653,159477,0.484,0.23,60.83,0.273,1,-6.337,0.267,8,1.8e-06,5,0
Back,0.577,0.583,138131,0.621,0.472,90.337,0.1,1,-7.084,0.109,1,0.000242,4,0
PAMELA,0.351,0.567,213977,0.689,0.507,115.319,0.274,0,-7.533,0.29,1,0.0,5,0
Motion (feat. Chris Brown),0.0376,0.65,147391,0.735,0.529,115.042,0.0809,0,-8.399,0.118,0,0.0,4,0
Alright,0.279,0.788,173913,0.528,0.464,107.941,0.0729,1,-6.688,0.103,11,0.00257,4,0
Needs,0.0314,0.78,146792,0.42,0.0952,99.024,0.1,0,-9.218,0.118,6,1.48e-05,4,0
Angels in Tibet,0.242,0.799,142613,0.682,0.538,140.052,0.128,0,-5.973,0.143,5,0.272,4,0
HIGH,0.0845,0.807,192278,0.847,0.797,105.987,0.0521,1,-6.541,0.0959,11,0.105,4,0
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,0.0569,0.855,215467,0.678,0.852,99.029,0.189,1,-6.276,0.412,1,3.69e-05,4,0
Out of Luck,0.0786,0.767,230987,0.764,0.848,101.845,0.252,0,-4.601,0.535,5,0.0,4,0
You Don't Know Nothin',0.799,0.649,151868,0.385,0.399,121.13,0.0394,0,-4.397,0.41,7,0.0,4,0
"Know Better (feat. CKay, Seun Kuti & Egypt 80)",0.511,0.579,169987,0.659,0.524,127.657,0.156,0,-6.554,0.0881,3,0.042,5,0
Summer Too Hot,0.155,0.681,188505,0.71,0.254,89.957,0.0574,0,-6.643,0.367,11,3.02e-05,4,0
Messi,0.709,0.596,189632,0.612,0.812,189.798,0.31,0,-6.25,0.155,10,2.01e-05,4,0
Party No Dey Stop (with JayO & Byron Messia) - JayO & Byron Messia Remix,0.349,0.866,152109,0.651,0.911,118.003,0.0435,1,-7.935,0.0799,8,0.000126,4,0
Rora,0.715,0.612,143762,0.438,0.626,105.384,0.131,0,-12.078,0.131,6,0.0551,4,0
Drink Water (feat. Jon Bellion and Fireboy DML),0.249,0.688,169708,0.592,0.455,104.823,0.0726,1,-4.974,0.0798,8,0.0,4,0
Summer,0.0256,0.755,169729,0.745,0.86,150.024,0.228,0,-7.157,0.122,8,3.93e-05,4,0
Homicide (with Jessie Reyez),0.11,0.765,181903,0.74,0.592,105.013,0.178,1,-7.192,0.0748,1,0.0,4,0
She'll Be Ok,0.201,0.681,130968,0.431,0.331,120.856,0.0973,0,-7.794,0.149,2,0.0,4,0
Low Waist,0.578,0.798,183093,0.618,0.784,96.992,0.197,0,-8.295,0.129,1,0.0,4,0
Waistline,0.106,0.636,166071,0.706,0.616,124.215,0.34,1,-2.955,0.311,11,0.0,5,0
Bestie,0.118,0.665,174545,0.705,0.202,99.247,0.0426,1,-7.389,0.133,2,0.0243,4,0
Fatima,0.686,0.808,166166,0.513,0.618,126.868,0.0427,0,-5.368,0.107,4,2.27e-05,4,0
Summers Around The Corner,0.465,0.719,228391,0.62,0.36,117.098,0.035,1,-5.506,0.0893,7,0.0,4,0
Rainy Days,0.739,0.633,179560,0.454,0.282,74.828,0.0875,0,-8.016,0.148,9,0.0,4,0
It's You (feat. BIA),0.275,0.586,132537,0.519,0.262,133.991,0.0283,0,-5.391,0.121,10,6.25e-05,4,0
My Jeans,0.129,0.821,161286,0.838,0.942,113.997,0.0429,0,-4.462,0.0733,7,0.00428,4,0
"Stay Part 1 (feat. Kalan.FrFr, K-Ci Hailey and Jeremih)",0.531,0.63,218827,0.533,0.336,117.965,0.0616,1,-6.215,0.126,10,0.0,4,0
30 FLOORS UP,0.311,0.594,144786,0.47,0.564,81.028,0.133,1,-7.012,0.146,8,0.0,4,0
Stand By Me,0.569,0.625,183706,0.33,0.451,104.739,0.0319,1,-9.091,0.117,6,0.0,4,0
If I’m Lying,0.632,0.468,197248,0.206,0.74,85.944,0.036,0,-14.729,0.118,3,0.0,4,0
BODY TOUCHING BODY (feat. Victoria Monét),0.336,0.763,157061,0.712,0.634,82.001,0.0834,0,-3.901,0.232,11,3.25e-06,4,0
Wossop,0.0371,0.707,230000,0.538,0.42,105.14,0.294,1,-9.712,0.094,0,0.000103,4,0
Sossaup,0.272,0.826,155685,0.822,0.238,105.119,0.0694,0,-5.43,0.105,1,0.124,4,0
How We Roll,0.183,0.777,199513,0.631,0.337,96.015,0.0612,0,-5.649,0.119,8,4.4e-06,4,0
Good Good,0.0378,0.753,247469,0.669,0.584,140.948,0.104,0,-4.914,0.122,7,0.0,4,0
Serious,0.853,0.634,113415,0.535,0.507,81.605,0.149,0,-6.064,0.107,8,4.83e-06,4,0
shelter,0.00478,0.596,171797,0.679,0.626,86.012,0.144,1,-5.315,0.14,9,1.09e-05,4,0
I Ain't Playin,0.00115,0.792,110560,0.601,0.131,167.991,0.077,1,-5.57,0.0929,8,0.369,4,0
Off The Wall,0.0515,0.365,159064,0.598,0.166,150.058,0.104,0,-3.014,0.333,4,0.0114,4,0
Sister Wives,0.0738,0.868,198843,0.609,0.801,120.948,0.0614,0,-8.642,0.359,10,0.0,4,0
Talk To Me Nice,0.61,0.803,229844,0.49,0.207,75.515,0.0617,1,-8.4,0.112,8,0.0289,4,0
"Echoes (feat. Tony Duardo, Manana & Lusanda)",0.347,0.715,245042,0.426,0.588,110.025,0.107,1,-11.326,0.178,1,0.000761,4,0
DELRESTO (ECHOES) (feat. Beyoncé),0.461,0.674,274138,0.609,0.509,116.066,0.045,0,-6.306,0.328,2,0.0,4,0
Hypnotic,0.0353,0.733,187607,0.627,0.447,103.035,0.0389,0,-8.054,0.201,10,5.85e-06,4,0
Not My Problem,0.149,0.762,171431,0.826,0.385,98.013,0.0973,0,-6.112,0.0989,10,0.0,4,0
Gone (with Bryson Tiller),0.0406,0.667,213987,0.627,0.22,103.047,0.0523,0,-6.121,0.434,5,0.00101,4,0
Oasis,0.258,0.52,164848,0.417,0.572,98.217,0.29,0,-7.292,0.1,6,0.000719,4,0
What It Is (Solo Version),0.061,0.74,189825,0.758,0.757,171.925,0.0921,0,-5.851,0.0967,1,1.44e-06,4,0
Whatchu Want,0.267,0.445,175643,0.486,0.628,126.441,0.137,0,-8.875,0.128,7,0.0,5,0
Main One (feat. Tyga),0.0623,0.694,199440,0.64,0.155,98.991,0.0882,0,-7.254,0.147,10,0.0,4,0
Room (with Adekunle Gold & 2 Chainz),0.422,0.847,219182,0.79,0.519,110.013,0.268,1,-10.417,0.0729,0,9.05e-06,4,0
Talibans II,0.227,0.914,176453,0.505,0.54,102.937,0.31,0,-6.77,0.132,9,2.73e-06,4,0
22,0.693,0.534,142120,0.821,0.509,111.032,0.107,1,-7.463,0.078,5,1.02e-05,5,0
The Weekend,0.143,0.679,207131,0.772,0.778,93.201,0.199,0,-3.26,0.0662,8,7.15e-06,4,0
Questions,0.00453,0.568,193901,0.668,0.659,93.15,0.103,1,-6.84,0.0554,8,1.07e-05,1,0
EGO - ESTA. Remix,0.000581,0.789,164211,0.695,0.642,114.022,0.095,0,-7.514,0.179,11,0.488,4,0
Silver Platter (From Barbie The Album),0.085,0.635,165671,0.498,0.523,72.014,0.0392,0,-8.724,0.174,5,3.76e-06,4,0
Don't Say Love - R&B Version,0.138,0.661,180131,0.638,0.47,131.832,0.0681,1,-4.365,0.194,0,0.0,4,0
Stop (Askin' Me 4Shyt),0.0726,0.613,171673,0.538,0.53,81.893,0.0479,1,-8.688,0.145,1,0.000227,4,0
Something In My Eye,0.464,0.739,164118,0.776,0.313,136.102,0.17,0,-6.78,0.0728,7,0.0,4,0
Hate (feat. Lojay & Highlyy) - Remix,0.171,0.703,212667,0.642,0.745,90.044,0.107,0,-3.615,0.359,0,0.0,4,0
When It Comes To You,0.464,0.526,168075,0.459,0.342,139.387,0.164,0,-8.784,0.229,0,0.0,4,0
Hate Me (feat. Coi Leray),0.296,0.894,195465,0.336,0.479,117.968,0.105,0,-9.403,0.112,1,0.0,4,0
So I Can Sleep Sound (feat. WSTRN),0.0139,0.641,167572,0.622,0.311,176.042,0.086,0,-7.613,0.272,7,7.93e-05,4,0
My Baby (feat. Ayra Starr) [Remix],0.296,0.62,197383,0.347,0.412,95.884,0.257,0,-14.994,0.208,10,0.0,4,0
FIREGUN (feat. Fireboy DML),0.0117,0.852,194400,0.599,0.535,100.006,0.221,0,-8.075,0.0859,11,0.000846,4,0
Parade on Cleveland (feat. Drake),0.444,0.528,228267,0.298,0.313,166.116,0.556,0,-13.044,0.111,3,7.76e-06,1,0
"To Summer, From Cole - Audio Hug",0.706,0.735,147667,0.459,0.583,74.052,0.273,0,-10.164,0.101,6,2.04e-06,4,0
R e s e n t m e n t,0.56,0.571,260220,0.212,0.39,94.164,0.044,1,-16.206,0.0742,5,0.28,4,0
Snooze,0.141,0.559,201800,0.551,0.392,143.008,0.132,1,-7.231,0.11,5,0.0,4,0
ICU (with Justin Timberlake) - Remix,0.615,0.499,218567,0.488,0.311,124.739,0.0601,1,-6.161,0.152,8,0.0,3,0
Breaking Point (feat. Victoria Monét) [Remix],0.182,0.485,310893,0.473,0.295,111.093,0.0623,1,-9.774,0.14,1,0.0,4,0
Stressed (feat. Summer Walker),0.237,0.644,144344,0.504,0.302,94.04,0.162,1,-8.145,0.138,2,2.55e-06,4,0
DIAMOND (I NEED LOVE),0.593,0.445,188150,0.502,0.571,79.726,0.302,0,-10.178,0.0809,0,5.96e-06,4,0
INTOXYCATED (feat. Dave),0.12,0.788,212000,0.708,0.598,105.006,0.108,1,-4.615,0.0985,1,9.4e-06,4,0
Just Like Me,0.183,0.537,150361,0.52,0.457,82.438,0.15,0,-7.251,0.109,6,0.0,4,0
Gyaldem Riddim (feat. PsychoYP),0.395,0.486,227879,0.658,0.546,66.138,0.373,0,-6.842,0.119,4,6.83e-05,5,0
Curious (feat. Fabolous),0.0495,0.805,195579,0.616,0.764,84.978,0.313,1,-4.866,0.0632,1,0.0,4,0
Don't Give It Away (with Chris Brown),0.246,0.645,206144,0.68,0.448,95.426,0.15,0,-6.687,0.103,5,0.0,4,0
1st Lady,0.0325,0.453,192078,0.741,0.642,84.409,0.19,0,-6.554,0.18,11,0.0,4,0
3 of Us,0.299,0.508,176939,0.617,0.623,69.947,0.114,0,-5.669,0.0928,1,0.0,3,0
Beach,0.08,0.79,126000,0.562,0.812,160.037,0.287,1,-4.47,0.186,1,0.015,5,0
Where You Go (with Khalid),0.167,0.71,163675,0.55,0.506,131.971,0.0386,0,-7.773,0.129,0,5.09e-05,4,0
How Soon,0.485,0.515,189740,0.374,0.282,87.363,0.117,1,-8.762,0.123,7,0.0,5,0
ego talkin',0.0574,0.493,174638,0.489,0.0799,132.018,0.0375,1,-7.885,0.104,10,7.28e-06,4,0
Won't Go,0.0348,0.546,128317,0.486,0.571,63.819,0.0701,0,-6.616,0.184,5,0.0118,3,0
WHITE CROCS (with Ryan Trey),0.617,0.648,147773,0.43,0.0788,92.041,0.0356,1,-9.594,0.259,1,0.000567,4,0
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),0.0112,0.784,260962,0.7,0.204,126.015,0.0396,1,-5.289,0.163,1,1.76e-05,4,0
Double Back,0.193,0.68,159245,0.547,0.156,80.006,0.12,0,-5.645,0.126,4,0.0,4,0
Down Bad,0.963,0.47,175348,0.0647,0.145,128.764,0.0597,0,-21.468,0.3,7,0.000991,4,0
Undercover Lover,0.316,0.576,152072,0.524,0.556,105.135,0.215,0,-9.342,0.131,10,0.302,4,0
Waste My Time,0.0745,0.784,180732,0.531,0.436,120.053,0.0579,0,-5.874,0.093,5,2.03e-05,4,0
On + On (with Justine Skye),0.348,0.672,169655,0.606,0.65,116.1,0.279,1,-9.903,0.19,8,9.95e-06,4,0
Do You Mind?,0.365,0.795,147174,0.652,0.657,96.753,0.49,1,-8.438,0.0837,1,5.05e-06,4,0
soso (with Ozuna),0.426,0.739,202013,0.669,0.609,104.971,0.119,0,-7.557,0.11,3,0.00474,4,0
capture my soul (feat. Joeboy),0.389,0.905,211200,0.548,0.328,100.007,0.155,1,-7.855,0.123,0,0.0538,4,0
Work Hard Play Hard,0.115,0.714,211057,0.697,0.844,99.881,0.395,0,-8.093,0.337,11,0.0,4,0
Fly Girl (feat. Missy Elliott),0.406,0.698,205385,0.846,0.726,103.968,0.0981,0,-3.735,0.204,8,0.0,4,0
4 Me (feat. Kali Uchis),0.149,0.51,160427,0.709,0.764,118.353,0.167,1,-5.408,0.45,8,0.0,5,0
Trouble,0.39,0.624,195394,0.54,0.344,89.47,0.0884,1,-6.259,0.196,2,2.76e-06,4,0
Big Mistake,0.0893,0.464,160821,0.748,0.365,103.371,0.241,0,-6.189,0.16,3,0.0,4,0
My Darling,0.484,0.772,193500,0.501,0.824,102.052,0.167,1,-8.691,0.111,1,0.127,4,0
Mad Apology,0.0358,0.868,180884,0.536,0.767,120.032,0.0557,0,-8.297,0.146,10,0.00576,4,0
Aint Mine,0.259,0.628,156014,0.688,0.0747,150.071,0.229,0,-7.563,0.138,7,2.84e-06,4,0
Kilimanjaro (with BEAM),0.414,0.537,191953,0.371,0.604,84.313,0.183,0,-11.034,0.121,5,0.00417,5,0
Temporary (feat. Don Toliver),0.339,0.739,178333,0.535,0.195,133.009,0.0424,0,-4.451,0.101,6,0.000219,4,0
butterflies (feat. Rexx Life Raj),0.212,0.678,170611,0.481,0.317,135.024,0.0751,1,-12.471,0.199,0,0.0,4,0
HALLELUJAH (feat. Blaqbonez),0.0518,0.77,137143,0.456,0.661,111.983,0.0344,0,-8.964,0.12,0,0.00657,4,0
Love Me Right,0.259,0.597,132022,0.625,0.635,99.956,0.0921,0,-6.282,0.349,2,0.0,4,0
JACKIE BROWN,0.65,0.726,169014,0.353,0.503,137.66,0.105,1,-10.273,0.224,10,0.002,4,0
Therapy,0.0103,0.55,200000,0.698,0.497,188.02,0.314,0,-5.707,0.18,5,3.31e-06,4,0
Be Easy,0.0874,0.822,132053,0.488,0.439,123.893,0.643,0,-9.24,0.154,5,0.0,4,0
"Soweto (with Don Toliver, Rema & Tempoe)",0.0541,0.719,219500,0.756,0.647,105.024,0.0761,0,-5.392,0.109,5,0.0,4,0
