songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Last One Left (feat. Missy Elliott & Lil Gray),0.694,0.714,221508,0.428,0.721,138.912,0.283,0,-7.829,0.0958,6,2.52e-06,4,0
Drifted (feat. Jayla Darden),0.599,0.53,250221,0.595,0.572,134.689,0.0852,0,-7.114,0.107,5,0.396,4,0
Moonlight,0.713,0.895,160581,0.58,0.368,122.55,0.199,0,-7.373,0.0934,1,0.000589,4,0
LOW TIDE,0.178,0.804,146250,0.493,0.276,139.998,0.0433,1,-5.165,0.444,1,0.000427,4,0
That's You,0.323,0.624,300921,0.524,0.546,130.078,0.0434,1,-7.034,0.0732,2,0.0,4,0
Space (feat. H.E.R.),0.813,0.441,361238,0.258,0.0609,117.541,0.0326,1,-10.906,0.112,11,0.0127,4,0
Waterfall (I Adore You),0.518,0.455,292940,0.549,0.219,152.02,0.0616,1,-10.255,0.261,1,0.0657,4,0
Eyes Closed,0.367,0.718,272837,0.519,0.661,89.984,0.0569,1,-8.3,0.072,1,0.00277,4,0
Bahamas Promises,0.85,0.626,184090,0.309,0.369,117.94,0.0433,1,-10.397,0.117,1,1.31e-05,4,0
Girls Need Love (Girls Mix) (feat. Tyla),0.528,0.698,158351,0.331,0.147,96.932,0.271,0,-11.443,0.104,6,0.0,4,0
Someday,0.381,0.733,161530,0.551,0.503,132.853,0.0439,1,-6.958,0.342,7,0.000188,4,0
2 Step In The Living Room,0.208,0.654,270080,0.544,0.448,97.029,0.0357,1,-8.194,0.113,6,0.00557,4,0
Sensational (feat. Davido & Lojay),0.108,0.774,231109,0.611,0.808,100.011,0.126,1,-7.077,0.116,6,0.0,4,0
WAIT LET ME GET THE TISSUE,0.572,0.652,167711,0.525,0.765,110.49,0.158,0,-7.176,0.131,11,9.93e-05,5,0
WY@,0.59,0.795,208040,0.341,0.313,119.872,0.166,0,-7.869,0.12,7,6.53e-05,4,0
Me & U,0.117,0.775,192936,0.662,0.257,112.014,0.0408,1,-7.755,0.0928,10,0.0648,4,0
Greatest Gift (feat. Lila Iké),0.0878,0.633,192800,0.535,0.718,170.013,0.189,0,-6.577,0.0999,7,1.34e-05,4,0
Waiting For You (feat. Naomi Sharon),0.531,0.776,219999,0.537,0.586,82.02,0.0406,0,-5.459,0.111,10,0.0316,4,0
Desire,0.65,0.622,293979,0.229,0.206,113.477,0.0504,0,-12.052,0.125,7,0.0786,5,0
Inclination Compass (Tenderness),0.888,0.526,188167,0.213,0.269,81.3,0.0873,0,-12.993,0.0849,8,0.000863,4,0
& Then Some,0.159,0.633,219913,0.458,0.374,77.932,0.0822,1,-7.231,0.161,0,0.0,4,0
