songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Never Too Much,0.125,0.734,230467,0.586,0.762,109.933,0.129,1,-11.866,0.0367,2,0.0,4,0
Smooth Operator - Single Version,0.238,0.734,258693,0.58,0.962,119.336,0.0321,0,-6.619,0.0298,9,0.0006,4,0
All I Do,0.0842,0.849,306667,0.5,0.88,117.217,0.0915,1,-16.705,0.107,11,0.0,4,0
Love T.K.O.,0.367,0.779,299120,0.543,0.842,145.869,0.0923,0,-10.544,0.0541,8,0.000443,4,0
"Outstanding - Original 12"" Mix",0.372,0.792,375400,0.476,0.82,98.871,0.0412,1,-11.707,0.027,6,0.0157,4,0
If It Isn't Love,0.0915,0.588,309840,0.856,0.781,97.968,0.0378,0,-12.418,0.365,5,2.62e-05,4,0
P.Y.T. (Pretty Young Thing),0.172,0.894,239027,0.67,0.961,127.209,0.0474,0,-9.406,0.0691,11,0.000363,4,0
Every Little Step,0.00756,0.47,238080,0.932,0.921,200.733,0.0777,0,-5.699,0.0649,1,0.000109,4,0
If Only You Knew,0.853,0.555,285333,0.272,0.169,133.159,0.0411,1,-14.986,0.0748,4,0.00156,4,0
Love Come Down,0.00206,0.897,364947,0.431,0.857,115.552,0.0481,0,-12.234,0.0377,3,0.0395,4,0
Nights Over Egypt,0.499,0.752,279800,0.36,0.636,110.768,0.0334,0,-14.317,0.106,9,0.291,4,0
"She's A Bad Mama Jama (She's Built, She's Stacked) - Single Version",0.117,0.879,234707,0.581,0.629,114.226,0.0723,1,-6.078,0.0435,0,0.0,4,0
Square Biz,0.148,0.769,383707,0.922,0.723,113.621,0.119,1,-7.479,0.5,2,0.000197,4,0
Let It Whip,0.112,0.826,287000,0.9,0.954,132.099,0.0411,0,-4.383,0.0875,9,0.00136,4,0
I'm Coming Out,0.185,0.72,323347,0.828,0.768,110.071,0.0462,1,-9.211,0.0839,5,0.429,4,0
Ain't Nobody,0.189,0.8,280853,0.878,0.816,104.282,0.0434,1,-7.109,0.14,1,0.000104,4,0
Back To Life (However Do You Want Me),0.0673,0.819,232133,0.611,0.653,101.001,0.129,1,-7.428,0.0477,7,7.7e-05,4,0
Funkin' for Jamaica,0.436,0.854,280933,0.776,0.656,111.212,0.217,1,-9.85,0.0549,8,0.175,4,0
Don't Disturb This Groove,0.286,0.521,317875,0.878,0.841,159.625,0.0542,1,-8.597,0.136,9,6.8e-06,4,0
Before I Let Go,0.179,0.776,236107,0.556,0.964,103.055,0.0346,0,-5.648,0.12,6,1.48e-06,4,0
How Will I Know,0.201,0.832,275533,0.544,0.928,119.49,0.0442,1,-12.697,0.632,6,0.000139,4,0
Never Knew Love Like This Before,0.489,0.695,326587,0.703,0.753,113.168,0.0336,1,-8.938,0.0855,11,1.7e-05,4,0
I Feel for You,0.0145,0.698,343400,0.912,0.797,124.917,0.0675,1,-8.993,0.279,11,0.0225,4,0
Don't Look Any Further - Single Version,0.0426,0.753,243480,0.677,0.906,95.144,0.0424,0,-7.575,0.0699,9,0.0037,4,0
Juicy Fruit,0.15,0.88,272400,0.527,0.789,96.863,0.133,1,-8.122,0.0288,4,0.0447,4,0
I Wanna Dance with Somebody (Who Loves Me),0.207,0.709,291293,0.824,0.867,118.818,0.0453,1,-8.824,0.0888,1,0.000307,4,0
Somebody Else's Guy,0.00353,0.745,386027,0.728,0.623,103.015,0.0574,1,-9.843,0.099,6,0.0011,4,0
Let's Groove,0.121,0.869,339320,0.648,0.9,125.035,0.0633,0,-8.698,0.126,11,2.17e-05,4,0
Give It To Me Baby,0.114,0.706,248133,0.727,0.965,119.55,0.0456,1,-8.714,0.174,11,7.7e-05,4,0
On My Own,0.337,0.62,290840,0.402,0.483,92.093,0.0264,1,-12.964,0.312,5,6.13e-05,4,0
Tell Me If You Still Care,0.071,0.578,416733,0.675,0.944,81.135,0.0391,0,-14.388,0.0988,4,0.00638,4,0
Fool's Paradise,0.127,0.748,300733,0.499,0.845,100.262,0.0648,0,-14.177,0.116,5,0.000107,4,0
Hurry Up This Way Again,0.279,0.765,353680,0.572,0.801,149.829,0.0508,0,-9.14,0.0669,9,0.000416,4,0
Groove Me,0.0217,0.8,273760,0.624,0.784,107.932,0.0704,1,-13.931,0.496,1,0.0,4,0
Get Down On It - Single Version,0.156,0.877,211680,0.56,0.969,110.86,0.0621,1,-8.529,0.0535,7,0.000139,4,0
Casanova,0.0447,0.711,262373,0.844,0.802,92.956,0.0891,0,-3.927,0.0672,4,1.18e-05,4,0
Feel the Fire,0.566,0.428,332867,0.367,0.331,100.742,0.0657,1,-12.35,0.102,5,0.0,3,0
Lovin' You,0.611,0.623,318253,0.409,0.613,74.75,0.0357,1,-10.802,0.2,7,2.54e-06,4,0
I Wonder If I Take You Home,0.0405,0.844,404213,0.647,0.58,115.164,0.0877,1,-9.248,0.106,7,0.132,4,0
Cutie Pie,0.337,0.859,325280,0.676,0.967,102.847,0.0596,1,-5.515,0.0307,2,0.000829,4,0
