songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
On My Mama,0.551,0.481,186678,0.539,0.621,153.277,0.108,0,-7.865,0.12,4,0.00539,4,0
Water,0.0856,0.673,200256,0.722,0.519,117.187,0.0755,0,-3.495,0.137,3,0.0,4,0
Come Thru (with Usher),0.159,0.679,181013,0.728,0.46,152.001,0.154,0,-3.092,0.107,5,0.0,4,0
Summer Too Hot,0.155,0.681,188505,0.71,0.254,89.957,0.0574,0,-6.643,0.367,11,3.02e-05,4,0
Low,0.425,0.698,181080,0.546,0.335,145.044,0.0559,0,-7.234,0.16,0,0.00314,4,0
What It Is (Solo Version),0.061,0.74,189825,0.758,0.757,171.925,0.0921,0,-5.851,0.0967,1,1.44e-06,4,0
Distraction,0.0266,0.66,235693,0.698,0.396,120.959,0.0467,0,-6.266,0.296,5,0.0,4,0
Smoke (feat. Lucky Daye),0.207,0.803,186157,0.387,0.5,136.038,0.0723,0,-5.839,0.217,2,1.98e-06,4,0
Lost,0.0272,0.913,234093,0.603,0.497,123.061,0.226,1,-4.892,0.167,8,0.000503,4,0
Love On Top,0.0848,0.652,267413,0.749,0.651,94.103,0.0886,1,-5.248,0.604,0,0.0,4,0
Fly Girl (feat. Missy Elliott),0.406,0.698,205385,0.846,0.726,103.968,0.0981,0,-3.735,0.204,8,0.0,4,0
Skate,0.037,0.708,203123,0.598,0.698,112.027,0.0291,1,-8.365,0.17,5,0.0,4,0
Gone (with Bryson Tiller),0.0406,0.667,213987,0.627,0.22,103.047,0.0523,0,-6.121,0.434,5,0.00101,4,0
Love Like This,0.00364,0.767,275707,0.551,0.796,100.904,0.0616,1,-7.328,0.0451,0,0.0,4,0
Alright,0.279,0.788,173913,0.528,0.464,107.941,0.0729,1,-6.688,0.103,11,0.00257,4,0
Right Here - Human Nature Radio Mix,0.0299,0.601,226800,0.74,0.672,94.013,0.0573,0,-5.043,0.0937,9,0.332,4,0
Call Me Every Day (feat. Wizkid),0.111,0.73,146840,0.634,0.777,171.824,0.184,0,-7.194,0.0986,4,9.63e-06,4,0
Questions,0.00453,0.568,193901,0.668,0.659,93.15,0.103,1,-6.84,0.0554,8,1.07e-05,1,0
Boyfriend,0.081,0.759,226740,0.599,0.682,127.109,0.0898,1,-7.221,0.0558,8,0.0,4,0
AMERICA HAS A PROBLEM,0.00348,0.789,198898,0.614,0.108,126.035,0.0579,1,-6.491,0.283,1,0.00152,4,0
Finesse,0.00781,0.741,191000,0.798,0.939,104.953,0.0718,0,-5.342,0.0232,5,0.0,4,0
Float (feat. Seun Kuti & Egypt 80),0.22,0.793,239013,0.499,0.311,126.046,0.119,0,-5.272,0.872,10,0.0,4,0
Guess,0.447,0.384,193173,0.632,0.373,80.046,0.403,0,-6.736,0.094,7,0.00047,4,0
Don't Waste My Time (feat. Ella Mai),0.125,0.701,199720,0.778,0.609,99.956,0.201,1,-5.076,0.0828,2,0.0,4,0
Know Myself,0.44,0.78,167493,0.495,0.529,100.043,0.0466,0,-7.454,0.165,5,0.00122,4,0
4 Me (feat. Kali Uchis),0.149,0.51,160427,0.709,0.764,118.353,0.167,1,-5.408,0.45,8,0.0,5,0
Honey,0.119,0.694,299827,0.824,0.675,95.833,0.0909,1,-6.756,0.152,1,7.15e-06,4,0
City Boys,0.0851,0.808,153347,0.634,0.569,100.03,0.172,0,-6.764,0.127,2,0.0,4,0
CUFF IT,0.0368,0.78,225389,0.689,0.642,115.042,0.141,1,-5.668,0.0698,7,9.69e-06,4,0
That's What I Like,0.013,0.853,206693,0.56,0.86,134.066,0.0406,1,-4.961,0.0944,1,0.0,4,0
Long Way 2 Go,0.057,0.589,220640,0.655,0.675,105.272,0.0488,1,-8.138,0.372,8,0.000353,4,0
Undecided,0.288,0.407,185000,0.612,0.488,96.943,0.13,0,-4.387,0.198,5,0.0,4,0
You Make Me Wanna...,0.0359,0.761,219120,0.639,0.922,164.088,0.0539,0,-7.577,0.0945,5,0.0,4,0
Knock You Down,0.00952,0.588,326187,0.877,0.645,155.165,0.16,1,-4.78,0.171,8,0.0,4,0
Like This (feat. Eve),0.00193,0.676,215853,0.73,0.489,178.117,0.267,1,-5.963,0.0627,1,0.0,4,0
Don't Walk Away,0.147,0.831,216373,0.915,0.881,102.979,0.128,0,-7.501,0.196,10,0.00571,4,0
Partition,0.029,0.418,319467,0.441,0.172,175.928,0.283,0,-11.522,0.306,11,0.0707,4,0
Return of the Mack,0.00631,0.715,213093,0.833,0.612,95.487,0.108,1,-5.379,0.164,2,0.0,4,0
"Bills, Bills, Bills",0.139,0.845,256027,0.576,0.461,127.641,0.153,0,-5.15,0.0764,11,0.0,4,0
Go Crazy,0.316,0.755,176960,0.578,0.581,94.148,0.145,0,-8.932,0.25,0,0.0,4,0
More Than A Woman,0.0793,0.655,229867,0.649,0.759,86.968,0.089,0,-5.653,0.117,1,0.000393,4,0
Have Mercy,0.297,0.903,148779,0.535,0.508,130.022,0.0742,1,-6.434,0.345,9,0.0,4,0
Simmer (feat. Burna Boy),0.227,0.693,167187,0.744,0.64,91.722,0.0496,0,-3.94,0.244,5,0.0,4,0
Formation,0.00532,0.896,206080,0.621,0.818,121.966,0.237,0,-6.857,0.196,5,0.0,4,0
Love in This Club (feat. Young Jeezy),0.0572,0.573,259720,0.712,0.346,140.012,0.0732,1,-5.976,0.167,0,0.0,4,0
He Wasn't Man Enough,0.00916,0.739,261933,0.947,0.766,88.009,0.0411,0,-1.916,0.326,11,3.14e-05,4,0
Champagne Shit,0.325,0.749,143200,0.605,0.638,118.958,0.0494,1,-4.515,0.518,5,0.0,4,0
Work,0.0752,0.725,219320,0.534,0.558,91.974,0.0946,1,-6.238,0.0919,11,0.0,4,0
Wassup,0.0956,0.612,226520,0.731,0.416,101.03,0.146,0,-7.748,0.0999,4,1.25e-05,4,0
Loyal (feat. Lil Wayne & Tyga),0.0168,0.841,264947,0.522,0.616,99.059,0.049,0,-5.963,0.188,10,1.37e-06,4,0
Spotlight,0.0448,0.707,250107,0.724,0.659,108.984,0.051,0,-3.887,0.072,11,0.0,4,0
Woman,0.0888,0.824,172627,0.764,0.881,107.998,0.0854,0,-4.175,0.117,5,0.00294,4,0
Not Nice,0.0253,0.554,202661,0.497,0.721,96.556,0.0868,1,-9.309,0.12,0,0.00123,3,0
It's Not Right But It's Okay,0.162,0.805,292400,0.802,0.531,127.924,0.1,1,-7.076,0.0698,1,0.000883,4,0
Body Do,0.139,0.802,142810,0.632,0.726,120.977,0.0366,1,-5.363,0.366,8,0.0954,4,0
Oops (Oh My) [feat. Missy Elliott],0.233,0.66,237800,0.536,0.775,159.963,0.29,0,-8.786,0.111,10,0.00669,4,0
Try Again,0.0789,0.794,284640,0.662,0.683,93.053,0.249,0,-4.913,0.0937,6,0.0,4,0
