songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Charm,0.581,0.768,204750,0.663,0.559,96.039,0.0355,0,-6.901,0.0974,4,0.0,4,0
Snooze,0.141,0.559,201800,0.551,0.392,143.008,0.132,1,-7.231,0.11,5,0.0,4,0
Outside,0.125,0.729,199924,0.513,0.775,97.254,0.0554,1,-7.507,0.112,6,0.0,4,0
Sittin' On Top Of The World,0.0321,0.789,159372,0.839,0.656,98.021,0.0589,1,-4.24,0.108,8,0.00476,4,0
Best Part (feat. H.E.R.),0.808,0.524,209831,0.364,0.436,75.24,0.0367,1,-10.209,0.1,7,0.0,4,0
On My Mama,0.551,0.481,186678,0.539,0.621,153.277,0.108,0,-7.865,0.12,4,0.00539,4,0
Broken Clocks,0.131,0.692,231253,0.684,0.406,112.912,0.155,1,-7.364,0.156,6,0.0,4,0
DO 4 LOVE,0.913,0.367,189463,0.142,0.1,69.827,0.0319,0,-12.717,0.107,6,0.00367,4,0
After Last Night (with Thundercat & Bootsy Collins),0.0297,0.651,249444,0.703,0.647,140.051,0.0816,0,-8.958,0.0608,0,0.0,4,0
CUFF IT - WETTER REMIX,0.434,0.66,249407,0.688,0.65,118.05,0.0564,1,-6.34,0.489,7,0.0,4,0
Gonna Love Me,0.402,0.514,166998,0.506,0.312,88.044,0.28,0,-7.095,0.191,10,2.56e-05,4,0
Lost Me,0.525,0.428,180954,0.443,0.2,87.934,0.101,0,-8.955,0.219,2,1.76e-05,4,0
Smoke (feat. Lucky Daye),0.207,0.803,186157,0.387,0.5,136.038,0.0723,0,-5.839,0.217,2,1.98e-06,4,0
Pink + White,0.667,0.545,184516,0.545,0.549,159.94,0.107,1,-7.362,0.417,9,5.48e-05,3,0
Go Baby,0.928,0.574,236236,0.176,0.497,78.929,0.213,0,-10.924,0.119,8,0.437,4,0
Let Me Go,0.689,0.601,216524,0.481,0.484,152.994,0.0634,0,-8.366,0.109,7,0.0033,4,0
Good Days,0.499,0.436,279204,0.655,0.412,121.002,0.0583,0,-8.37,0.688,1,8.1e-06,4,0
Nobody But You,0.742,0.637,213214,0.299,0.364,83.872,0.0366,1,-11.314,0.359,7,0.0,4,0
Found (feat. Brent Faiyaz),0.625,0.821,209454,0.412,0.333,109.977,0.0341,1,-7.795,0.0985,7,1.64e-05,4,0
ALL MINE,0.428,0.617,216063,0.378,0.22,141.967,0.0315,1,-8.54,0.11,9,9.16e-05,4,0
Hrs & Hrs,0.579,0.52,204317,0.546,0.634,137.419,0.213,0,-4.991,0.112,8,0.0,3,0
Could've Been (feat. Bryson Tiller),0.649,0.45,252747,0.352,0.408,102.679,0.267,0,-11.733,0.249,1,3.8e-06,4,0
No Love (with SZA),0.17,0.707,231498,0.618,0.517,133.876,0.19,0,-5.825,0.293,1,0.0,4,0
I Hate U,0.507,0.535,174000,0.388,0.412,106.703,0.155,0,-9.805,0.11,7,0.0,5,0
Get You (feat. Kali Uchis),0.422,0.658,278180,0.294,0.358,74.038,0.0321,0,-8.533,0.0749,4,5.2e-05,4,0
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),0.333,0.468,588139,0.652,0.39,140.223,0.0722,1,-4.912,0.55,0,0.000318,4,0
Higher,0.509,0.609,196204,0.581,0.528,102.964,0.277,1,-10.854,0.283,2,0.0,3,0
B.S. (feat. H.E.R.),0.554,0.617,212867,0.525,0.377,135.781,0.12,0,-10.426,0.135,8,1.1e-06,4,0
JACKIE BROWN,0.65,0.726,169014,0.353,0.503,137.66,0.105,1,-10.273,0.224,10,0.002,4,0
Nights Like This (feat. Ty Dolla $ign),0.367,0.61,201788,0.725,0.291,146.163,0.15,1,-5.131,0.154,8,0.0,4,0
SUGAR,0.449,0.453,204533,0.538,0.516,122.973,0.0638,1,-8.212,0.19,1,0.0,4,0
Valentina,0.665,0.726,154532,0.308,0.279,91.999,0.0389,0,-5.858,0.121,0,0.151,4,0
Intimidated (feat. H.E.R.),0.0167,0.738,207840,0.75,0.342,112.009,0.219,0,-3.654,0.174,11,0.00976,4,0
"GRAVITY (FEAT. TYLER, THE CREATOR)",0.173,0.539,214693,0.615,0.493,163.924,0.252,0,-8.746,0.144,1,0.0056,4,0
Sure Thing,0.0267,0.684,195373,0.607,0.498,81.001,0.1,0,-8.127,0.191,11,0.000307,4,0
Over,0.48,0.677,205276,0.541,0.379,103.369,0.0571,0,-6.057,0.125,6,0.0,4,0
Kill Bill,0.0521,0.644,153947,0.735,0.418,88.98,0.0391,1,-5.747,0.161,8,0.144,4,0
Come Thru (with Usher),0.159,0.679,181013,0.728,0.46,152.001,0.154,0,-3.092,0.107,5,0.0,4,0
What You Did (feat. Ella Mai),0.148,0.734,206947,0.511,0.727,124.995,0.0592,0,-4.905,0.29,0,0.0,4,0
