songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Pray For Me,0.882,0.591,224606,0.308,0.408,107.823,0.0711,0,-9.455,0.115,4,3.62e-06,4,0
Do You Think About Me?,0.394,0.573,189474,0.685,0.368,76.009,0.162,0,-6.447,0.159,6,0.0,4,0
You Got Me,0.381,0.39,249677,0.701,0.459,86.52,0.167,0,-10.968,0.12,4,0.00012,4,0
Is He Man Enough?,0.00425,0.483,178584,0.64,0.718,125.025,0.115,1,-7.7,0.0674,1,1.37e-05,5,0
Goodbye (Pt Two),0.754,0.445,277492,0.324,0.51,123.664,0.0836,0,-11.365,0.0793,8,0.0,3,0
Timber,0.867,0.403,208000,0.582,0.804,195.784,0.44,0,-11.608,0.111,11,0.0,4,0
Rachel and Ross,0.146,0.749,166094,0.497,0.659,96.005,0.245,1,-9.582,0.147,8,9.02e-05,4,0
Pray On It,0.422,0.455,211436,0.615,0.625,80.198,0.4,0,-6.874,0.531,7,1.28e-06,4,0
EVOL,0.227,0.814,151439,0.452,0.453,130.012,0.0405,0,-12.158,0.118,11,0.0384,4,0
Everything & More,0.481,0.325,232836,0.672,0.139,88.038,0.0457,0,-5.106,0.0799,3,1.35e-05,5,0
Show Up,0.0268,0.819,147539,0.392,0.79,131.972,0.0773,1,-6.43,0.092,10,0.00111,4,0
SOUL,0.917,0.358,173777,0.254,0.437,78.216,0.0665,0,-13.941,0.0903,1,7.83e-06,3,0
Make It Home Alive,0.157,0.67,177715,0.784,0.927,170.043,0.0887,0,-6.928,0.0732,4,0.0145,4,0
Better Off,0.272,0.602,158982,0.502,0.429,83.715,0.115,0,-9.204,0.12,11,1.13e-05,4,0
Sexy & You Know It,0.434,0.575,177235,0.285,0.306,86.653,0.0696,1,-15.711,0.481,7,0.000174,5,0
Honey Child,0.608,0.595,238187,0.574,0.532,139.408,0.0446,1,-7.869,0.0908,7,9.51e-06,4,0
MONSTER!,0.0274,0.649,170711,0.571,0.62,90.125,0.144,1,-8.265,0.169,0,9.44e-06,4,0
LA LA LAND,0.455,0.548,154921,0.652,0.571,80.197,0.403,1,-6.668,0.908,11,0.0,4,0
Biting These Bullets,0.907,0.458,202667,0.365,0.493,95.852,0.0586,1,-6.248,0.122,1,0.0,4,0
Whispers In The Wind,0.657,0.416,216000,0.552,0.297,79.939,0.0406,0,-10.258,0.159,4,0.117,4,0
Morning,0.131,0.341,206996,0.649,0.583,77.706,0.062,0,-6.962,0.65,1,6.01e-06,4,0
Superstar,0.187,0.611,162469,0.667,0.752,129.977,0.135,1,-5.474,0.104,7,0.0,4,0
Fornever,0.505,0.504,107801,0.332,0.126,141.908,0.0463,1,-10.259,0.11,2,5.66e-06,3,0
DON'T STRAY,0.156,0.724,220467,0.696,0.592,103.003,0.0383,1,-7.847,0.114,6,0.0337,4,0
Nobody Gotta Know,0.833,0.668,131418,0.142,0.198,134.147,0.0488,0,-14.142,0.11,0,0.000374,4,0
What She Wants,0.0884,0.632,227614,0.82,0.489,92.984,0.0945,0,-7.431,0.114,1,0.00104,4,0
Ghost,0.115,0.675,226798,0.26,0.712,149.796,0.0494,0,-9.862,0.124,1,0.0,3,0
Contraband,0.601,0.563,210732,0.567,0.512,81.926,0.0522,0,-8.913,0.0984,2,7.51e-06,4,0
Only 2,0.281,0.689,176067,0.554,0.676,77.021,0.0513,1,-7.553,0.123,9,0.0,4,0
Can't Decide,0.31,0.74,203298,0.655,0.385,132.196,0.0349,1,-6.311,0.108,1,0.0,4,0
Perceive,0.324,0.607,213861,0.274,0.261,100.982,0.0438,0,-16.196,0.212,3,0.00206,4,0
Easy,0.0998,0.628,250942,0.848,0.664,169.923,0.196,0,-6.963,0.0767,4,0.000185,4,0
Come Get Me Out,0.195,0.574,202293,0.572,0.368,77.434,0.0334,1,-5.392,0.112,11,3.47e-05,4,0
Blindsided,0.561,0.592,206618,0.574,0.183,135.955,0.0432,1,-8.054,0.0946,6,0.00269,4,0
give you everything,0.159,0.503,172591,0.436,0.638,112.641,0.0359,1,-7.11,0.117,5,0.0,4,0
Someone Else,0.49,0.676,224857,0.476,0.235,118.009,0.0313,1,-5.874,0.108,5,0.0002,4,0
7teen,0.775,0.809,175583,0.286,0.597,89.998,0.0415,1,-7.804,0.148,1,0.0,3,0
Heartbreaks and Hangovers,0.525,0.456,188308,0.632,0.405,97.45,0.096,1,-4.653,0.109,1,0.0,3,0
Sick of Me,0.341,0.717,173009,0.596,0.607,136.073,0.0717,0,-6.423,0.205,10,0.00342,4,0
Painkiller,0.625,0.695,220227,0.415,0.517,119.922,0.0569,0,-7.8,0.121,9,0.00115,4,0
Keep on,0.627,0.796,224288,0.415,0.425,120.029,0.0386,1,-11.881,0.127,0,0.255,4,0
Sabrina,0.561,0.367,172931,0.3,0.13,93.684,0.0419,0,-15.71,0.168,1,0.00111,4,0
33s,0.664,0.617,224000,0.491,0.561,150.142,0.0545,1,-12.935,0.201,0,0.252,4,0
100 days of summer ..,0.276,0.453,160576,0.618,0.464,138.868,0.0431,0,-13.423,0.0969,8,0.0172,4,0
Diamonds 'n' Pearls,0.717,0.678,193784,0.552,0.371,120.205,0.0632,0,-8.688,0.375,2,8.24e-06,4,0
redemption,0.0177,0.773,138000,0.775,0.569,160.023,0.23,0,-4.17,0.141,5,0.693,4,0
T.B.D.,0.923,0.46,183432,0.563,0.327,128.998,0.109,0,-7.686,0.182,9,0.000592,4,0
If Only (MajorStage Live),0.244,0.609,185562,0.508,0.203,105.998,0.0469,0,-5.036,0.0691,0,0.0,4,0
I Met God,0.795,0.705,262454,0.472,0.325,141.99,0.0391,1,-7.1,0.341,2,0.0586,4,0
Undone,0.223,0.535,200000,0.431,0.68,86.427,0.064,1,-10.152,0.074,11,0.0245,4,0
Everybody's Gotta Learn Sometimes,0.0549,0.541,228000,0.387,0.164,119.966,0.0346,1,-9.538,0.0804,8,2.65e-05,4,0
Fallin',0.827,0.575,182213,0.243,0.418,159.18,0.0955,1,-7.668,0.117,1,0.00183,3,0
Flowers (Remix),0.189,0.513,224235,0.444,0.524,171.939,0.133,1,-9.729,0.153,6,0.0,4,0
My Way,0.0527,0.643,201966,0.623,0.588,86.014,0.0683,0,-6.427,0.0832,1,0.0,4,0
Purple and Orange,0.0649,0.484,154737,0.638,0.459,151.682,0.16,1,-6.396,0.136,4,1.75e-05,3,0
Making Love,0.598,0.634,196071,0.284,0.451,111.933,0.041,0,-12.035,0.115,11,3.12e-05,3,0
Damage,0.112,0.74,138773,0.513,0.743,193.954,0.284,0,-6.032,0.114,4,0.00443,4,0
Like This,0.673,0.474,229342,0.428,0.259,80.127,0.0367,1,-7.143,0.348,5,0.0,4,0
Taking Control,0.574,0.5,211254,0.337,0.139,123.839,0.0383,1,-9.218,0.277,1,0.0,3,0
American Spirit Blues,0.61,0.345,201442,0.786,0.375,96.753,0.0988,1,-5.634,0.164,6,0.0014,3,0
Willing & Able,0.0842,0.515,198050,0.675,0.36,79.973,0.0313,1,-7.275,0.204,8,0.00219,4,0
Dreams,0.58,0.432,139363,0.811,0.391,166.378,0.283,0,-11.078,0.112,11,0.00762,4,0
Lover Girl,0.421,0.664,112566,0.486,0.446,112.743,0.0871,0,-7.714,0.097,2,0.00032,4,0
2AM,0.664,0.682,157612,0.429,0.65,134.16,0.285,1,-7.547,0.106,8,0.0,4,0
Pyrite,0.0673,0.788,149369,0.551,0.508,106.865,0.115,0,-6.91,0.0721,5,0.00189,4,0
B.O.T.B.,0.092,0.693,216249,0.376,0.859,159.875,0.345,0,-9.343,0.142,4,1.37e-06,4,0
i don't really know,0.277,0.746,159886,0.419,0.799,87.977,0.0809,0,-9.359,0.104,3,0.035,4,0
Clutch,0.271,0.507,193227,0.569,0.491,145.147,0.067,0,-8.158,0.482,2,0.0,4,0
Moisturize,0.36,0.674,208205,0.47,0.558,83.971,0.118,0,-4.707,0.237,0,4.28e-05,4,0
A Rose Told Me About Love (with my brother),0.902,0.599,181875,0.16,0.213,128.295,0.0513,0,-18.089,0.113,5,0.0176,4,0
SHE,0.265,0.522,288360,0.582,0.894,135.053,0.0382,0,-9.061,0.101,3,0.14,4,0
What Could I Do? (Smile),0.592,0.438,189867,0.343,0.173,124.512,0.0324,1,-9.932,0.106,4,0.0,4,0
