songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Play That Funky Music,0.0435,0.814,300000,0.672,0.933,109.394,0.0619,1,-12.068,0.061,9,0,4,0
Uptown Funk (feat. Bruno Mars),0.00801,0.856,269667,0.609,0.928,114.988,0.0824,1,-7.223,0.0344,0,8.15E-05,4,0
Get Down On It - Single Version,0.156,0.877,211680,0.56,0.969,110.86,0.0621,1,-8.529,0.0535,7,0.000139,4,0
Think,0.251,0.687,139733,0.63,0.926,110.051,0.0389,1,-10.817,0.221,6,0,4,0
Super Freak,0.22,0.838,205467,0.794,0.962,132.446,0.0531,0,-8.245,0.0575,9,0,4,0
Green Onions,0.767,0.816,176333,0.514,0.912,136.837,0.0339,1,-8.741,0.0899,10,0.949,4,0
Pick Up the Pieces,0.0548,0.768,239908,0.853,0.889,107.234,0.0427,0,-5.915,0.0188,10,0.13,4,0
Let It Whip,0.112,0.826,287000,0.9,0.954,132.099,0.0411,0,-4.383,0.0875,9,0.00136,4,0
Got To Give It Up - Pt. 1,0.234,0.855,255133,0.847,0.89,122.644,0.042,1,-9.019,0.345,2,0.00062,4,0
Get Up Offa That Thing,0.339,0.883,250387,0.631,0.782,118.084,0.42,1,-11.473,0.942,2,5.19E-06,4,0
Fantastic Voyage,0.134,0.816,370893,0.602,0.963,114.768,0.0755,1,-11.924,0.152,7,4.23E-05,4,0
Funkin' for Jamaica,0.178,0.822,282080,0.854,0.691,111.301,0.237,1,-6.7,0.0343,8,0.00574,4,0
Controversy,0.00996,0.852,435333,0.321,0.629,119.378,0.0528,0,-17.139,0.0684,1,0.239,4,0
Give Up The Funk (Tear The Roof Off The Sucker),0.0659,0.717,348067,0.665,0.774,105.693,0.0523,1,-9.503,0.326,9,0,4,0
Memphis Soul Stew,0.259,0.724,179413,0.601,0.886,113.227,0.0634,0,-10.805,0.111,11,0.237,4,0
Clean up Woman,0.566,0.865,169533,0.652,0.829,90.081,0.143,1,-9.046,0.0833,5,0.000919,4,0
Why Did You Do It - Remastered,0.0554,0.748,211907,0.755,0.886,98.284,0.0782,0,-7.28,0.0628,6,0,4,0
Galaxy,0.0545,0.719,494107,0.743,0.488,118.284,0.0638,1,-10.735,0.0782,0,0.00248,4,0
Think (About It),0.204,0.773,204160,0.561,0.717,112.582,0.225,1,-10.224,0.0575,9,0,4,0
Mr. Big Stuff,0.29,0.886,164560,0.491,0.971,93.236,0.171,1,-12.589,0.229,8,2.46E-06,4,0
If You Want Me to Stay,0.28,0.843,180493,0.48,0.762,101.993,0.0492,0,-11.574,0.108,11,0.000782,4,0
In the Stone,0.0964,0.656,288480,0.662,0.717,114.612,0.0493,1,-10.346,0.0853,4,0.000612,4,0
Master Blaster (Jammin'),0.04,0.877,307933,0.422,0.97,131.103,0.0546,0,-14.933,0.182,10,0.000406,4,0
Cissy Strut,0.172,0.507,186853,0.763,0.708,176.193,0.0945,1,-12.732,0.324,0,0.886,4,0
Like Sugar,0.0363,0.811,239621,0.792,0.94,107.255,0.0537,1,-8.477,0.342,7,0.0517,4,0
Soul Finger,0.142,0.736,142773,0.462,0.859,115.845,0.031,1,-15,0.231,4,0.836,4,0
Fire,0.101,0.623,264360,0.681,0.843,107.319,0.0604,1,-15.733,0.269,5,0.0158,4,0
It's Your Thing,0.0727,0.376,169293,0.67,0.837,185.503,0.0854,1,-9.273,0.0718,10,2.52E-06,4,0
Tell Me Something Good,0.616,0.657,278000,0.546,0.757,73.131,0.269,1,-9.738,0.226,1,0,4,0
Jungle Boogie,0.115,0.808,186533,0.85,0.717,106.855,0.0868,1,-8.772,0.316,5,0.000109,4,0
Pusherman,0.239,0.851,300693,0.669,0.911,126.624,0.0379,1,-9.562,0.108,10,0.0852,4,0
Gimme Some More,0.203,0.821,187560,0.426,0.82,97.76,0.0766,1,-9.968,0.0715,2,0,4,0
Get Off - Remastered,0.0107,0.93,341293,0.547,0.955,130.793,0.219,1,-8.289,0.056,9,0.000856,4,0
I'm Coming Out,0.185,0.72,323347,0.828,0.768,110.071,0.0462,1,-9.211,0.0839,5,0.429,4,0
Boogie Nights,0.169,0.629,303640,0.615,0.673,118.805,0.0433,0,-10.972,0.132,11,7.23E-05,4,0
Use Me,0.033,0.758,228327,0.586,0.947,154.629,0.056,0,-13.461,0.0743,11,0.0028,4,0
Thank You (Falettinme Be Mice Elf Agin) - Single Version,0.296,0.9,291320,0.709,0.897,105.822,0.0636,1,-12.683,0.0863,9,0.00047,4,0
Word Up,0.0421,0.878,260000,0.84,0.882,116.222,0.064,0,-13.105,0.053,6,0.0035,4,0
Soul Power 74 - Pt. 2,0.285,0.816,248227,0.736,0.943,105.213,0.0403,1,-5.511,0.438,7,0.247,4,0
Mothership Connection (Star Child),0.531,0.662,373213,0.585,0.829,89.212,0.101,0,-10.238,0.443,8,1.08E-05,4,0
Express Yourself,0.48,0.789,233613,0.683,0.882,92.311,0.086,1,-8.835,0.35,8,0,4,0
Blame It on the Boogie,0.0699,0.754,210533,0.759,0.87,113.419,0.091,1,-6.781,0.105,8,0,4,0
I Don't Believe You Want To Get Up And Dance (Oops Up Side Your Head),0.27,0.707,522667,0.589,0.775,103.547,0.0885,0,-12.636,0.386,4,2.75E-05,4,0
The Jam,0.125,0.701,492013,0.83,0.648,107.772,0.0667,0,-10.517,0.114,11,0.329,4,0
Theme From Shaft - Remastered 2009,0.233,0.487,279200,0.716,0.819,120.795,0.0463,0,-17.689,0.113,9,0.00445,4,0
Burn Rubber On Me (Why You Wanna Hurt Me),0.0986,0.764,252307,0.733,0.887,116.185,0.0538,0,-10.763,0.171,11,0.00104,4,0
Slippery When Wet,0.0451,0.723,197093,0.866,0.944,101.436,0.101,1,-7.064,0.0992,4,2.80E-05,4,0
Atomic Dog,0.148,0.899,287107,0.491,0.826,107.706,0.258,0,-11.043,0.411,6,3.82E-06,4,0
One Nation Under a Groove - Album Version - 2015 Remaster,0.304,0.781,449013,0.778,0.872,122.433,0.0407,0,-8.434,0.0751,4,0.00113,4,0
Brick House,0.0731,0.831,208893,0.782,0.631,107.877,0.0595,0,-10.48,0.032,4,0.0171,4,0
Funky Drummer - Pt. 1 & 2,0.329,0.667,553533,0.519,0.604,99.526,0.0675,1,-14.37,0.0478,0,0.421,4,0
Superstition - Single Version,0.038,0.633,245493,0.634,0.872,100.499,0.0725,1,-12.115,0.0385,8,0.0064,4,0
Land of 1000 Dances,0.0128,0.618,146973,0.588,0.768,86.903,0.0735,1,-11.624,0.351,2,0.0266,4,0
Fencewalk,0.314,0.587,332173,0.591,0.961,105.831,0.0594,1,-10.735,0.0681,7,0.0661,4,0
Pass The Peas,0.251,0.562,191667,0.31,0.684,195.873,0.275,1,-14.807,0.33,2,0.000506,4,0
Hollywood Swinging,0.0195,0.623,279933,0.824,0.574,111.356,0.0479,0,-8.971,0.0491,6,0.13,4,0
Shining Star,0.668,0.676,170160,0.692,0.799,102.516,0.052,1,-13.093,0.13,9,0.00915,4,0
Stomp! - Single Version,0.154,0.859,247133,0.782,0.931,119.518,0.0369,1,-8.344,0.0693,10,0.0297,4,0
Papa Was A Rollin' Stone - Single Version,0.451,0.817,419640,0.405,0.898,121.467,0.0811,0,-13.513,0.0468,10,0.0507,4,0
I'd Rather Be with You,0.238,0.477,297493,0.566,0.778,167.907,0.335,1,-12.274,0.122,2,0,4,0
Strawberry Letter 23,0.269,0.73,299067,0.622,0.752,90.973,0.0532,0,-11.7,0.111,7,0.00874,4,0
The Cisco Kid,0.209,0.849,227720,0.843,0.963,141.926,0.105,0,-7.154,0.0309,9,0.00292,4,0
Across 110th Street,0.0765,0.547,224547,0.8,0.517,112.248,0.0326,0,-7.397,0.0973,11,0,4,0
Holy Ghost,0.214,0.7,492600,0.956,0.795,107.743,0.0709,1,-7.61,0.0742,11,0.747,4,0
What Is Hip?,0.138,0.666,304733,0.733,0.597,101.858,0.0563,1,-5.884,0.0892,9,0.000349,4,0
Slide,0.0027,0.597,410853,0.823,0.933,115.948,0.0328,0,-12.8,0.11,4,0.11,4,0
U Got The Look - 2020 Remaster,0.108,0.822,226080,0.583,0.693,122.337,0.0596,1,-11.12,0.0553,9,5.76E-05,4,0
More Bounce to the Ounce,0.112,0.856,312507,0.762,0.839,105.258,0.0814,1,-10.445,0.296,5,0.00549,4,0
Cutie Pie,0.105,0.868,328893,0.541,0.96,102.471,0.053,1,-10.051,0.046,2,3.84E-05,4,0
The Payback,0.198,0.884,213507,0.518,0.798,97.026,0.137,0,-12.894,0.153,10,1.45E-05,4,0
Ffun,0.187,0.934,252733,0.64,0.853,111.87,0.0739,0,-9.011,0.193,5,0.00587,4,0
"Boogie Witcha, Baby",0.816,0.703,227947,0.639,0.782,176.727,0.0994,0,-13.269,0.127,11,0.414,4,0
Hyperbolicsyllablecsesquedalymistic - Album - Remaster,0.149,0.56,574733,0.491,0.741,181.874,0.0354,0,-12.031,0.158,5,0.0503,4,0
Bustin' Loose,0.27,0.865,462467,0.896,0.944,111.457,0.0623,0,-7.031,0.0676,3,0.0488,4,0
