songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
At Last,0.547,0.274,179693,0.348,0.328,87.43,0.0293,1,-8.631,0.334,5,0.0133,3,0
Tired of Being Alone,0.339,0.772,172320,0.397,0.617,97.964,0.0391,1,-8.585,0.0753,7,0.00541,4,0
Free,0.742,0.507,356560,0.365,0.469,91.182,0.0378,1,-10.733,0.101,6,0.00807,4,0
"Baby, This Love I Have",0.292,0.59,250867,0.438,0.727,83.506,0.0508,0,-12.594,0.103,6,0.00216,4,0
Southern Man,0.213,0.595,195933,0.822,0.775,89.143,0.0911,1,-9.357,0.0728,0,0.000367,4,0
I'd Rather Go Blind,0.689,0.477,156653,0.433,0.611,82.52,0.0247,0,-6.473,0.151,11,0.000195,3,0
Lovely Day,0.292,0.692,254560,0.651,0.706,97.923,0.0324,1,-8.267,0.105,9,0.00241,4,0
What's Going On,0.447,0.283,233000,0.716,0.828,201.96,0.0986,0,-9.632,0.399,1,0.0,4,0
This Will Be (An Everlasting Love),0.228,0.685,171960,0.623,0.896,126.739,0.042,1,-11.146,0.0295,8,0.00234,4,0
Spooky (Single Version),0.419,0.776,164933,0.47,0.963,106.329,0.0318,0,-10.308,0.139,4,0.0,4,0
How Long Do I Have to Wait for You?,0.471,0.673,243760,0.909,0.969,103.941,0.0464,0,-3.369,0.105,10,0.013,4,0
Got to Be Real,0.0943,0.836,307947,0.626,0.898,114.657,0.0335,0,-10.143,0.153,9,0.742,4,0
Cigarettes and Coffee,0.232,0.483,240800,0.275,0.31,138.063,0.0418,1,-13.609,0.125,0,0.0,3,0
Strawberry Letter 23,0.139,0.519,239907,0.483,0.772,171.028,0.0277,0,-12.795,0.365,9,0.000218,4,0
Somethin' Stupid,0.736,0.257,162493,0.338,0.544,207.356,0.0357,1,-12.902,0.252,4,0.0,4,0
I'd Rather Be with You,0.238,0.477,297493,0.566,0.778,167.907,0.335,1,-12.274,0.122,2,0.0,4,0
Who Can I Run To,0.58,0.622,204720,0.42,0.613,144.41,0.0891,0,-11.447,0.546,1,7.32e-06,4,0
Isn't She Lovely,0.182,0.481,394267,0.826,0.819,118.679,0.0851,0,-6.974,0.324,1,0.00352,4,0
Midnight Train to Georgia,0.271,0.595,279333,0.379,0.448,92.006,0.0454,0,-12.058,0.1,10,2.81e-05,4,0
Use Me,0.033,0.758,228327,0.586,0.947,154.629,0.056,0,-13.461,0.0743,11,0.0028,4,0
I Forgot To Be Your Lover,0.534,0.428,142747,0.332,0.794,141.627,0.0346,0,-12.598,0.119,4,1.97e-06,4,0
If You Want Me to Stay,0.28,0.843,180493,0.48,0.762,101.993,0.0492,0,-11.574,0.108,11,0.000782,4,0
If You Think You're Lonely Now,0.51,0.651,333160,0.524,0.651,72.766,0.0943,0,-11.63,0.128,0,9.25e-05,4,0
It's A Shame,0.0947,0.372,190058,0.642,0.705,198.731,0.0594,1,-11.955,0.117,11,0.0,4,0
I'm Every Woman,0.0418,0.603,249600,0.886,0.727,114.045,0.0465,0,-7.301,0.295,0,0.000171,4,0
Mary Jane,0.256,0.537,297347,0.82,0.881,94.429,0.127,0,-7.011,0.432,11,1.93e-06,4,0
I Can't Stand the Rain,0.248,0.727,150400,0.387,0.966,160.395,0.0412,1,-12.333,0.0625,1,0.0102,4,0
"Signed, Sealed, Delivered (I'm Yours)",0.0534,0.675,161160,0.597,0.828,108.875,0.0337,1,-11.329,0.0986,5,0.0,4,0
Grandma's Hands,0.593,0.731,121080,0.312,0.578,82.366,0.0878,0,-14.939,0.111,4,1.69e-06,4,0
I Say a Little Prayer,0.567,0.589,212360,0.558,0.466,133.271,0.0314,1,-6.908,0.102,9,0.0,4,0
(Sittin' On) the Dock of the Bay,0.684,0.769,163756,0.367,0.535,103.621,0.0312,1,-11.226,0.081,2,1.62e-05,4,0
Strawberry Letter 23,0.269,0.73,299067,0.622,0.752,90.973,0.0532,0,-11.7,0.111,7,0.00874,4,0
Ain't No Mountain High Enough,0.43,0.663,151667,0.6,0.8,129.991,0.032,1,-10.87,0.184,7,0.0,4,0
