songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Move on Up - Single Edit,0.417,0.538,165790,0.969,0.928,138.652,0.0906,0,-5.626,0.119,11,0.00154,4,0
Mary Jane,0.256,0.537,297347,0.82,0.881,94.429,0.127,0,-7.011,0.432,11,1.93e-06,4,0
Let It Whip,0.112,0.826,287000,0.9,0.954,132.099,0.0411,0,-4.383,0.0875,9,0.00136,4,0
In the Stone,0.0964,0.656,288480,0.662,0.717,114.612,0.0493,1,-10.346,0.0853,4,0.000612,4,0
Do It,0.0638,0.818,258503,0.858,0.753,119.609,0.0398,0,-4.219,0.256,1,0.245,4,0
Cissy Strut,0.172,0.507,186853,0.763,0.708,176.193,0.0945,1,-12.732,0.324,0,0.886,4,0
Brick House,0.0731,0.831,208893,0.782,0.631,107.877,0.0595,0,-10.48,0.032,4,0.0171,4,0
Do You Love What You Feel,0.022,0.808,269333,0.773,0.893,119.944,0.0365,1,-11.4,0.654,11,0.0436,4,0
Give It To Me Baby,0.114,0.706,248133,0.727,0.965,119.55,0.0456,1,-8.714,0.174,11,7.7e-05,4,0
Superfly,0.457,0.784,233600,0.708,0.748,120.11,0.11,1,-9.141,0.0913,2,7.5e-05,4,0
Give Up The Funk (Tear The Roof Off The Sucker),0.0659,0.717,348067,0.665,0.774,105.693,0.0523,1,-9.503,0.326,9,0.0,4,0
It's Your Thing,0.0727,0.376,169293,0.67,0.837,185.503,0.0854,1,-9.273,0.0718,10,2.52e-06,4,0
Superstition - Single Version,0.038,0.633,245493,0.634,0.872,100.499,0.0725,1,-12.115,0.0385,8,0.0064,4,0
More Bounce to the Ounce,0.124,0.85,311120,0.818,0.839,105.266,0.0904,1,-8.623,0.349,0,0.00135,4,0
Ace of Aces,0.0426,0.721,124565,0.848,0.896,105.605,0.0648,0,-9.67,0.15,6,0.95,4,0
Flash Light,0.243,0.702,346667,0.735,0.687,105.177,0.0465,0,-10.458,0.474,7,0.117,4,0
Right Place Wrong Time,0.0923,0.789,175240,0.494,0.826,104.593,0.0456,1,-13.702,0.144,1,0.000408,4,0
Musicology,0.19,0.717,264253,0.524,0.644,99.497,0.334,0,-5.085,0.157,6,0.00157,4,0
Bustin' Loose,0.27,0.865,462467,0.896,0.944,111.457,0.0623,0,-7.031,0.0676,3,0.0488,4,0
What Is Hip?,0.138,0.666,304733,0.733,0.597,101.858,0.0563,1,-5.884,0.0892,9,0.000349,4,0
Doin' It,0.109,0.739,482720,0.882,0.941,98.424,0.0539,0,-11.946,0.0185,11,0.684,4,0
Jungle Boogie,0.115,0.808,186533,0.85,0.717,106.855,0.0868,1,-8.772,0.316,5,0.000109,4,0
Freddie's Dead,0.107,0.523,329467,0.803,0.921,91.469,0.0791,0,-6.321,0.154,1,0.000409,4,0
Mothership Connection (Star Child),0.531,0.662,373213,0.585,0.829,89.212,0.101,0,-10.238,0.443,8,1.08e-05,4,0
GotItBad,0.215,0.732,290422,0.703,0.725,113.926,0.0584,0,-6.159,0.202,1,0.34,4,0
Wild,0.0509,0.685,212066,0.627,0.739,111.973,0.0493,1,-5.243,0.177,2,0.0,4,0
Just Kissed My Baby,0.0345,0.719,283573,0.615,0.961,170.888,0.122,1,-13.674,0.0573,0,0.0492,4,0
People Get Up And Drive Your Funky Soul - Remix,0.23,0.8,544640,0.802,0.82,97.586,0.166,1,-5.439,0.0971,0,0.00379,4,0
Fux with the Tux,0.197,0.88,166591,0.657,0.564,116.0,0.0966,1,-5.611,0.31,7,1.3e-05,4,0
Head,0.00713,0.845,285507,0.486,0.692,118.459,0.111,0,-12.778,0.232,11,0.417,4,0
Ffun,0.0608,0.946,251067,0.469,0.866,110.969,0.0865,0,-13.091,0.257,5,0.00126,4,0
Hair,0.075,0.72,295147,0.836,0.961,157.178,0.0611,1,-10.195,0.1,9,0.000656,4,0
Bootzilla,0.434,0.804,339373,0.866,0.745,103.643,0.104,0,-8.829,0.732,1,7.84e-06,4,0
P-Funk (Wants To Get Funked Up),0.654,0.637,461160,0.421,0.779,87.507,0.252,1,-14.327,0.369,9,0.0,4,0
I Can Understand It,0.17,0.774,383747,0.819,0.847,125.047,0.0901,0,-9.421,0.0304,8,0.0,4,0
Get Up (I Feel Like Being A) Sex Machine,0.18,0.838,316333,0.616,0.848,107.695,0.0711,0,-8.351,0.193,10,7.17e-06,4,0
Put a Little Love On Me,0.206,0.827,269640,0.578,0.968,111.447,0.0483,0,-12.871,0.0925,6,0.0314,4,0
Yes We Can Can,0.0239,0.745,362733,0.544,0.84,88.383,0.21,1,-14.06,0.0901,7,0.000524,4,0
On a Good One,0.189,0.827,209875,0.789,0.829,122.038,0.0332,0,-4.5,0.0502,10,0.000785,4,0
Let's Work,0.00581,0.819,234800,0.442,0.902,119.884,0.14,1,-15.35,0.0498,9,0.0104,4,0
Cold Sweat,0.289,0.746,176973,0.557,0.892,119.748,0.0405,0,-11.072,0.0996,7,1.19e-06,4,0
Warning,0.0527,0.82,211616,0.48,0.884,124.525,0.265,1,-12.978,0.0767,1,3.54e-05,4,0
Word Is Out,0.0416,0.831,274237,0.473,0.743,109.312,0.0711,0,-13.937,0.1,1,0.000686,4,0
Highly Compatible,0.0235,0.767,365200,0.738,0.875,114.063,0.0555,0,-6.481,0.278,5,0.000189,4,0
Miss Mess,0.0249,0.623,332662,0.687,0.749,113.515,0.054,0,-8.432,0.081,4,0.719,5,0
Too Hot Ta Trot,0.237,0.853,337680,0.771,0.898,120.744,0.127,1,-6.599,0.0536,9,0.000361,4,0
Funk That Junk,0.309,0.802,155933,0.763,0.724,100.002,0.0833,1,-5.662,0.0718,9,0.0,4,0
Diggin' On James Brown,0.0294,0.94,279867,0.675,0.884,122.886,0.0429,0,-5.269,0.145,7,3.62e-05,4,0
F.y.g,0.0121,0.731,165451,0.883,0.807,116.474,0.072,1,-6.04,0.342,1,0.000645,4,0
Funky President (People It's Bad),0.155,0.876,238400,0.671,0.841,105.807,0.162,0,-10.981,0.0995,11,0.00857,4,0
Let's Take a Ride,0.0454,0.782,225425,0.815,0.666,108.009,0.046,1,-4.996,0.497,2,0.274,4,0
Who Is She (And What Is She To You),0.168,0.837,253693,0.538,0.783,106.684,0.0517,0,-15.363,0.0603,1,0.0216,4,0
Slippery When Wet,0.0451,0.723,197093,0.866,0.944,101.436,0.101,1,-7.064,0.0992,4,2.8e-05,4,0
Funk Ain't Ova,0.0484,0.841,231964,0.77,0.708,130.021,0.139,1,-5.482,0.158,2,0.000201,4,0
Mighty Mighty,0.0223,0.672,183200,0.814,0.968,115.073,0.032,0,-10.642,0.15,10,0.0411,4,0
Miss Madison,0.21,0.822,210160,0.653,0.687,88.957,0.112,1,-5.495,0.0433,1,0.000712,4,0
Death Or Devotion,0.143,0.823,265800,0.492,0.864,89.959,0.128,0,-6.328,0.0694,10,0.00173,4,0
Do It Like You Do,0.311,0.746,251293,0.525,0.835,95.116,0.186,1,-8.7,0.0818,0,0.00867,4,0
Housequake,0.242,0.887,282107,0.685,0.714,115.702,0.0736,1,-15.42,0.0962,1,0.0163,4,0
Standing On The Verge Of Getting It On,0.0912,0.664,310144,0.789,0.663,115.173,0.162,1,-8.913,0.277,8,0.0,4,0
Liar,0.17,0.675,271054,0.847,0.603,92.85,0.115,1,-5.329,0.192,7,1.8e-06,4,0
"I Don't Believe You Want To Get Up And Dance (Oops, Up Side Your Head)",0.246,0.646,211067,0.786,0.814,103.666,0.149,0,-10.308,0.387,11,2.7e-06,4,0
Got Me Funked Up,0.0608,0.748,212027,0.646,0.771,91.972,0.045,0,-7.601,0.313,10,0.0221,4,0
