songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Me & U,0.117,0.775,192936,0.662,0.257,112.014,0.0408,1,-7.755,0.0928,10,0.0648,4,0
Be Easy,0.0874,0.822,132053,0.488,0.439,123.893,0.643,0,-9.24,0.154,5,0.0,4,0
Perfect Combi,0.187,0.871,181063,0.613,0.873,104.02,0.0685,1,-8.114,0.0832,1,6.18e-05,4,0
Summer Breeze,0.293,0.817,238917,0.469,0.327,98.94,0.202,1,-7.495,0.108,2,0.24,4,0
Do What U Want,0.486,0.461,112540,0.298,0.291,65.326,0.0565,0,-10.83,0.0949,8,0.0019,5,0
Ngozi,0.0335,0.903,217566,0.428,0.503,115.029,0.247,1,-14.557,0.0623,6,6.23e-06,4,0
Only God Can Save Me,0.467,0.696,193426,0.382,0.364,111.997,0.215,0,-11.921,0.0951,11,1.59e-05,4,0
What's Poppin,0.574,0.544,196273,0.317,0.283,96.584,0.154,0,-10.321,0.0904,5,0.00246,4,0
Stamina,0.314,0.578,169043,0.631,0.794,108.783,0.228,1,-7.619,0.107,8,0.0,4,0
Troubling,0.544,0.633,151724,0.487,0.495,87.027,0.0657,0,-6.549,0.275,11,1.72e-05,4,0
Ole (feat. BNXN),0.232,0.588,170000,0.486,0.572,117.025,0.0856,0,-9.001,0.358,8,0.0,5,0
Old,0.76,0.515,251254,0.291,0.241,73.236,0.0326,1,-11.456,0.374,5,1.55e-06,4,0
Panadol,0.342,0.823,149388,0.674,0.693,98.021,0.088,1,-7.6,0.348,0,0.000694,4,0
Kilimanjaro (with BEAM),0.414,0.537,191953,0.371,0.604,84.313,0.183,0,-11.034,0.121,5,0.00417,5,0
Ogaranya,0.538,0.633,168611,0.558,0.815,112.516,0.402,1,-12.726,0.0676,7,0.000214,4,0
Everything,0.134,0.752,177600,0.495,0.587,100.003,0.072,0,-11.992,0.148,5,0.000216,4,0
Body & Soul,0.209,0.635,154455,0.552,0.525,127.318,0.0488,1,-6.205,0.196,6,4.1e-05,5,0
Khartoum (with Adekunle Gold),0.218,0.651,142720,0.734,0.62,96.367,0.357,1,-7.662,0.1,0,0.0,4,0
4LYFE,0.215,0.853,167143,0.796,0.751,112.001,0.0349,1,-6.617,0.102,9,0.000133,4,0
Sweet Life,0.233,0.837,186402,0.69,0.713,109.957,0.0406,0,-6.988,0.0661,4,0.0223,4,0
Selling Dreams,0.614,0.654,148283,0.333,0.205,139.919,0.114,0,-7.249,0.106,1,0.000147,5,0
I Wish (feat. Libianca),0.856,0.832,163813,0.35,0.676,112.946,0.0624,1,-12.458,0.0845,1,0.0259,4,0
Jaga Jaga (with Babyboy AV),0.697,0.914,226090,0.406,0.825,102.991,0.103,0,-7.735,0.0914,1,0.0843,4,0
Fever,0.441,0.765,186410,0.542,0.468,94.004,0.0764,1,-6.426,0.147,7,0.000185,4,0
SOMETHING,0.481,0.777,188411,0.531,0.58,107.004,0.0644,1,-7.689,0.0997,6,8.62e-06,4,0
All Over You,0.589,0.911,142110,0.618,0.835,104.92,0.105,0,-5.085,0.27,11,0.000698,4,0
AMEN,0.445,0.679,128667,0.569,0.805,88.464,0.28,1,-5.545,0.103,2,2.19e-05,4,0
Line Of Fire,0.266,0.762,255000,0.485,0.226,103.975,0.139,1,-9.888,0.107,7,0.0617,4,0
capture my soul (feat. Joeboy),0.389,0.905,211200,0.548,0.328,100.007,0.155,1,-7.855,0.123,0,0.0538,4,0
