songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Self Righteous,0.204,0.521,241406,0.576,0.234,100.02,0.272,1,-7.019,0.223,7,0.0,3,0
Snooze,0.141,0.559,201800,0.551,0.392,143.008,0.132,1,-7.231,0.11,5,0.0,4,0
I Want You Around,0.381,0.705,212787,0.432,0.599,168.005,0.205,1,-9.7,0.0841,4,0.133,4,0
Best Part (feat. H.E.R.),0.793,0.473,209400,0.371,0.413,75.205,0.0405,0,-10.219,0.109,4,0.0,4,0
We Might Even Be Falling In Love (Duet) - Spotify Singles,0.473,0.731,90111,0.423,0.78,76.964,0.0784,1,-10.147,0.129,6,0.000413,4,0
After Last Night (with Thundercat & Bootsy Collins),0.0297,0.651,249444,0.703,0.647,140.051,0.0816,0,-8.958,0.0608,0,0.0,4,0
Like I Want You,0.759,0.678,260776,0.355,0.438,119.772,0.0627,0,-7.757,0.114,10,7.06e-05,3,0
Focus,0.25,0.414,200133,0.314,0.09,84.993,0.0548,0,-12.943,0.117,1,1.47e-05,4,0
Gonna Love Me,0.402,0.514,166998,0.506,0.312,88.044,0.28,0,-7.095,0.191,10,2.56e-05,4,0
Let Me Go,0.689,0.601,216524,0.481,0.484,152.994,0.0634,0,-8.366,0.109,7,0.0033,4,0
Good Days,0.499,0.436,279204,0.655,0.412,121.002,0.0583,0,-8.37,0.688,1,8.1e-06,4,0
Pink + White,0.667,0.545,184516,0.545,0.549,159.94,0.107,1,-7.362,0.417,9,5.48e-05,3,0
Spread Thin,0.0553,0.621,202520,0.411,0.357,110.113,0.0333,0,-8.261,0.0816,6,0.0,4,0
Every Kind Of Way,0.635,0.416,160173,0.298,0.191,95.386,0.0442,1,-8.499,0.136,7,2.16e-06,4,0
Girl With The Tattoo Enter.lewd,0.856,0.372,102813,0.239,0.127,113.451,0.0296,0,-11.314,0.168,6,0.000175,4,0
Get You (feat. Kali Uchis),0.422,0.658,278180,0.294,0.358,74.038,0.0321,0,-8.533,0.0749,4,5.2e-05,4,0
While We're Young,0.104,0.649,236160,0.791,0.811,128.023,0.193,1,-6.013,0.108,2,1.97e-06,4,0
ALL MINE,0.428,0.617,216063,0.378,0.22,141.967,0.0315,1,-8.54,0.11,9,9.16e-05,4,0
Issues/Hold On,0.833,0.528,185979,0.523,0.692,93.06,0.0523,1,-4.82,0.103,7,1.53e-06,4,0
The Weekend,0.242,0.4,272187,0.366,0.161,73.313,0.0597,0,-9.405,0.126,8,0.0,3,0
Could've Been (feat. Bryson Tiller),0.649,0.45,252747,0.352,0.408,102.679,0.267,0,-11.733,0.249,1,3.8e-06,4,0
Thinkin Bout You,0.409,0.721,200747,0.339,0.2,129.83,0.0532,1,-11.195,0.0973,0,0.00153,4,0
No Love (with SZA),0.17,0.707,231498,0.618,0.517,133.876,0.19,0,-5.825,0.293,1,0.0,4,0
Cranes in the Sky,0.408,0.719,250973,0.615,0.465,96.988,0.045,1,-5.972,0.235,6,0.000147,4,0
All I Want Is You (feat. J. Cole),0.0728,0.776,295920,0.603,0.921,96.888,0.0343,1,-5.696,0.111,5,6.25e-05,4,0
Who Hurt You?,0.586,0.649,231964,0.493,0.277,104.542,0.11,0,-7.645,0.0667,11,0.000167,4,0
Sativa,0.316,0.741,276960,0.61,0.72,125.99,0.0511,0,-7.34,0.534,6,0.0,4,0
Whoa,0.121,0.509,199179,0.514,0.476,188.019,0.123,1,-11.283,0.104,10,0.00144,4,0
I Hate U,0.514,0.533,173907,0.417,0.376,106.534,0.148,0,-8.665,0.114,7,0.0,5,0
CPR,0.637,0.693,203240,0.369,0.141,140.148,0.175,0,-12.683,0.0951,7,0.00335,4,0
JACKIE BROWN,0.65,0.726,169014,0.353,0.503,137.66,0.105,1,-10.273,0.224,10,0.002,4,0
Good & Plenty - Remix,0.811,0.629,204706,0.579,0.363,135.86,0.107,0,-6.543,0.0813,9,0.00366,4,0
Coastin’,0.0264,0.807,175319,0.481,0.748,91.005,0.0713,0,-7.362,0.112,8,1.28e-06,4,0
IN THE AIR,0.0375,0.794,136696,0.389,0.259,114.92,0.0545,1,-6.132,0.109,8,0.00194,4,0
Pick Up Your Feelings,0.321,0.758,229413,0.413,0.599,85.46,0.0464,0,-6.239,0.117,2,0.0,3,0
What You Heard,0.546,0.429,238242,0.371,0.135,137.134,0.0327,0,-9.017,0.104,2,5.71e-06,4,0
The Beach,0.181,0.649,205663,0.509,0.223,99.813,0.0659,0,-9.502,0.932,3,0.000655,4,0
DO 4 LOVE,0.913,0.367,189463,0.142,0.1,69.827,0.0319,0,-12.717,0.107,6,0.00367,4,0
Shirt,0.228,0.848,181840,0.512,0.572,120.009,0.102,0,-7.72,0.0879,3,0.00232,4,0
Where I Go (feat. H.E.R.),0.735,0.62,201027,0.396,0.774,87.865,0.206,0,-15.498,0.0976,1,0.000985,4,0
Been Away,0.477,0.602,223630,0.5,0.395,132.798,0.298,1,-9.377,0.295,8,5.69e-05,4,0
Free Mind,0.442,0.562,247579,0.463,0.416,125.15,0.0787,1,-7.478,0.157,6,0.000145,5,0
EX,0.231,0.763,222387,0.537,0.426,73.51,0.246,0,-7.018,0.109,9,0.0,4,0
PLASTIC OFF THE SOFA,0.14,0.618,254319,0.712,0.305,97.057,0.114,1,-8.246,0.575,1,4.53e-06,4,0
Garden Kisses,0.915,0.478,195406,0.373,0.354,120.129,0.0317,1,-9.505,0.128,5,6.36e-06,4,0
Adorn,0.0543,0.625,193147,0.576,0.235,179.063,0.175,0,-5.693,0.187,11,4.07e-05,4,0
Moment,0.637,0.571,179413,0.431,0.361,130.111,0.0547,1,-8.889,0.122,1,0.00524,4,0
Pyramids,0.0118,0.4,592920,0.65,0.15,107.989,0.0466,0,-6.104,0.791,5,7.62e-05,4,0
Hrs & Hrs,0.579,0.52,204317,0.546,0.634,137.419,0.213,0,-4.991,0.112,8,0.0,3,0
"GRAVITY (FEAT. TYLER, THE CREATOR)",0.167,0.541,214693,0.619,0.491,163.908,0.254,0,-8.746,0.144,1,0.00633,4,0
Make It Better (feat. Smokey Robinson),0.0112,0.676,219332,0.56,0.551,178.555,0.0643,0,-6.024,0.137,4,0.00403,4,0
Higher,0.509,0.609,196204,0.581,0.528,102.964,0.277,1,-10.854,0.283,2,0.0,3,0
Girls Need Love (with Drake) - Remix,0.443,0.656,222374,0.432,0.0897,97.022,0.217,0,-9.481,0.132,6,0.0,4,0
Nights Like This (feat. Ty Dolla $ign),0.367,0.61,201788,0.725,0.291,146.163,0.15,1,-5.131,0.154,8,0.0,4,0
Trip,0.225,0.477,213993,0.61,0.358,79.882,0.144,0,-5.628,0.107,11,0.0,4,0
Damage,0.113,0.646,223415,0.696,0.18,81.336,0.065,1,-6.505,0.115,1,0.0,4,0
Love Songs - Bonus,0.831,0.641,148640,0.355,0.453,120.032,0.0906,1,-10.599,0.11,5,0.000855,4,0
B.S. (feat. H.E.R.),0.554,0.617,212867,0.525,0.377,135.781,0.12,0,-10.426,0.135,8,1.1e-06,4,0
Come Through and Chill (feat. J. Cole & Salaam Remi),0.158,0.461,322000,0.653,0.588,81.628,0.327,1,-8.617,0.197,6,0.0,1,0
Roll Some Mo,0.259,0.389,292885,0.507,0.364,74.718,0.0621,1,-9.026,0.142,11,0.0441,4,0
Playing Games (with Bryson Tiller) - Extended Version,0.603,0.726,143227,0.408,0.459,115.918,0.0614,0,-6.606,0.225,11,0.0,4,0
Girl Like Me (feat. H.E.R.),0.66,0.5,224880,0.638,0.698,81.145,0.0756,0,-4.007,0.366,6,0.0,4,0
Make You Mine,0.87,0.551,200192,0.37,0.241,137.265,0.0551,0,-10.194,0.122,5,0.0,4,0
What You Did (feat. Ella Mai),0.148,0.734,206947,0.511,0.727,124.995,0.0592,0,-4.905,0.29,0,0.0,4,0
Sure Thing,0.0267,0.684,195373,0.607,0.498,81.001,0.1,0,-8.127,0.191,11,0.000307,4,0
Come Thru (with Usher),0.159,0.679,181013,0.728,0.46,152.001,0.154,0,-3.092,0.107,5,0.0,4,0
Over,0.502,0.65,207413,0.555,0.352,103.081,0.0719,0,-5.971,0.104,6,0.0,4,0
Break from Toronto,0.0199,0.595,99213,0.678,0.259,117.067,0.0335,1,-5.18,0.418,9,0.00389,4,0
Say Yes,0.211,0.747,268373,0.398,0.428,117.901,0.0743,0,-12.932,0.113,5,1.42e-06,1,0
What It Is (Solo Version),0.061,0.74,189825,0.758,0.757,171.925,0.0921,0,-5.851,0.0967,1,1.44e-06,4,0
oui,0.213,0.418,238320,0.724,0.604,78.521,0.0964,1,-3.724,0.112,5,0.0,5,0
Don't,0.223,0.765,198293,0.356,0.189,96.991,0.195,0,-5.556,0.0963,11,0.0,4,0
All To Me,0.65,0.523,127807,0.543,0.318,116.161,0.156,0,-8.39,0.257,5,0.0,3,0
