songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Go Baby,0.928,0.574,236236,0.176,0.497,78.929,0.213,0,-10.924,0.119,8,0.437,4,0
If This Is Love,0.598,0.7,206995,0.605,0.159,116.031,0.0529,1,-12.388,0.109,11,0.0507,4,0
All For You,0.493,0.738,183354,0.511,0.743,138.654,0.0616,0,-9.879,0.205,11,0.0244,4,0
Inclination Compass (Tenderness),0.888,0.526,188167,0.213,0.269,81.3,0.0873,0,-12.993,0.0849,8,0.000863,4,0
Charismatic,0.294,0.62,184737,0.628,0.503,152.09,0.0653,0,-7.745,0.114,10,0.0779,4,0
Higher Self,0.531,0.666,241395,0.46,0.527,171.976,0.187,1,-9.607,0.108,0,0.00495,4,0
I Choose U (feat. RINI),0.0221,0.467,201900,0.686,0.55,162.001,0.0816,0,-5.045,0.122,11,0.00261,4,0
Desire,0.65,0.622,293979,0.229,0.206,113.477,0.0504,0,-12.052,0.125,7,0.0786,5,0
2 Step In The Living Room,0.204,0.654,270080,0.543,0.45,97.026,0.0357,1,-8.195,0.112,6,0.00588,4,0
& Then Some,0.159,0.633,219913,0.458,0.374,77.932,0.0822,1,-7.231,0.161,0,0.0,4,0
Can't Hide It,0.454,0.638,176277,0.483,0.41,94.036,0.0292,1,-10.461,0.119,5,0.0279,4,0
THE GLADE,0.761,0.29,222457,0.439,0.329,76.484,0.0501,0,-9.852,0.237,2,0.0241,4,0
Forever,0.608,0.563,196006,0.367,0.373,89.986,0.0971,1,-10.258,0.13,6,0.00148,4,0
no spine,0.533,0.708,182200,0.405,0.633,59.988,0.0579,1,-8.003,0.142,9,0.000188,4,0
Santorini,0.582,0.236,148085,0.386,0.314,153.329,0.0332,1,-9.351,0.315,5,2.74e-06,3,0
Marking My Time,0.959,0.428,268038,0.26,0.364,81.074,0.0292,0,-8.751,0.0914,9,1.18e-06,4,0
Times It By Two,0.0532,0.672,205743,0.689,0.322,137.997,0.0593,1,-6.751,0.0483,9,5.59e-06,4,0
Dancing in My Room,0.582,0.639,218157,0.569,0.84,79.998,0.0417,0,-8.338,0.217,1,0.423,4,0
To This Day,0.613,0.454,210880,0.544,0.37,104.754,0.0864,0,-8.543,0.303,6,1.6e-05,3,0
Golden Child (Jealous),0.333,0.76,207240,0.587,0.868,99.137,0.0425,1,-10.224,0.0962,2,0.389,4,0
Soul Lovers,0.819,0.29,131615,0.328,0.129,106.895,0.0415,0,-11.551,0.108,7,0.0113,4,0
Messy,0.803,0.6,223232,0.443,0.446,146.008,0.0308,1,-10.756,0.0911,9,0.0565,4,0
green house,0.146,0.618,117000,0.545,0.364,160.058,0.0479,1,-8.189,0.161,7,0.0452,4,0
U,0.83,0.611,169500,0.649,0.402,80.011,0.0688,1,-7.117,0.214,7,0.339,4,0
Slumber,0.513,0.619,225765,0.514,0.455,153.108,0.0431,1,-9.637,0.0754,7,0.287,4,0
Old Friends,0.691,0.685,172174,0.295,0.556,91.91,0.0277,1,-8.67,0.398,1,0.000125,3,0
Space (feat. H.E.R.),0.813,0.441,361238,0.258,0.0609,117.541,0.0326,1,-10.906,0.112,11,0.0127,4,0
Day by Day - A COLORS SHOW,0.243,0.684,230823,0.615,0.651,169.958,0.181,0,-9.48,0.13,11,0.00297,4,0
Westside,0.421,0.761,155455,0.339,0.592,163.93,0.536,0,-12.271,0.123,7,0.0,4,0
Brown Noise,0.678,0.644,144578,0.577,0.837,82.955,0.14,1,-10.381,0.0635,1,0.000405,4,0
100 Degrees,0.541,0.727,154815,0.254,0.506,81.025,0.216,1,-13.025,0.0943,1,0.848,4,0
Dopamine,0.125,0.75,163831,0.515,0.752,76.973,0.1,0,-9.143,0.115,10,5.49e-05,4,0
Colder in June,0.618,0.542,231139,0.527,0.0551,142.206,0.067,0,-9.313,0.103,4,2.1e-05,4,0
Raining Tomorrow,0.243,0.421,228485,0.561,0.499,198.144,0.169,0,-9.175,0.273,11,0.0013,4,0
Choose You,0.873,0.426,251501,0.237,0.198,85.465,0.08,0,-12.03,0.1,3,0.011,4,0
loosely,0.769,0.563,132800,0.327,0.409,74.967,0.0469,1,-15.151,0.379,0,0.0763,4,0
Trouble,0.944,0.359,232258,0.196,0.317,91.034,0.0411,1,-13.254,0.101,7,0.0,4,0
Fight for Love,0.42,0.836,297717,0.411,0.845,90.876,0.0325,0,-9.084,0.0913,6,0.382,4,0
Purple Room,0.613,0.758,138000,0.333,0.414,99.968,0.0962,1,-10.544,0.125,9,1.36e-05,4,0
Witchcraft (feat. Robert Glasper),0.568,0.563,293123,0.59,0.185,99.758,0.041,1,-11.263,0.21,1,0.00341,4,0
Definition of Love,0.723,0.599,195834,0.424,0.0881,107.918,0.0666,0,-7.833,0.107,10,0.00282,4,0
Let's Stay Together,0.892,0.657,218254,0.289,0.277,89.847,0.0364,1,-9.996,0.11,5,0.00118,4,0
Flow State,0.116,0.696,242581,0.38,0.577,92.964,0.0292,1,-12.01,0.315,7,0.00173,4,0
We Keep On,0.793,0.685,180950,0.741,0.743,80.947,0.269,1,-5.29,0.102,10,7.87e-05,4,0
Desperate Soul,0.848,0.41,127826,0.276,0.217,173.839,0.0631,0,-9.518,0.377,0,0.0,3,0
Oyster,0.698,0.526,120000,0.506,0.482,144.038,0.132,1,-8.556,0.1,9,0.0658,4,0
Boyfriend Jeans,0.536,0.762,170360,0.553,0.799,82.497,0.0865,1,-5.3,0.125,7,8.39e-05,4,0
Such A Thing,0.777,0.565,205479,0.464,0.337,145.775,0.0581,1,-7.604,0.124,0,0.0227,4,0
Paradise,0.416,0.678,221209,0.333,0.0977,98.003,0.0493,1,-12.32,0.121,1,0.7,4,0
Don't Doubt It,0.62,0.561,182493,0.575,0.368,152.137,0.0745,1,-10.594,0.0934,2,0.0152,4,0
Smile,0.146,0.754,159529,0.528,0.602,87.333,0.0317,0,-7.715,0.118,0,0.0254,4,0
Falling,0.298,0.57,210680,0.795,0.672,94.741,0.236,0,-5.57,0.735,11,8.43e-06,4,0
breakfast,0.682,0.649,193362,0.501,0.201,91.138,0.0443,1,-6.432,0.101,9,0.0274,3,0
"SMILE (feat. Xavier Omär, DAISY WORLD & ROMderful)",0.0108,0.705,198881,0.673,0.515,142.785,0.0413,0,-6.115,0.101,7,0.000327,4,0
Don't Stare Too Long,0.361,0.339,188520,0.54,0.512,167.829,0.0585,0,-10.665,0.113,11,0.011,3,0
Tell Me Something,0.705,0.597,257727,0.539,0.472,93.001,0.0966,0,-11.505,0.0936,4,0.0259,4,0
Endless No Mores - A COLORS SHOW,0.959,0.394,179238,0.0938,0.11,85.711,0.0354,0,-14.112,0.107,9,0.00116,3,0
311 (with Gwen Bunn),0.937,0.363,151267,0.249,0.256,84.949,0.0441,0,-10.914,0.117,3,0.000435,4,0
Pool,0.399,0.598,183000,0.437,0.366,159.497,0.11,0,-8.371,0.1,11,0.00422,4,0
As Days Go By,0.439,0.608,222655,0.459,0.461,124.056,0.0447,0,-12.453,0.082,4,0.000327,4,0
Tiny Garden,0.239,0.743,251991,0.354,0.643,96.028,0.138,0,-10.923,0.105,6,2.35e-05,4,0
Rush,0.48,0.63,220000,0.369,0.456,167.932,0.296,0,-13.21,0.111,7,0.000412,4,0
in ur motion,0.775,0.589,208193,0.449,0.37,83.0,0.0286,0,-11.637,0.116,8,0.0956,4,0
Forever In A Song,0.723,0.779,216467,0.364,0.694,94.971,0.0361,1,-7.98,0.104,2,0.312,4,0
Luv Songs (Unruly),0.169,0.595,175496,0.676,0.586,139.806,0.412,0,-4.915,0.357,6,0.0,4,0
Can't Fake What You Feel,0.14,0.57,171053,0.717,0.572,113.667,0.233,1,-9.35,0.115,0,8.3e-05,4,0
Love Outloud,0.503,0.54,177500,0.627,0.234,119.232,0.219,1,-7.233,0.119,1,0.0,4,0
Grace,0.0374,0.668,174855,0.879,0.807,90.047,0.0467,0,-5.226,0.163,6,0.00326,4,0
From You,0.127,0.655,175534,0.54,0.647,173.822,0.285,1,-7.498,0.111,1,0.00349,4,0
Stay,0.438,0.683,270031,0.219,0.151,139.468,0.0472,0,-12.254,0.116,10,0.0604,3,0
Familiar,0.848,0.399,190475,0.362,0.2,137.061,0.0446,1,-8.146,0.109,7,6.37e-05,4,0
Until The Morning,0.485,0.73,177931,0.48,0.477,87.12,0.386,1,-12.699,0.106,7,0.000202,4,0
Summertime - A COLORS SHOW,0.598,0.522,215861,0.548,0.276,89.85,0.102,0,-9.232,0.103,0,0.0,4,0
Slow Dance (always & forever),0.924,0.6,246841,0.472,0.19,135.812,0.025,1,-8.416,0.105,10,0.0704,3,0
Requiem,0.273,0.354,284267,0.38,0.148,77.605,0.0413,0,-9.52,0.0945,5,0.000762,4,0
Where I'm From (feat. Mereba),0.274,0.672,224933,0.529,0.328,95.329,0.0597,1,-7.945,0.171,7,0.0086,4,0
Falling Down,0.694,0.582,215307,0.421,0.253,81.92,0.0295,0,-11.45,0.369,9,0.159,4,0
Frontier Pass,0.123,0.489,179733,0.428,0.356,172.605,0.0786,1,-8.323,0.148,9,0.0,4,0
All Roads,0.35,0.869,197120,0.634,0.785,104.042,0.19,0,-9.29,0.0878,8,0.439,4,0
Jonathan L. Seagull,0.75,0.62,274600,0.307,0.133,99.97,0.0288,1,-11.929,0.0845,11,0.00269,4,0
Lalala (feat. Jayla Darden),0.688,0.494,209385,0.466,0.797,67.611,0.0649,0,-8.031,0.0678,9,0.0,4,0
BAD bad,0.305,0.641,169580,0.457,0.373,75.988,0.0607,0,-8.169,0.111,0,0.0143,4,0
Secrets,0.359,0.807,206197,0.366,0.56,141.997,0.191,0,-8.982,0.109,11,9.97e-05,4,0
Kaleidoscope,0.892,0.442,199904,0.328,0.0808,117.216,0.0322,1,-11.424,0.153,1,0.00315,4,0
Don't Turn The Music Down,0.0779,0.597,223407,0.832,0.702,87.968,0.212,1,-4.953,0.0825,1,3.43e-05,4,0
Lucky,0.417,0.421,216986,0.65,0.313,105.654,0.0906,1,-5.954,0.228,7,0.0,4,0
Rachel and Ross,0.146,0.749,166094,0.497,0.659,96.005,0.245,1,-9.582,0.147,8,9.02e-05,4,0
AMBRÉ'S INTERLUDE,0.579,0.599,101232,0.555,0.715,105.291,0.16,0,-9.56,0.87,11,9.19e-06,4,0
Intimate,0.287,0.608,272864,0.467,0.364,84.956,0.0508,0,-7.471,0.555,5,0.00215,4,0
Sorrow,0.539,0.825,140899,0.345,0.332,98.0,0.055,0,-8.74,0.0941,4,0.00459,4,0
Best Feature,0.177,0.527,203721,0.618,0.397,85.557,0.267,0,-6.659,0.222,11,5.19e-06,4,0
I Love Being Invisible,0.621,0.81,181227,0.33,0.548,110.15,0.135,0,-8.867,0.105,1,0.0343,4,0
Don't Say It,0.283,0.641,163177,0.414,0.838,183.079,0.259,0,-8.698,0.144,3,1.07e-06,3,0
Oh Darlin',0.367,0.354,206225,0.71,0.398,136.485,0.0805,1,-7.156,0.0984,9,0.0,5,0
Honeydew (02),0.543,0.693,153143,0.31,0.318,104.955,0.0289,1,-11.704,0.259,4,0.000111,4,0
Cold Showers,0.794,0.827,200000,0.329,0.473,120.02,0.0591,1,-9.88,0.115,8,6.08e-06,4,0
