songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
minding_my business,0.0284,0.512,268668,0.865,0.523,79.09,0.0666,1,-4.808,0.106,2,0.0,4,0
Can't Breathe,0.143,0.771,120893,0.697,0.524,91.465,0.0882,0,-6.304,0.399,10,0.00033,4,0
My Offer,0.761,0.525,255413,0.471,0.15,89.978,0.0325,1,-7.563,0.147,10,0.111,4,0
The Greatest Smile,0.0187,0.785,280604,0.321,0.569,91.57,0.0542,1,-11.064,0.072,0,0.79,4,0
Wave Therapy,0.451,0.214,32249,0.268,0.175,82.507,0.0386,1,-17.567,0.221,5,0.245,4,0
Ghost,0.738,0.768,206313,0.229,0.696,179.717,0.282,0,-7.984,0.11,11,0.901,4,0
Drive Me To Think (Interlude 2),0.966,0.373,39000,0.0377,0.128,90.977,0.043,0,-15.651,0.153,8,0.0736,4,0
From Midnight To Sunrise,0.759,0.445,178707,0.262,0.118,66.829,0.0264,0,-14.099,0.575,11,0.262,4,0
June's Cry,0.232,0.496,236933,0.507,0.322,77.391,0.0337,1,-9.898,0.171,4,0.24,3,0
The Urban Theme - Remastered 2021,0.0597,0.806,162067,0.733,0.821,100.038,0.0746,0,-7.251,0.328,1,0.597,4,0
Nice & Slow - Ryan James Carr Remake - Instrumental,0.00878,0.745,192072,0.471,0.672,133.106,0.0405,1,-8.945,0.195,1,0.652,4,0
Breaktime,0.738,0.6,73589,0.307,0.31,114.689,0.0356,1,-14.234,0.165,8,0.981,4,0
Turning Point (feat. Fisherman),0.971,0.476,88000,0.357,0.223,157.287,0.0476,0,-12.461,0.223,2,0.836,3,0
Sight (Interlude),0.635,0.432,74062,0.361,0.564,108.491,0.228,0,-15.061,0.226,9,9.23e-06,3,0
LOVE MAKES ME DAFT,0.322,0.713,102187,0.559,0.582,88.001,0.0496,1,-7.753,0.41,6,0.854,4,0
Slom Outro,0.126,0.828,133173,0.257,0.305,106.021,0.0483,1,-12.475,0.0947,9,0.238,3,0
eyes of dpr,0.75,0.78,78279,0.543,0.437,92.046,0.268,0,-7.723,0.169,10,0.561,4,0
Yada Yada,0.0689,0.653,207687,0.55,0.359,92.165,0.0869,0,-8.065,0.492,6,1.94e-05,4,0
이었다...(Feat. Q the trumpet),0.979,0.565,169459,0.289,0.225,74.418,0.0775,1,-11.446,0.388,8,0.201,4,0
Fake Loathe,0.555,0.735,244068,0.679,0.911,94.045,0.0286,0,-7.232,0.117,1,0.00736,4,0
Nobody,0.364,0.814,97286,0.264,0.414,139.959,0.0582,1,-15.095,0.109,5,0.876,4,0
Por Amor,0.509,0.59,257364,0.514,0.564,81.034,0.0348,0,-11.15,0.111,0,0.127,4,0
But You,0.293,0.338,108360,0.693,0.518,164.64,0.229,1,-7.234,0.186,3,0.0,4,0
Turning Poison Into Medicine,0.735,0.582,106435,0.165,0.197,136.42,0.0608,0,-14.434,0.123,4,0.882,3,0
