songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Put it Down,0.0214,0.817,308000,0.771,0.662,99.982,0.0639,1,-9.428,0.0435,2,0.839,4,0
Empire,0.295,0.799,287075,0.337,0.753,95.995,0.0338,1,-11.092,0.11,5,0.537,4,0
Dinky Doinky,0.401,0.742,228231,0.87,0.662,99.907,0.0446,1,-3.301,0.0546,8,0.902,4,0
Deluxe Refuge,0.765,0.83,327418,0.566,0.722,95.991,0.0532,1,-7.05,0.147,2,0.0039,4,0
It's Just Begun / Soul Power - Instrumental,0.0882,0.685,348489,0.796,0.961,117.551,0.0488,1,-6.537,0.336,0,0.817,4,0
That Bop,0.0577,0.714,283865,0.561,0.48,116.011,0.04,1,-10.66,0.1,0,0.0899,4,0
Picante,0.201,0.783,223289,0.848,0.743,116.018,0.0462,1,-8.46,0.354,7,0.784,4,0
Stand Up,0.0979,0.705,269995,0.579,0.818,95.037,0.0485,1,-6.797,0.0786,6,0.766,4,0
Mean Green,0.0892,0.775,294959,0.848,0.912,96.046,0.0588,0,-6.332,0.0903,10,0.879,4,0
Mister Magic,0.00606,0.734,541827,0.64,0.868,103.812,0.0661,0,-8.471,0.0602,5,0.37,4,0
Funky G Sus,0.00103,0.497,357482,0.673,0.374,106.057,0.128,1,-9.373,0.0705,0,0.47,4,0
Closer,0.088,0.762,295900,0.825,0.747,132.108,0.124,1,-5.547,0.0515,0,0.000351,4,0
Have A Talk With God,0.841,0.687,341919,0.534,0.784,82.497,0.0375,1,-10.449,0.0677,1,0.16,4,0
Fast Life,0.598,0.618,238830,0.704,0.15,119.975,0.0384,1,-8.912,0.137,7,0.838,4,0
Watermelon Man,0.262,0.724,388960,0.414,0.719,146.939,0.0588,1,-11.19,0.0785,1,0.111,4,0
Lazy Days (feat. Emma-Jean Thackray) [Bluey Remix],0.0698,0.479,391641,0.67,0.647,132.336,0.0518,0,-9.473,0.058,9,0.0604,4,0
The Grid Generation,0.0628,0.642,285680,0.952,0.393,135.981,0.116,1,-5.183,0.0923,9,0.803,4,0
Hizuru - Jazztronik Remix,0.579,0.407,241370,0.64,0.703,110.015,0.0411,0,-9.718,0.111,11,0.892,4,0
Serpentine,0.00544,0.607,228220,0.863,0.889,150.043,0.0608,1,-6.913,0.0401,0,0.864,4,0
Black Crow,0.488,0.719,214909,0.834,0.815,100.913,0.122,1,-7.081,0.092,1,0.00145,4,0
"Degnan Dreams (feat. Keyon Harrold, Justin Tyson & Dominique Sanders)",0.00305,0.574,226905,0.735,0.864,99.937,0.0727,1,-9.036,0.152,2,0.734,4,0
Echo A.D.,0.0898,0.372,244720,0.758,0.457,107.517,0.0284,0,-8.612,0.222,4,0.89,3,0
Iskhathi,0.114,0.851,346667,0.689,0.615,116.958,0.0489,0,-9.032,0.108,1,0.121,4,0
I Got It Bad (And That Ain't Good),0.431,0.665,253747,0.523,0.784,74.289,0.0397,1,-7.007,0.125,0,0.00898,4,0
The Revolution Will Not Be Televised,0.51,0.56,187347,0.767,0.961,180.641,0.191,0,-9.825,0.103,11,0.0,4,0
Spiky Boi,0.000119,0.671,119511,0.862,0.538,94.741,0.102,0,-5.606,0.0945,4,0.836,4,0
Rake Stepper,0.0554,0.765,212000,0.802,0.982,119.993,0.0433,0,-8.918,0.256,0,0.863,4,0
CATS GROOVE,0.487,0.882,91734,0.507,0.832,111.965,0.149,0,-12.391,0.612,5,0.0585,4,0
Dancing in the Dusk - Clap! Clap! Remix,0.551,0.635,431664,0.576,0.162,113.682,0.0508,1,-11.126,0.103,2,0.853,4,0
Jimmy's Groove,0.475,0.777,377171,0.716,0.984,117.774,0.0479,0,-9.22,0.0615,5,0.829,4,0
Mulligan,0.293,0.842,220000,0.678,0.717,96.883,0.11,1,-6.068,0.105,3,0.91,4,0
Funkier Than a Mosquito's Tweeter,0.403,0.53,320427,0.545,0.783,138.678,0.0535,0,-15.729,0.699,8,0.00769,4,0
Blues for Ben,0.182,0.666,299800,0.626,0.96,100.62,0.0399,1,-8.735,0.0748,8,0.873,4,0
May The Funk Be With You,0.0429,0.781,267213,0.483,0.669,103.032,0.063,0,-11.6,0.151,7,0.839,4,0
Where's the Music,0.216,0.623,194227,0.712,0.469,106.847,0.112,1,-9.374,0.439,7,0.796,4,0
Biff,0.176,0.704,242949,0.496,0.792,99.838,0.0413,0,-9.09,0.209,11,0.932,4,0
Moonlight Steppin',0.285,0.7,193640,0.602,0.811,104.958,0.0519,1,-9.82,0.456,9,0.659,4,0
So This Is Love?,0.619,0.615,424040,0.769,0.899,101.663,0.0311,0,-9.999,0.343,9,0.803,4,0
Steps On The Globe,0.429,0.651,260520,0.526,0.545,91.995,0.0284,0,-11.282,0.14,4,0.827,4,0
Mr. Funky samba,0.151,0.632,219173,0.791,0.938,101.675,0.0507,1,-5.509,0.127,2,0.825,4,0
Red Baron,0.0184,0.609,396667,0.396,0.355,84.398,0.044,1,-13.846,0.0721,7,0.849,4,0
Cineramascope,0.00506,0.68,194747,0.904,0.837,113.042,0.0302,1,-5.892,0.212,3,0.849,4,0
Expansions,0.114,0.537,366867,0.694,0.924,126.808,0.0509,0,-12.195,0.346,5,0.0879,4,0
Rajazz,0.672,0.485,441427,0.546,0.795,95.392,0.0545,1,-10.349,0.137,8,0.929,4,0
F'Uncstown,0.591,0.403,222169,0.845,0.62,154.935,0.283,0,-8.638,0.151,9,0.716,4,0
Sign Of The Times (Single Version),0.693,0.535,254600,0.425,0.662,87.427,0.0901,0,-12.757,0.0704,0,0.000756,4,0
The Ups and Downs,0.445,0.787,325200,0.601,0.697,106.02,0.0565,1,-10.802,0.047,11,0.682,4,0
Everything Is Changing,0.00944,0.709,349440,0.937,0.902,119.972,0.0357,1,-5.62,0.295,7,0.149,4,0
