songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Being,0.132,0.734,213750,0.488,0.363,91.973,0.0378,0,-6.069,0.143,8,2.75e-05,4,0
Do,0.387,0.598,165987,0.777,0.678,94.36,0.0865,1,-4.169,0.257,1,2.07e-06,4,0
Slow Dancing,0.257,0.579,187027,0.63,0.552,155.96,0.058,1,-7.758,0.0986,8,0.00462,4,0
Don't Go Insane,0.191,0.721,204880,0.481,0.597,115.007,0.061,0,-6.199,0.11,7,5.85e-06,4,0
Seven (feat. Latto) (Explicit Ver.),0.311,0.802,185427,0.832,0.89,124.997,0.0434,1,-4.107,0.0815,11,0.0,4,0
Love Me Again,0.183,0.633,182293,0.607,0.363,74.029,0.0532,0,-6.182,0.167,0,1.38e-06,4,0
How much more (Feat. Chan),0.523,0.64,201800,0.496,0.532,92.111,0.102,0,-5.514,0.0828,1,0.0,4,0
INVITATION (Feat. Gaeko),0.0726,0.799,191360,0.849,0.913,124.032,0.0704,0,-3.04,0.116,4,0.0,4,0
New Jeans,0.51,0.807,108987,0.721,0.532,134.014,0.0508,0,-6.211,0.115,4,0.00216,4,0
Rock With You - Spotify Singles,0.34,0.532,228227,0.583,0.552,70.301,0.272,0,-6.64,0.121,6,0.0,4,0
Sugarcoat (NATTY Solo),0.0339,0.663,179867,0.82,0.568,94.019,0.0362,0,-3.244,0.0974,5,0.0,4,0
The Weekend,0.062,0.784,167662,0.521,0.817,101.491,0.0322,1,-5.701,0.0995,1,4.75e-06,4,0
ONLY,0.892,0.536,240907,0.296,0.151,122.907,0.0346,1,-7.451,0.0873,5,0.0,3,0
3D (feat. Jack Harlow),0.0322,0.853,201812,0.824,0.888,108.044,0.103,1,-3.287,0.0859,1,0.0,4,0
By My Side,0.672,0.466,206680,0.429,0.375,179.462,0.0445,1,-4.52,0.0928,8,0.0,3,0
Rainy Days,0.739,0.633,179560,0.454,0.282,74.828,0.0875,0,-8.016,0.148,9,0.0,4,0
Peanut Butter & Tears,0.00327,0.531,225613,0.737,0.898,99.987,0.0261,0,-5.574,0.36,10,0.0,4,0
love you twice,0.42,0.749,172189,0.553,0.641,96.044,0.0374,1,-6.385,0.31,10,0.000198,4,0
Hurt,0.731,0.599,177947,0.446,0.567,179.877,0.0833,0,-6.511,0.105,10,0.0,4,0
For You,0.724,0.588,205120,0.452,0.267,83.936,0.039,1,-7.778,0.107,7,0.0,4,0
For Us,0.798,0.556,171160,0.339,0.215,84.968,0.033,0,-11.128,0.172,1,0.0118,4,0
What 2 Do,0.249,0.632,224099,0.531,0.511,95.061,0.0333,1,-5.669,0.346,8,0.0,4,0
No Blueberries,0.534,0.721,185107,0.63,0.908,148.045,0.0409,0,-6.126,0.245,4,0.0,4,0
Shoong! (feat. LISA of BLACKPINK),0.00789,0.763,205101,0.699,0.255,110.01,0.0554,0,-6.118,0.409,11,0.0,4,0
you won't be there for me,0.221,0.779,182646,0.298,0.637,94.921,0.0312,0,-6.462,0.109,2,0.0,4,0
Cookie,0.0596,0.847,235562,0.638,0.661,156.935,0.0575,1,-3.764,0.0894,0,0.0,4,0
Restless,0.382,0.575,267080,0.607,0.298,89.985,0.0274,1,-6.897,0.115,5,0.000112,4,0
D (Half Moon),0.246,0.512,229360,0.765,0.519,169.709,0.136,1,-5.252,0.0573,7,0.0,4,0
Blue,0.68,0.735,149853,0.442,0.277,128.013,0.0719,0,-9.529,0.0992,2,0.0011,4,0
Like Crazy,0.0025,0.629,212241,0.733,0.362,120.001,0.0419,1,-5.445,0.357,7,0.0,4,0
Your Dog Loves You (Feat. Crush),0.928,0.413,270003,0.232,0.134,93.661,0.0371,1,-11.87,0.155,9,3.15e-05,1,0
maybe we need a break,0.769,0.711,184833,0.411,0.362,90.009,0.0373,1,-4.771,0.0898,9,0.0,3,0
So I Danced,0.0412,0.685,173293,0.717,0.754,139.971,0.0365,0,-5.958,0.165,5,0.0606,4,0
Bambi,0.434,0.438,213053,0.632,0.386,61.45,0.0417,0,-4.447,0.214,7,0.0,4,0
Killin’ Me Good,0.204,0.745,185920,0.918,0.647,111.966,0.0741,1,-0.683,0.0449,5,0.0,4,0
Attention,0.236,0.811,180067,0.648,0.695,104.988,0.0368,0,-3.684,0.0761,10,0.0,4,0
Best Lover,0.268,0.74,152911,0.663,0.519,82.004,0.272,1,-5.393,0.121,7,0.0,4,0
Click Like (Prod. Crush) (Feat. Paul Blanco),0.261,0.578,165987,0.773,0.736,145.817,0.141,0,-3.424,0.126,7,0.0,4,0
Thirsty,0.549,0.654,193413,0.787,0.632,77.513,0.0636,1,-2.538,0.13,6,0.0,4,0
Popo (How deep is our love?),0.505,0.604,271216,0.468,0.695,84.886,0.0545,0,-7.093,0.0681,5,0.00192,4,0
Broken Love,0.41,0.708,173240,0.543,0.639,89.976,0.169,0,-3.614,0.0771,7,5.15e-05,4,0
Hype Boy,0.268,0.593,179027,0.935,0.783,99.976,0.225,0,-3.43,0.286,4,0.0,4,0
Hongdae R&B,0.504,0.81,182300,0.44,0.692,119.977,0.0507,0,-8.744,0.127,4,0.0,4,0
Let Me In,0.461,0.549,197533,0.675,0.373,84.013,0.045,0,-4.964,0.171,1,0.0,4,0
Make Up (Feat. Crush),0.502,0.698,207493,0.497,0.646,124.942,0.0825,1,-6.606,0.0918,0,0.0,4,0
Last,0.117,0.695,235667,0.39,0.455,123.985,0.0342,1,-5.439,0.104,7,0.0,3,0
Bittersweet (feat. LeeHi),0.425,0.824,174773,0.68,0.772,110.077,0.0425,0,-6.331,0.0849,10,0.0,4,0
"Cigarette (Feat. Tablo, MISO)",0.271,0.776,241765,0.392,0.438,87.98,0.207,0,-10.493,0.14,5,2.21e-06,4,0
GANADARA (Feat. IU),0.196,0.492,203728,0.615,0.458,90.081,0.244,1,-6.663,0.0772,2,0.0,4,0
Winter blossom (feat. Ashley Alisha & nobody likes you pat),0.462,0.713,168871,0.482,0.452,92.951,0.0507,1,-5.741,0.083,10,0.0,4,0
I'm Gonna Love You,0.434,0.519,151733,0.445,0.505,200.021,0.206,0,-5.452,0.258,0,0.0,4,0
Square (2017),0.0633,0.504,261763,0.79,0.528,99.916,0.0399,1,-5.254,0.26,8,0.0,4,0
zombie pop,0.00799,0.686,114380,0.687,0.88,90.084,0.0555,1,-7.794,0.0781,2,7.33e-05,4,0
MOVIE,0.663,0.583,183147,0.557,0.595,73.615,0.0494,1,-4.012,0.374,3,0.0,4,0
Cry For Love,0.338,0.706,210893,0.692,0.526,136.078,0.0483,0,-4.084,0.113,1,0.0,4,0
