songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
I Wish you Roses,0.143,0.467,225947,0.624,0.31,141.889,0.0508,0,-8.511,0.145,10,0.000899,4,0
Modo Avión,0.568,0.605,181463,0.652,0.415,163.931,0.0981,1,-8.439,0.159,7,0.0217,4,0
CNTRTE,0.292,0.657,166573,0.57,0.375,154.937,0.0849,1,-10.984,0.107,0,0.000735,4,0
I'd Better,0.319,0.818,188996,0.375,0.364,102.001,0.0405,1,-7.729,0.106,9,0.00381,4,0
Gallo Pinto,0.73,0.736,209747,0.618,0.44,120.004,0.0588,1,-5.172,0.0907,8,0.000216,4,0
Numb The Pain,0.491,0.725,206118,0.704,0.309,170.051,0.108,1,-5.152,0.126,5,0.000134,4,0
telepatía,0.112,0.653,160191,0.524,0.553,83.97,0.0502,0,-9.016,0.203,11,0.0,4,0
Thinking About You,0.328,0.625,157267,0.49,0.345,80.469,0.0474,1,-6.363,0.14,2,1.54e-06,4,0
Barcelona,0.287,0.657,227627,0.457,0.262,80.023,0.0369,0,-6.52,0.112,2,7.77e-06,4,0
No digas nada,0.0543,0.858,222545,0.448,0.0962,110.014,0.0422,0,-6.681,0.0994,7,7.62e-05,4,0
Offline,0.846,0.739,170308,0.396,0.626,83.99,0.0466,1,-11.911,0.1,2,0.0,4,0
Dopamina,0.65,0.579,195373,0.395,0.447,77.73,0.0622,0,-7.207,0.119,6,0.0,4,0
Not The One,0.18,0.774,144901,0.475,0.591,97.944,0.0977,0,-9.632,0.26,5,0.000144,4,0
ADIÓS AMOR,0.752,0.355,159507,0.584,0.149,175.347,0.116,1,-5.501,0.0968,1,0.0,4,0
Aire.,0.305,0.826,228500,0.616,0.528,120.088,0.0361,1,-8.258,0.068,10,0.00107,4,0
CANDY,0.885,0.638,193480,0.49,0.403,179.905,0.226,0,-5.726,0.156,4,0.0116,4,0
ATEA AL AMOR,0.519,0.785,172124,0.516,0.672,123.887,0.0562,1,-8.009,0.117,1,1.08e-05,4,0
Rincón,0.133,0.637,164859,0.236,0.266,118.85,0.0797,1,-8.634,0.0989,10,0.0,3,0
Let Me Down Slow,0.0112,0.672,177955,0.823,0.166,88.027,0.0548,1,-3.609,0.443,2,0.0,4,0
Entre Nosotros,0.494,0.729,192353,0.513,0.789,170.064,0.0455,0,-6.345,0.137,5,1.1e-06,3,0
Mi Nena Remix,0.335,0.767,220000,0.701,0.675,125.948,0.106,0,-5.458,0.285,11,0.0,4,0
Daydream - Spanish Remix,0.121,0.649,207748,0.655,0.815,74.999,0.118,0,-7.909,0.228,5,0.0,4,0
Climax,0.337,0.537,148826,0.634,0.762,68.135,0.188,1,-5.09,0.263,5,1.84e-06,4,0
PARA AMARTE A TI,0.631,0.645,215156,0.515,0.44,96.047,0.0263,1,-6.594,0.134,3,0.0,3,0
