songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
On & On,0.0396,0.762,226133,0.403,0.346,80.476,0.158,0,-10.423,0.256,11,0.0113,4,1
Ex-Factor,0.118,0.593,326533,0.619,0.668,80.02,0.0976,0,-9.003,0.484,3,0,4,1
Closer,0.462,0.714,229693,0.436,0.372,93.025,0.0342,1,-6.471,0.107,1,0.0117,4,1
Come Close,0.104,0.721,275067,0.469,0.694,86.811,0.193,1,-9.563,0.0724,1,0.000111,4,1
Wish I Didn't Miss You,0.355,0.856,270893,0.755,0.842,123.883,0.0331,1,-5.691,0.145,10,0.000621,4,1
Next Lifetime,0.129,0.643,386627,0.413,0.339,130.026,0.0565,0,-11.929,0.0949,8,0.00105,4,1
Just Friends (Sunny),0.404,0.754,251427,0.376,0.554,95.018,0.204,1,-7.561,0.358,0,0,4,1
Golden,0.275,0.769,231560,0.558,0.593,100.007,0.0828,0,-6.232,0.0758,10,1.06E-06,4,1
Got 'Til It's Gone,0.0177,0.752,241760,0.364,0.534,89.842,0.277,1,-10.375,0.278,7,0.000306,4,1
Charlene,0.536,0.556,246773,0.346,0.451,123.869,0.311,0,-9.809,0.106,0,0,4,1
Send It On,0.171,0.788,356493,0.258,0.335,127.492,0.104,1,-11.758,0.326,5,0.00721,3,1
Love Calls,0.48,0.812,313373,0.526,0.516,143.981,0.0621,0,-9.347,0.124,6,0.00203,3,1
Get Involved,0.0145,0.852,194694,0.526,0.762,97.984,0.0515,0,-5.099,0.0772,0,0.000461,4,1
Soul Sista,0.538,0.706,318667,0.326,0.705,145.976,0.116,0,-10.45,0.171,8,8.06E-06,4,1
I'd Rather Go Blind,0.126,0.685,251000,0.33,0.635,73.872,0.0402,1,-8.854,0.0753,9,0.00021,3,1
A Long Walk,0.0617,0.713,280973,0.541,0.28,75.714,0.248,0,-9.295,0.112,6,0.000137,4,1
Nothing Even Matters (feat. D'Angelo),0.701,0.539,350533,0.363,0.549,136.422,0.166,0,-13.888,0.14,10,3.18E-06,4,1
Brown Sugar,0.53,0.718,262893,0.486,0.589,83.077,0.168,1,-8.342,0.102,9,0.0342,4,1
The Next Movement,0.029,0.782,250200,0.639,0.487,95.116,0.365,1,-8.154,0.197,1,0,4,1
Brown Skin,0.263,0.697,296107,0.445,0.396,119.943,0.0638,1,-7.081,0.133,5,0.00274,4,1
Appletree,0.0798,0.874,265373,0.45,0.619,94.861,0.0685,1,-10.525,0.0722,7,9.11E-05,4,1
Floetic,0.241,0.746,246493,0.635,0.701,92.993,0.149,1,-5.767,0.0926,6,0,4,1
Mama Knew Love,0.212,0.635,208440,0.695,0.766,79.232,0.314,1,-4.403,0.298,11,0,4,1
Think Twice,0.116,0.731,232533,0.314,0.332,99.231,0.254,0,-10.235,0.594,9,0.043,4,1
Keep Your Worries,0.42,0.734,298267,0.544,0.669,86.617,0.194,0,-4.786,0.0975,11,0,4,1
Dance Tonight,0.00637,0.787,221280,0.425,0.711,99.225,0.0641,0,-5.692,0.196,10,0.00169,4,1
I Think I Love You,0.111,0.549,221987,0.491,0.728,203.818,0.127,1,-9.537,0.0564,0,1.46E-05,4,1
You Got Me,0.151,0.729,259307,0.442,0.757,81.029,0.285,0,-8.106,0.189,11,0,4,1
With You,0.424,0.639,309133,0.266,0.145,100.135,0.0475,0,-8.106,0.0884,8,2.12E-05,4,1
"The Lady Suite - Live from MTV Unplugged, Brooklyn, NY - May 1997",0.242,0.672,260107,0.507,0.466,100.371,0.0583,0,-10.848,0.415,1,0.000821,4,1
Untitled (How Does It Feel),0.16,0.838,430800,0.304,0.221,112.618,0.0626,0,-9.975,0.0828,4,0.0267,3,1
Halfcrazy,0.462,0.412,254493,0.77,0.418,101.955,0.18,0,-6.057,0.0485,11,1.50E-06,3,1
Heard It All Before,0.0614,0.697,295827,0.925,0.678,96.951,0.216,0,-4.209,0.095,3,0,4,1
What Am I Gonna Do,0.276,0.691,280000,0.476,0.541,145.602,0.052,0,-4.702,0.0951,10,0,4,1
Unanswered Question,0.279,0.753,214173,0.538,0.487,91.765,0.34,1,-6.776,0.111,11,5.11E-06,4,1
"Hopeless (From the New Line Cinema Film, ""Love Jones"")",0.612,0.744,234333,0.387,0.843,78.491,0.0474,1,-10.154,0.108,4,0.00962,4,1
Gettin' In the Way,0.143,0.738,236493,0.408,0.417,136.014,0.116,0,-11.257,0.11,1,2.12E-06,4,1
More Than A Woman (feat. Calvin) - Duet w/ Calvin,0.445,0.685,293640,0.404,0.473,131.846,0.121,0,-7.784,0.116,5,0,4,1
Still Ray,0.0437,0.827,183293,0.452,0.922,83.817,0.0355,0,-8.354,0.0913,10,0.000184,4,1
