songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
For Real,0.32,0.595,226333,0.525,0.756,136.061,0.245,1,-7.338,0.0419,11,0,4,1
Cross My Mind,0.0312,0.878,284800,0.242,0.43,146.077,0.281,0,-9.438,0.133,5,0.00163,4,1
He Loves Me (Lyzel in E Flat),0.623,0.649,285747,0.3,0.294,99.989,0.0498,0,-14.74,0.125,3,4.46E-06,4,1
Read Your Mind,0.291,0.755,263507,0.381,0.695,73.108,0.0711,0,-6.696,0.0974,8,5.13E-06,4,1
Knocks Me Off My Feet,0.0663,0.469,222760,0.594,0.485,167.223,0.0403,1,-8.209,0.0806,7,0,4,1
It Kills Me,0.228,0.618,250413,0.764,0.479,107.452,0.0411,1,-4.375,0.0972,8,0,4,1
Kissin' You,0.302,0.746,282333,0.493,0.878,82.04,0.0997,0,-9.427,0.109,11,0.00957,4,1
Bad Habits - uncut,0.0873,0.661,352280,0.67,0.661,148.02,0.258,0,-7.645,0.0794,11,2.01E-06,4,1
Emotional,0.544,0.548,271868,0.542,0.389,83.106,0.0409,0,-8.435,0.148,1,0,4,1
A Couple Of Forevers,0.193,0.494,237573,0.452,0.173,116.293,0.0308,0,-6.724,0.089,10,0,4,1
Whoknows,0.19,0.407,295320,0.678,0.297,117.555,0.104,1,-6.135,0.342,2,0,4,1
Beauty,0.588,0.725,272560,0.278,0.489,119.788,0.0704,0,-14.345,0.0869,0,0,4,1
Just Be A Man About It,0.274,0.753,288933,0.45,0.56,109.408,0.0919,1,-6.909,0.321,9,2.05E-06,4,1
Find Myself in You,0.207,0.695,253907,0.492,0.821,170.115,0.306,0,-9.02,0.0499,5,0,4,1
You're On My Mind,0.311,0.773,272493,0.604,0.709,88.006,0.0585,0,-7.323,0.0742,10,8.03E-05,4,1
Say,0.229,0.475,341973,0.283,0.127,145.202,0.0475,0,-8.891,0.0895,10,2.54E-06,4,1
Backstroke,0.526,0.556,217840,0.747,0.877,80.81,0.102,0,-5.697,0.387,5,0.000866,4,1
You & I,0.144,0.55,234400,0.524,0.285,130.672,0.0327,0,-4.822,0.24,3,0,4,1
Love Of My Life,0.134,0.649,281867,0.445,0.335,123.767,0.029,1,-7.13,0.116,6,7.42E-06,4,1
Don't Take Your Love Away,0.382,0.451,278947,0.523,0.393,186.056,0.0905,1,-5.53,0.0752,7,0,3,1
I Don't Care,0.05,0.706,254119,0.806,0.395,106.016,0.0653,1,-5.881,0.0663,2,0,4,1
Comes To Light (Everything),0.817,0.656,286120,0.264,0.464,129.504,0.0381,1,-12.731,0.133,4,0.352,4,1
If Only You Knew,0.352,0.636,273400,0.47,0.296,132.278,0.0274,1,-5.791,0.0838,11,0,4,1
Believe,0.493,0.622,312920,0.312,0.518,123.821,0.049,0,-7.834,0.144,3,0,4,1
Where Would I Be (The Question),0.436,0.423,286547,0.468,0.585,158.808,0.0711,0,-8.191,0.0535,6,0.0058,4,1
Talkin' To Me (Edit),0.113,0.744,234707,0.406,0.725,89.942,0.0722,0,-6.378,0.0316,8,0,4,1
SupaStar,0.0715,0.514,252347,0.459,0.655,185.202,0.408,0,-9.303,0.26,0,0,4,1
He Can't Love U,0.112,0.721,244053,0.836,0.508,126.279,0.206,0,-3.972,0.235,8,0,4,1
Gotta Go Gotta Leave (Tired),0.0948,0.536,276800,0.39,0.186,111.634,0.108,1,-5.332,0.124,8,0,3,1
U Already Know,0.274,0.694,198880,0.511,0.931,87.014,0.0449,1,-9.34,0.166,8,0,4,1
Have You Seen Her,0.0314,0.742,222267,0.442,0.568,123.639,0.0658,0,-6.606,0.357,11,0,4,1
Love Like This,0.0679,0.695,215652,0.735,0.686,137.943,0.0638,1,-3.439,0.0935,7,0,4,1
Take Me,0.0308,0.71,283733,0.424,0.396,86.316,0.0294,1,-7.239,0.0879,0,0.0332,4,1
The Point Of It All,0.731,0.672,230240,0.457,0.403,117.836,0.0781,1,-6.716,0.118,7,2.02E-06,4,1
Can't Let Go,0.582,0.65,232533,0.501,0.374,127.984,0.0963,1,-6.905,0.112,10,0,4,1
Stingy,0.26,0.622,259493,0.573,0.617,127.132,0.0547,0,-6.934,0.173,1,0,4,1
Everything To Me,0.479,0.308,196960,0.529,0.485,80.794,0.0874,0,-5.319,0.441,7,0,4,1
yes,0.235,0.527,221800,0.765,0.681,173.767,0.256,0,-5.025,0.25,10,0,4,1
sobeautiful,0.0656,0.689,291133,0.562,0.21,133.987,0.0637,0,-7.048,0.0885,7,0,4,1
Lady,0.14,0.815,346267,0.364,0.723,84.898,0.089,0,-11.834,0.121,8,0.0255,4,1
Cupid,0.373,0.685,252267,0.38,0.87,175.562,0.112,1,-11.219,0.0371,8,0,4,1
Signs of Love Makin',0.215,0.687,245893,0.363,0.519,137.365,0.0857,1,-10.144,0.305,8,3.08E-06,4,1
