songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
On & On,0.0396,0.762,226133,0.403,0.346,80.476,0.158,0,-10.423,0.256,11,0.0113,4,1
Brown Sugar,0.53,0.718,262893,0.486,0.589,83.077,0.168,1,-8.342,0.102,9,0.0342,4,1
Didn't Cha Know,0.48,0.753,238733,0.472,0.816,135.277,0.121,0,-9.761,0.284,3,0.0133,4,1
Green Eyes,0.298,0.41,604973,0.288,0.198,63.06,0.0565,1,-13.295,0.0449,1,0.0264,3,1
It's Love,0.0224,0.704,354400,0.588,0.573,171.939,0.19,0,-8.75,0.0517,1,0.00885,4,1
Fallin',0.263,0.652,210200,0.609,0.482,95.986,0.037,0,-7.519,0.233,11,0.00101,3,1
Fit The Picture,0.871,0.783,205787,0.391,0.721,114.967,0.0319,0,-10.797,0.0969,8,0.00388,4,1
"Gone Baby, Don't Be Long",0.158,0.689,279720,0.763,0.725,172.513,0.222,0,-3.837,0.0856,6,0.00437,4,1
Next Lifetime,0.129,0.643,386627,0.413,0.339,130.026,0.0565,0,-11.929,0.0949,8,0.00105,4,1
Better,0.417,0.731,213656,0.339,0.149,123.003,0.0656,1,-8.308,0.114,8,0.0149,4,1
Video,0.111,0.652,249960,0.604,0.675,170.003,0.227,0,-8.766,0.0409,9,1.01E-05,4,1
Time Moves Slow,0.471,0.621,273864,0.376,0.322,139.842,0.0552,1,-10.832,0.102,2,0.0289,4,1
When We Get By,0.103,0.763,344893,0.407,0.703,108.894,0.0342,1,-11.514,0.0532,11,0.418,4,1
Andromeda,0.531,0.632,123000,0.615,0.507,82.924,0.162,1,-5.426,0.111,11,0.0536,4,1
Gettin' in the Way,0.128,0.632,236493,0.41,0.396,136.191,0.127,1,-11.239,0.117,9,8.67E-06,4,1
Intro / Stronger Than Me,0.143,0.867,234111,0.489,0.661,91.431,0.0676,0,-4.959,0.0883,9,0.000148,4,1
Soldier,0.0028,0.508,303640,0.619,0.247,91.895,0.195,0,-7.072,0.111,10,0.539,4,1
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),0.555,0.663,284160,0.465,0.279,127.932,0.0317,0,-9.711,0.125,8,0.00183,4,1
Betray My Heart,0.646,0.796,355333,0.436,0.589,105.707,0.22,1,-11.169,0.126,0,0.048,4,1
Woo,0.246,0.752,194160,0.607,0.747,86.978,0.158,0,-7.997,0.108,10,0.00432,4,1
A Long Walk,0.0508,0.723,280973,0.537,0.3,152.067,0.252,1,-9.314,0.114,9,0.000183,4,1
Redbone,0.192,0.745,326933,0.359,0.55,160.123,0.112,1,-10.429,0.138,1,0.00628,4,1
In Love With You,0.577,0.734,321000,0.268,0.666,132.556,0.0646,0,-12.876,0.163,9,0,4,1
Afro Blue,0.0291,0.775,307627,0.571,0.379,97.491,0.0342,1,-8.097,0.0941,8,0.0882,4,1
Certainly - Flipped It,0.0134,0.754,326040,0.361,0.455,78.093,0.0493,0,-8.634,0.124,10,0.326,4,1
Back In The Day,0.191,0.744,286920,0.548,0.524,91.845,0.104,0,-9.245,0.186,5,0.0232,4,1
Smooth,0.208,0.71,259367,0.553,0.646,88.962,0.138,1,-10.223,0.0905,6,0.000994,4,1
Lady - Just Tha Beat Mix,0.0906,0.749,241840,0.594,0.674,170.03,0.149,1,-11.973,0.0849,10,0,4,1
Exclusively,0.231,0.926,125240,0.437,0.586,94.016,0.345,1,-12.052,0.104,1,0.00391,4,1
Certainly,0.0779,0.717,283227,0.394,0.179,71.074,0.193,1,-9.891,0.244,7,0.0109,4,1
Lady,0.14,0.815,346267,0.364,0.723,84.898,0.089,0,-11.834,0.121,8,0.0255,4,1
Spanish Joint,0.537,0.729,344493,0.498,0.781,111.822,0.0822,0,-8.906,0.134,0,0.317,4,1
Bag Lady,0.365,0.724,348893,0.416,0.578,151.181,0.0841,0,-8.964,0.0969,5,0,4,1
Jonz In My Bonz,0.462,0.796,356000,0.408,0.688,86.855,0.231,1,-12.268,0.0993,1,0.0902,4,1
Navajo,0.117,0.567,194157,0.593,0.358,88.545,0.288,0,-7.404,0.248,6,1.32E-06,4,1
Insomnia,0.392,0.723,235787,0.609,0.645,85.575,0.0674,1,-7.747,0.0919,8,0.00326,4,1
Do You Remember,0.466,0.818,283200,0.407,0.258,131.998,0.0467,1,-9.84,0.1,1,0.129,4,1
Strength Courage & Wisdom,0.075,0.64,297800,0.6,0.627,175.832,0.0948,1,-6.341,0.0752,7,7.90E-05,4,1
"Shit, Damn, Motherfucker",0.343,0.803,314166,0.236,0.567,80.974,0.0994,1,-12.599,0.0682,7,0.598,4,1
Cross My Mind,0.0356,0.872,284800,0.245,0.411,146.148,0.254,0,-10.356,0.194,5,0.00184,4,1
Tyrone - Extended Version,0.309,0.74,345360,0.37,0.31,131.995,0.222,0,-9.671,0.374,10,0.0102,4,1
Happy Again,0.665,0.546,116637,0.624,0.442,139.528,0.222,1,-8.586,0.135,7,0,4,1
