songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Dance Tonight,0.00637,0.787,221280,0.425,0.711,99.225,0.0641,0,-5.692,0.196,10,0.00169,4,1
Tell Me,0.035,0.8,236067,0.362,0.888,93.059,0.0634,0,-10.849,0.0667,6,3.99E-06,4,1
Music,0.501,0.778,245426,0.636,0.52,98.008,0.129,1,-6.539,0.106,1,4.25E-05,4,1
Sumthin' Sumthin' - Remastered 2021,0.445,0.796,257670,0.537,0.857,97.886,0.0751,0,-9.383,0.0862,10,0.0725,4,1
You,0.429,0.777,302187,0.654,0.515,124.009,0.0336,1,-7.333,0.105,2,0,4,1
Cherish the Day,0.0121,0.68,332133,0.39,0.679,80.148,0.0546,1,-13.239,0.105,8,0.0854,4,1
Pieces Of Me,0.153,0.681,202733,0.704,0.554,126.022,0.0578,1,-4.417,0.134,8,0,4,1
sobeautiful,0.0656,0.689,291133,0.562,0.21,133.987,0.0637,0,-7.048,0.0885,7,0,4,1
Say Yes,0.211,0.747,268373,0.398,0.428,117.901,0.0743,0,-12.932,0.113,5,1.42E-06,1,1
Be Here,0.228,0.613,228973,0.602,0.709,87.389,0.327,0,-5.733,0.0737,6,1.11E-06,4,1
Buddy,0.0534,0.735,223813,0.839,0.834,89.942,0.271,0,-4.705,0.0942,6,0,4,1
The Sweetest Taboo,0.128,0.752,277153,0.824,0.961,91.563,0.0447,0,-9.455,0.306,10,0.0103,4,1
Spend My Life With You,0.434,0.583,276013,0.435,0.292,72.01,0.0386,1,-8.784,0.102,8,5.49E-05,4,1
Guess Who Loves You More,0.153,0.764,320027,0.507,0.809,77.256,0.153,0,-8.199,0.0879,5,0,4,1
Settle For My Love,0.448,0.613,340200,0.568,0.436,127.24,0.108,1,-9.828,0.0879,5,0.00168,4,1
Nothing In This World,0.195,0.7,251067,0.63,0.399,131.95,0.0444,1,-3.344,0.034,6,0,4,1
Another Again,0.111,0.526,241733,0.837,0.438,82.196,0.282,1,-6.565,0.286,6,1.23E-06,4,1
Next Lifetime,0.129,0.643,386627,0.413,0.339,130.026,0.0565,0,-11.929,0.0949,8,0.00105,4,1
Friend Of Mine,0.0947,0.601,329293,0.562,0.462,119.559,0.0535,0,-7.067,0.105,10,0,4,1
Share My Life,0.184,0.694,259760,0.536,0.304,74.495,0.0447,0,-6.701,0.153,1,0.000722,4,1
Hey You,0.0707,0.608,304000,0.383,0.154,133.951,0.0583,0,-8.32,0.0902,6,0.000533,1,1
Where I Wanna Be,0.52,0.664,253627,0.396,0.453,102.053,0.0298,0,-9.131,0.268,5,0,4,1
Charlene,0.536,0.556,246773,0.346,0.451,123.869,0.311,0,-9.809,0.106,0,0,4,1
I Wanna Know,0.26,0.725,296693,0.487,0.599,136.086,0.0368,0,-5.959,0.431,8,1.09E-05,4,1
No Ordinary Love,0.468,0.629,440467,0.364,0.699,166.254,0.038,0,-12.259,0.0941,11,0.0198,4,1
Epiphany,0.0285,0.773,152720,0.587,0.823,164.016,0.113,1,-8.848,0.0865,2,0.491,4,1
teachme,0.473,0.499,260773,0.61,0.436,172.969,0.135,0,-5.11,0.0722,8,0,3,1
Find Your Way,0.764,0.655,273493,0.644,0.796,175.123,0.0426,0,-9.013,0.119,9,0.14,4,1
Lifetime - Remastered 2021,0.326,0.678,329400,0.403,0.528,127.997,0.0742,1,-8.862,0.069,9,3.67E-06,4,1
