songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Blessin Me,0.2038,0.941,302858,0.294,0.292,104.501,0.541,1,-13.888,0.1551,0,0.02503119,4,1
Next Lifetime,0.827,0.694,219316,0.411,0.922,87.715,0.3949,1,-2.831,0.1116,10,0.01779249,4,1
Next Lifetime,0.62124,0.705,430800,0.339,0.334,88.706,0.1718,1,-3.688,0.1001,7,0.00090502,4,1
What Am I Gonna Do,0.0038,0.352,292316,0.38,0.587,106.278,0.1949,0,-3.155,0.0862,1,0,4,1
Keep Your Worries,0.13458,0.761,229838,0.889,0.145,89.249,0.1412,1,-8.729,0.066,2,0.16042856,4,1
Cloud 9 - Main,0.17479,0.655,250128,0.318,0.145,166.713,0.2022,0,-13.888,0.0482,0,0.01761719,4,1
Brotha,0.72539,0.583,429758,0.925,0.714,76.035,0.0564,0,-6.457,0.2463,4,0,4,1
Window Seat,0.827,0.567,355172,0.496,0.402,95.838,0.0818,0,-10.106,0.2372,11,0,4,1
Romantic (feat. Soulive),0.00491,0.691,312857,0.355,0.922,117.702,0.2397,0,-8.354,0.1757,4,0,4,1
Next Lifetime,0.37975,0.948,391571,0.362,0.902,116.759,0.1201,0,-11.758,0.4099,7,0,4,1
Never Change,0.827,0.733,268311,0.406,0.746,133.415,0.4677,0,-8.476,0.0759,11,0.00721532,4,1
Brotha,0.23394,0.541,352230,0.337,0.922,98.218,0.541,0,-2.831,0.2226,8,0.01720215,4,1
Ah Yeah,0.08184,0.781,183293,0.258,0.362,102.423,0.4635,0,-11.516,0.0225,3,0.0047504,4,1
So Fine,0.17855,0.857,301167,0.566,0.922,203.818,0.1703,0,-9.981,0.1614,6,0.01154758,4,1
Floetic,0.27704,0.842,188715,0.77,0.832,94.035,0.0382,1,-6.325,0.0225,2,0.01043575,4,1
So Far To Go,0.77797,0.467,330726,0.482,0.6,77.005,0.2502,1,-4.76,0.0827,0,0,4,1
So Far To Go,0.38896,0.894,388916,0.602,0.795,203.818,0.541,0,-12.022,0.1239,4,0,4,1
"N2U f, Marsha Ambrosius",0.05063,0.596,430800,0.557,0.922,122.271,0.0264,0,-8.021,0.0225,6,0,4,1
On & On,0.0395,0.789,183293,0.267,0.553,95.074,0.49,0,-8.9,0.0697,11,0,4,1
Charlene,0.827,0.553,286664,0.476,0.336,126.401,0.1702,1,-11.717,0.0534,0,0,4,1
Down Here In Hell (With You),0.01047,0.421,198478,0.258,0.837,96.489,0.541,0,-10.581,0.0225,5,0,3,1
With You,0.27484,0.461,260539,0.637,0.922,126.249,0.5069,1,-8.851,0.1834,7,0,4,1
Brotha,0.31087,0.726,430800,0.587,0.525,121.697,0.1271,0,-13.888,0.0672,8,0,4,1
When You're Near,0.0038,0.891,308161,0.258,0.28,72.897,0.0784,0,-13.888,0.1223,1,0.01587509,4,1
Distant Lady,0.0038,0.852,220325,0.562,0.34,97.269,0.541,1,-13.864,0.2552,4,0.006549,4,1
I-69,0.25827,0.948,278826,0.258,0.922,104.627,0.1925,0,-13.691,0.1326,2,0.01389305,4,1
Can't Change Me,0.43543,0.948,259840,0.402,0.4,99.316,0.2725,1,-13.888,0.2214,6,0.02679454,4,1
Don't You Forget It,0.386,0.546,328780,0.608,0.239,97.675,0.1995,0,-11.697,0.0903,0,0.01515364,4,1
Wishful Thinking,0.05231,0.803,430800,0.258,0.146,103.139,0.541,0,-12.571,0.2561,11,0.00880048,4,1
I Believe in You,0.07622,0.496,430800,0.261,0.7,71.384,0.541,1,-3.02,0.119,3,0.01762864,4,1
Music,0.24053,0.948,311086,0.258,0.181,70.416,0.2432,0,-13.888,0.1632,11,0,4,1
Nothing Even Matters (feat. D'Angelo),0.15714,0.948,279570,0.316,0.922,124.177,0.1166,0,-5.95,0.1739,7,0,4,1
Brown Sugar,0.48364,0.643,315073,0.502,0.904,103.46,0.5141,1,-4.146,0.1883,7,0.00717426,2,1
Love Calls,0.34437,0.718,183293,0.539,0.922,203.818,0.1743,0,-9.056,0.0225,0,0.01358856,4,1
Brotha,0.17597,0.911,302435,0.258,0.448,74.77,0.0264,1,-11.467,0.1753,11,0.0187729,4,1
Closer,0.20351,0.948,277908,0.478,0.201,73.032,0.0707,0,-13.778,0.594,11,0.00706209,4,1
Tell Me,0.20803,0.926,327130,0.337,0.922,76.065,0.0264,1,-2.831,0.0848,8,0.0206128,4,1
"N2U f, Marsha Ambrosius",0.20163,0.824,205547,0.258,0.145,91.034,0.2306,0,-13.888,0.1267,4,0,4,1
Chic,0.0121,0.485,405680,0.404,0.301,192.524,0.541,1,-13.888,0.1197,0,0,4,1
Could It Be,0.09856,0.561,408818,0.468,0.145,103.294,0.1548,0,-13.888,0.1683,8,0,4,1
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",0.22832,0.532,254865,0.477,0.815,99.326,0.2334,1,-9.628,0.1119,9,0.0074273,4,1
Can't Get Enough,0.35561,0.948,233280,0.33,0.396,126.055,0.1711,0,-13.888,0.2045,0,0,3,1
Just Friends (Sunny),0.05063,0.727,288423,0.272,0.393,166.937,0.0911,0,-8.556,0.0225,8,0,4,1
Keep Your Worries,0.827,0.601,301404,0.637,0.567,203.818,0.3207,1,-8.91,0.2105,8,0.00045285,4,1
