songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Just Got Paid,0.0398,0.786,331067,0.745,0.946,114.951,0.0381,0,-7.012,0.779,11,1.68e-06,4,1
Teddy's Jam,0.0343,0.789,215240,0.762,0.619,104.584,0.063,0,-13.129,0.0451,6,0.247,4,1
New Jack Swing,0.0215,0.813,228733,0.683,0.777,106.96,0.0531,1,-12.103,0.229,11,5.31e-05,4,1
I Want Her,0.0145,0.74,360107,0.467,0.89,107.848,0.0425,0,-12.066,0.173,11,1.55e-06,4,1
Is It Good To You,0.0677,0.774,257400,0.81,0.526,107.709,0.0649,1,-7.775,0.0269,1,0.000701,4,1
It's Gonna Be Alright (feat. Charlie Wilson),0.00315,0.756,333107,0.593,0.64,104.129,0.0359,1,-11.564,0.102,1,8.99e-06,4,1
Remember the Time,0.153,0.831,239227,0.921,0.795,108.002,0.0582,0,-2.383,0.305,5,0.00224,4,1
Reminisce,0.0397,0.647,323133,0.699,0.53,91.435,0.0668,0,-8.122,0.154,9,3.15e-05,4,1
I'm Dreamin',0.248,0.787,303707,0.743,0.692,110.137,0.0581,1,-9.34,0.242,6,7.07e-06,4,1
My Prerogative,0.0655,0.762,291560,0.625,0.696,110.163,0.0562,1,-10.481,0.252,9,0.0,4,1
Don't Walk Away,0.147,0.831,216373,0.915,0.881,102.979,0.128,0,-7.501,0.196,10,0.00571,4,1
All About Love,0.00963,0.74,289200,0.829,0.743,109.053,0.0333,0,-9.273,0.0464,10,0.000421,4,1
Feels Good,0.115,0.827,298373,0.852,0.635,117.17,0.0942,1,-12.052,0.299,2,1.49e-05,4,1
The Way You Love Me,0.0712,0.797,294720,0.785,0.863,105.072,0.0723,1,-7.523,0.0691,6,0.0,4,1
Off on Your Own (Girl),0.00299,0.693,249000,0.535,0.666,95.557,0.0446,0,-13.99,0.0636,10,3.03e-06,4,1
I Wanna Sex You Up - Single Mix,0.00549,0.551,236947,0.591,0.474,201.81,0.12,0,-8.404,0.0416,6,6.55e-06,4,1
Groove Me,0.0287,0.809,273760,0.645,0.756,107.92,0.0791,1,-14.134,0.444,1,0.0,4,1
Misunderstanding,0.0215,0.742,267547,0.719,0.866,112.913,0.038,1,-9.372,0.0641,1,0.0022,4,1
"Why You Get Funky On Me - From ""House Party"" Soundtrack",0.042,0.721,224200,0.62,0.699,109.952,0.0662,1,-10.766,0.0407,0,0.00113,4,1
Somebody For Me,0.039,0.779,303400,0.46,0.476,105.419,0.101,0,-17.053,0.0292,4,0.0304,4,1
Humpin' Around,0.00223,0.71,378493,0.8,0.61,110.211,0.04,1,-7.141,0.0455,1,0.211,4,1
Motownphilly,0.0143,0.754,235227,0.857,0.785,114.144,0.0605,1,-9.699,0.278,2,2.14e-05,4,1
I Just Can't Handle It,0.0208,0.756,269133,0.807,0.454,108.889,0.0502,0,-5.349,0.289,11,0.0,4,1
Gotta Love,0.0193,0.753,284800,0.737,0.365,116.858,0.113,1,-9.485,0.632,2,0.0,4,1
Spread My Wings,0.168,0.637,308240,0.844,0.481,97.07,0.0686,1,-10.714,0.301,11,0.0,4,1
Live and Learn,0.0794,0.744,262333,0.894,0.683,106.637,0.0711,0,-9.448,0.139,11,0.0,4,1
I Like,0.023,0.711,289333,0.827,0.593,105.204,0.0639,1,-14.404,0.296,8,7.93e-06,4,1
Poison,0.00195,0.84,261853,0.56,0.775,111.815,0.21,0,-10.53,0.633,6,0.00417,4,1
Good Love,0.0101,0.707,346867,0.777,0.614,98.107,0.0596,1,-10.0,0.339,8,0.000384,4,1
Here We Go Again! - Radio Edit,0.0256,0.771,235200,0.745,0.599,106.709,0.0904,0,-10.217,0.107,11,0.000374,4,1
You Called And Told Me,0.117,0.722,255413,0.733,0.823,108.274,0.0597,0,-6.279,0.354,6,7.27e-05,4,1
It's No Crime,0.0608,0.802,241493,0.802,0.912,116.316,0.0513,1,-6.709,0.0727,2,0.000252,4,1
II Hype,0.075,0.798,373560,0.763,0.721,102.071,0.166,0,-8.713,0.169,1,1.51e-06,4,1
Do The Right Thing,0.153,0.71,237667,0.79,0.738,108.58,0.0476,1,-10.474,0.332,5,0.00251,4,1
How Ya Like Me Now,0.000758,0.876,337333,0.823,0.588,104.2,0.11,1,-9.972,0.0469,1,0.000489,4,1
Ain't My Type Of Hype,0.0594,0.826,288373,0.709,0.779,109.869,0.0646,1,-14.279,0.316,5,0.0,4,1
What About Your Friends,0.0267,0.744,293600,0.851,0.626,105.882,0.049,0,-10.108,0.0989,10,0.00738,4,1
She's Playing Hard To Get,0.00847,0.525,276573,0.811,0.751,199.977,0.0602,1,-6.148,0.266,1,0.0,4,1
Just Ask Me,0.0245,0.759,247907,0.766,0.704,109.952,0.0564,0,-8.243,0.106,5,1.44e-06,4,1
The Right Stuff,0.0637,0.8,267173,0.66,0.576,112.592,0.0568,0,-11.164,0.0352,11,0.0105,4,1
My Fantasy,0.265,0.691,295333,0.975,0.63,113.275,0.0735,1,-3.83,0.0791,7,5.62e-06,4,1
Rub You The Right Way,0.0152,0.66,332307,0.873,0.864,111.872,0.0461,1,-6.952,0.331,10,0.00324,4,1
B.B.D. (I Thought It Was Me)?,0.00348,0.748,275107,0.799,0.795,105.569,0.0438,1,-9.322,0.103,1,1.59e-06,4,1
Baby Be Mine,0.0264,0.897,182040,0.601,0.425,105.562,0.187,1,-5.608,0.322,2,1.37e-06,4,1
Give U My Heart (feat. Toni Braxton),0.0723,0.71,301627,0.749,0.819,103.852,0.0496,1,-10.485,0.0519,8,1.76e-05,4,1
Rump Shaker,0.0025,0.888,312360,0.822,0.233,102.753,0.219,0,-6.843,0.303,5,0.0197,4,1
Let Me Be the One,0.00662,0.629,297520,0.518,0.632,92.042,0.0352,1,-13.237,0.0534,11,0.0,4,1
The One For Me,0.141,0.73,278640,0.802,0.495,97.531,0.135,0,-6.392,0.0975,11,0.0,4,1
Make You Sweat,0.0464,0.65,320507,0.805,0.639,104.965,0.0455,1,-10.53,0.123,7,3.26e-06,4,1
Your Sweetness,0.114,0.791,243240,0.942,0.817,112.104,0.0712,0,-9.295,0.0452,6,0.00743,4,1
Every Little Step,0.00721,0.797,237240,0.656,0.948,99.828,0.0404,1,-11.601,0.0377,1,0.0,4,1
You (You're The One For Me),0.0017,0.827,300560,0.626,0.834,112.292,0.0872,0,-11.62,0.129,6,0.0913,4,1
Friends,0.138,0.658,268147,0.866,0.77,100.035,0.0509,1,-9.491,0.131,2,0.0001,4,1
Anything (feat. Wu-Tang Clan) - Old Skool Radio Version,0.0299,0.8,295600,0.796,0.791,97.055,0.0476,0,-8.121,0.269,10,2.57e-05,4,1
Under Pressure,0.00591,0.733,253800,0.767,0.873,114.737,0.141,0,-6.575,0.209,1,1.19e-05,4,1
Call Me A Mack,0.0012,0.546,246000,0.832,0.713,182.447,0.0722,1,-8.467,0.296,0,0.0408,4,1
