songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Waiting For You (feat. Naomi Sharon),0.531,0.776,219999,0.537,0.586,82.02,0.0406,0,-5.459,0.111,10,0.0316,4,0
SHIMMER,0.335,0.759,218733,0.615,0.748,104.987,0.133,0,-9.244,0.0715,11,0.00297,4,0
No Matter What They Say,0.627,0.545,212760,0.425,0.339,80.562,0.05,0,-9.126,0.0914,1,6.95e-05,4,0
Self,0.445,0.725,199615,0.417,0.975,151.947,0.0976,0,-10.635,0.0834,1,0.79,4,0
Cherry Delight,0.607,0.702,177600,0.46,0.602,99.958,0.0302,0,-11.67,0.0847,1,0.43,4,0
Moving,0.464,0.755,177149,0.709,0.706,121.98,0.0856,0,-7.133,0.0936,5,0.0334,4,0
As You Are - A COLORS SHOW,0.343,0.628,221493,0.484,0.496,113.842,0.0396,0,-8.336,0.297,3,8.62e-06,4,0
Masego’s Interlude,0.892,0.683,126682,0.201,0.246,107.899,0.0773,0,-14.991,0.108,1,0.0073,3,0
Landing Soft,0.0756,0.687,218389,0.629,0.154,87.025,0.0457,1,-8.05,0.121,0,0.00778,4,0
"My Way, Anyway",0.457,0.651,183439,0.371,0.531,87.193,0.0967,0,-13.82,0.377,1,0.00597,4,0
For Granted (feat. Arin Ray),0.147,0.774,176842,0.613,0.344,95.011,0.0606,0,-8.713,0.111,11,0.00757,4,0
Take Care,0.568,0.619,229377,0.336,0.573,77.762,0.183,0,-13.628,0.0919,2,0.0014,4,0
Text Me When You Get Home,0.45,0.513,317647,0.385,0.276,135.728,0.0454,1,-8.791,0.279,11,1.91e-05,4,0
Damn,0.239,0.688,196793,0.556,0.638,85.952,0.147,0,-8.155,0.103,7,6.51e-05,4,0
You Never Visit Me - Single Version,0.615,0.755,230906,0.526,0.536,80.221,0.284,1,-6.213,0.0872,0,1.35e-05,4,0
We Found Love,0.515,0.29,189187,0.384,0.427,75.952,0.0503,1,-10.931,0.104,3,9.54e-06,4,0
knowuright,0.359,0.689,240427,0.403,0.429,119.939,0.0764,1,-8.147,0.106,6,0.000631,4,0
Naked - Feat. Leven Kali,0.51,0.638,184386,0.779,0.971,81.99,0.0602,0,-5.445,0.334,5,2.02e-06,4,0
Stay,0.617,0.759,175291,0.444,0.374,94.443,0.116,0,-8.859,0.133,6,0.0,4,0
Desire,0.65,0.622,293979,0.229,0.206,113.477,0.0504,0,-12.052,0.125,7,0.0786,5,0
"Love, Trust, Patience",0.105,0.615,259253,0.24,0.298,119.358,0.079,1,-9.882,0.119,0,1.07e-06,3,0
Back To Love [Feat. SiR & Alex Isley],0.207,0.568,201773,0.549,0.204,90.035,0.0547,0,-10.462,0.115,0,0.00211,4,0
Simple Love Songs - Extended Version,0.247,0.892,171839,0.377,0.737,95.008,0.0398,1,-9.049,0.114,5,0.00654,4,0
Berlin,0.794,0.39,295530,0.277,0.21,109.965,0.0402,0,-12.048,0.207,2,1.73e-05,4,0
On the Run,0.264,0.766,231111,0.549,0.316,118.586,0.0406,0,-6.405,0.0888,5,0.000319,4,0
HANGING WITH YOU,0.583,0.826,230649,0.371,0.805,77.0,0.0698,0,-9.279,0.0762,1,0.0016,4,0
Told you so,0.734,0.601,289947,0.273,0.229,114.768,0.085,0,-8.586,0.148,6,0.0,4,0
My Phone Can Die,0.221,0.63,179509,0.432,0.339,122.119,0.0369,0,-7.071,0.103,6,9e-05,4,0
champion,0.745,0.517,220718,0.611,0.631,88.461,0.218,1,-9.282,0.296,4,0.0119,4,0
Far Gone,0.616,0.812,169000,0.442,0.448,119.964,0.0532,0,-11.236,0.0961,9,0.00211,4,0
Through The Night (feat. Free Nationals),0.689,0.468,258024,0.38,0.406,129.897,0.0309,1,-6.326,0.114,1,5.98e-05,3,0
Sololove,0.453,0.652,197385,0.675,0.741,90.341,0.0739,0,-5.74,0.374,5,0.00833,4,0
Aged Eyes,0.166,0.417,246400,0.529,0.196,87.982,0.0445,1,-13.013,0.118,7,0.449,4,0
"Virgo (feat. Brandee Younger, Julius Rodriguez)",0.118,0.43,518558,0.535,0.305,102.994,0.0607,0,-12.581,0.0694,6,0.362,4,0
PINK MARMALADE,0.103,0.782,201017,0.648,0.525,79.98,0.128,0,-5.757,0.662,5,0.303,4,0
Means The World,0.599,0.64,181131,0.666,0.748,73.068,0.29,0,-7.332,0.361,8,9.49e-05,4,0
Feelings,0.416,0.72,153500,0.424,0.443,70.026,0.0409,0,-7.194,0.107,4,0.0223,5,0
In Need - Reworked,0.441,0.726,207666,0.435,0.416,78.075,0.0942,1,-10.288,0.0963,1,0.445,4,0
Show Her The Way,0.214,0.626,242431,0.686,0.387,112.099,0.0565,0,-7.364,0.171,0,5.74e-05,4,0
There's Too Much Of You,0.0474,0.708,138667,0.517,0.908,179.964,0.236,1,-10.231,0.0887,1,0.00049,4,0
Kaleidoscope,0.52,0.803,226630,0.345,0.376,99.957,0.0789,1,-13.683,0.0856,8,0.000562,4,0
I Choose U (feat. RINI),0.0221,0.467,201900,0.686,0.55,162.001,0.0816,0,-5.045,0.122,11,0.00261,4,0
Ride with You,0.0716,0.572,164793,0.675,0.273,173.983,0.0932,0,-9.639,0.117,7,0.241,4,0
Limelight,0.357,0.906,183800,0.26,0.546,90.934,0.0825,0,-10.88,0.106,10,0.0382,4,0
Astrology Joint,0.739,0.658,152233,0.429,0.637,73.207,0.137,0,-10.276,0.0977,2,0.00359,4,0
Look What You've Done,0.725,0.697,312727,0.387,0.398,132.057,0.0361,1,-10.024,0.0937,0,0.735,4,0
Way That We Feel,0.402,0.695,190469,0.568,0.54,134.999,0.0683,0,-7.296,0.189,0,0.00112,4,0
Mood Right,0.522,0.794,169213,0.384,0.761,89.034,0.254,0,-6.733,0.0919,6,0.00149,4,0
THEO SAYS,0.161,0.711,259012,0.672,0.512,89.974,0.073,0,-8.335,0.106,11,0.189,4,0
Love Island,0.393,0.449,143979,0.577,0.403,79.881,0.165,0,-8.279,0.132,1,0.000362,4,0
Just Expectationz,0.202,0.574,228878,0.642,0.649,159.908,0.217,1,-6.791,0.096,6,4.97e-06,4,0
Beh Beh,0.311,0.694,198400,0.344,0.607,150.071,0.168,0,-14.777,0.117,5,0.342,4,0
Got Me In My Feelings,0.441,0.446,234714,0.413,0.544,61.276,0.142,1,-9.308,0.268,5,0.0,4,0
Get Away,0.513,0.765,183051,0.32,0.633,118.004,0.0519,0,-7.957,0.135,9,0.685,4,0
Beach,0.837,0.606,177138,0.492,0.307,146.4,0.169,0,-13.618,0.0935,5,0.00122,4,0
Price You Pay,0.898,0.775,183000,0.14,0.456,119.901,0.078,1,-11.903,0.0992,9,0.00564,3,0
Summer Breeze,0.696,0.598,222519,0.311,0.34,127.425,0.295,1,-14.259,0.11,9,0.0614,4,0
Take Time (feat. Tobe Nwigwe),0.469,0.584,223633,0.607,0.571,131.09,0.409,1,-10.303,0.236,4,8.12e-05,4,0
Falling Off You,0.129,0.788,221538,0.293,0.285,117.004,0.0416,1,-9.719,0.0951,9,0.00136,4,0
TEARS OF JOY,0.193,0.639,203065,0.573,0.671,81.98,0.0399,0,-6.368,0.139,11,0.000145,4,0
Scene 1,0.505,0.693,169917,0.426,0.769,71.987,0.0736,0,-13.774,0.0979,5,0.378,4,0
Screw My Head Back On,0.451,0.801,176364,0.71,0.678,105.001,0.091,0,-5.476,0.134,7,0.386,4,0
How Long,0.152,0.66,213620,0.538,0.564,80.764,0.262,1,-9.492,0.201,2,0.0,4,0
Where I Go (feat. H.E.R.),0.735,0.62,201027,0.396,0.774,87.865,0.206,0,-15.498,0.0976,1,0.000985,4,0
Send My Love,0.462,0.636,244933,0.677,0.297,109.909,0.0371,0,-6.631,0.148,1,7.09e-06,4,0
Tell Me Again,0.354,0.672,211434,0.764,0.246,100.944,0.0752,0,-7.832,0.162,11,0.0493,4,0
Bad Company,0.807,0.713,218680,0.542,0.367,95.9,0.249,1,-7.77,0.162,1,0.255,4,0
