songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
...Baby One More Time,0.202,0.759,211067,0.699,0.907,92.96,0.0307,0,-5.745,0.443,0,0.000131,4,0
I Want It That Way,0.257,0.689,213307,0.694,0.482,99.039,0.027,0,-5.83,0.148,6,0,4,0
Wannabe,0.101,0.768,173027,0.864,0.891,110.008,0.0324,1,-6.145,0.162,11,0,4,0
Livin' la Vida Loca,0.00414,0.425,243160,0.954,0.933,178.043,0.0476,0,-3.756,0.0555,1,0,4,0
All That She Wants,0.00547,0.798,211213,0.625,0.858,93.764,0.0548,1,-9.689,0.103,11,7.98E-05,4,0
Gangsta's Paradise,0.0655,0.647,240693,0.514,0.386,79.975,0.0593,1,-10.05,0.398,8,0,4,0
Waiting for Tonight,0.00341,0.695,246427,0.945,0.84,125.013,0.0418,0,-6.165,0.103,10,0.0727,4,0
"Baby Baby - 7"" No Getting Over You Mix",0.0569,0.603,241800,0.97,0.841,98.21,0.0388,1,-4.003,0.0999,1,0.000103,4,0
Weak,0.107,0.693,291907,0.533,0.568,127.661,0.0402,0,-10.954,0.0695,2,0,4,0
Believe,0.0082,0.652,239027,0.917,0.459,132.975,0.0548,1,-6.72,0.0509,6,0,4,0
Vogue,0.0126,0.703,263000,0.765,0.64,116.343,0.0552,0,-12.196,0.155,10,0.000639,4,0
Genie In a Bottle,0.209,0.633,217573,0.8,0.913,175.716,0.166,1,-6.945,0.137,1,0.000123,4,0
Fantasy,0.139,0.669,243493,0.727,0.807,102.322,0.0353,1,-7.588,0.123,7,0,4,0
MMMBop,0.00481,0.683,268653,0.937,0.619,104.872,0.0449,1,-6.335,0.07,9,0.0046,4,0
Doo Wop (That Thing),0.0393,0.535,320267,0.505,0.495,99.935,0.245,0,-8.926,0.0923,2,0,4,0
Gettin' Jiggy Wit It,0.0175,0.881,227933,0.874,0.858,107.891,0.139,1,-4.505,0.154,6,1.14E-06,4,0
Love Like This,0.00364,0.767,275707,0.551,0.796,100.904,0.0616,1,-7.328,0.0451,0,0,4,0
Real Love,0.119,0.769,269973,0.781,0.826,95.02,0.0797,1,-5.472,0.0506,0,0.000371,4,0
The Boy Is Mine,0.539,0.704,294787,0.707,0.761,93.145,0.0391,0,-6.537,0.318,1,0.00106,4,0
No Scrubs,0.0251,0.743,214400,0.675,0.59,92.909,0.0953,0,-4.267,0.0685,8,0.000717,4,0
Kiss Me,0.023,0.526,208680,0.749,0.421,99.982,0.0283,1,-6.964,0.0692,3,1.76E-06,4,0
Always Be My Baby,0.457,0.65,258133,0.531,0.487,78.946,0.0364,1,-8.335,0.249,4,0,4,0
Right Here - Human Nature Radio Mix,0.068,0.615,226947,0.72,0.696,94.002,0.0658,0,-5.16,0.0889,9,0.0105,4,0
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",0.0402,0.854,243733,0.543,0.868,103.032,0.0844,0,-6.166,0.0419,8,5.73E-05,4,0
You Make Me Wanna...,0.0359,0.761,219120,0.639,0.922,164.088,0.0539,0,-7.577,0.0945,5,0,4,0
Lovefool,0.0344,0.704,193953,0.636,0.89,111.845,0.0252,1,-6.029,0.35,9,0,4,0
Waterfalls,0.311,0.769,279507,0.505,0.757,171.804,0.0829,1,-7.345,0.0777,1,7.49E-05,4,0
