songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Wherever I Go (feat. Lawrence & Michael McDonald),0.556,0.745,166133,0.55,0.862,108.98,0.0527,1,-4.134,0.243,8,0.0,4,0
Our World - Kaidi Tatham Remix,0.102,0.727,303251,0.754,0.743,100.017,0.0658,0,-8.028,0.408,9,0.0934,4,0
Ghostin' All My Friends,0.488,0.753,220384,0.535,0.672,92.904,0.0964,0,-4.87,0.185,4,0.000261,4,0
What's the Move,0.0292,0.849,187984,0.587,0.739,124.0,0.0653,0,-6.63,0.0599,10,0.0301,4,0
Slay,0.097,0.847,241903,0.858,0.863,121.979,0.0888,0,-4.402,0.0516,5,8.54e-05,4,0
(I Wanted) Summer With You,0.553,0.68,196404,0.662,0.56,109.947,0.0471,1,-6.955,0.0806,8,9.84e-05,4,0
Boyfriend,0.632,0.48,188036,0.472,0.585,148.125,0.232,1,-8.79,0.131,5,0.0,4,0
BLACK JAMES DEAN,0.048,0.713,153600,0.85,0.789,99.982,0.224,1,-4.189,0.0361,0,0.0,4,0
How Much Do You Love Me,0.195,0.664,257705,0.794,0.743,121.946,0.449,1,-5.881,0.0814,1,3.63e-05,4,0
Good Love,0.0271,0.53,289515,0.92,0.397,205.545,0.37,0,-4.656,0.256,10,0.488,4,0
Nightlife,0.182,0.714,197099,0.689,0.595,108.285,0.172,1,-6.367,0.157,11,0.0,4,0
OKALRIGHTISEEYOU,0.00409,0.886,154435,0.707,0.532,114.992,0.0686,0,-10.056,0.0819,10,0.00437,4,0
Dance All Night,0.0776,0.897,187258,0.612,0.872,124.044,0.331,0,-6.431,0.103,10,9.14e-06,4,0
Sweet Escape feat. ひかり - Jafunk Remix,0.0271,0.757,217625,0.798,0.713,111.996,0.0573,1,-6.016,0.0612,6,0.00086,4,0
Look At Me,0.0236,0.599,233056,0.924,0.962,98.03,0.0442,0,-6.33,0.297,1,0.00263,4,0
SUPERPOWERS,0.0613,0.836,178350,0.636,0.539,110.005,0.107,1,-5.517,0.0941,2,2e-05,4,0
Lover (Love Her),0.0197,0.872,198900,0.485,0.821,107.983,0.0531,1,-8.68,0.117,11,5.03e-05,4,0
Drip Feed,0.0523,0.934,181951,0.733,0.902,122.966,0.0534,1,-5.545,0.0912,2,0.00411,4,0
"I Don't Wanna Be In Love, But I Don't Wanna Be Alone",0.597,0.825,170027,0.535,0.929,109.903,0.0618,0,-6.74,0.332,5,0.0,4,0
Lockstep,0.448,0.76,318725,0.466,0.791,149.119,0.0466,0,-6.571,0.083,11,0.103,4,0
I Can’t Party,0.205,0.981,145003,0.417,0.835,117.994,0.176,0,-11.214,0.26,4,0.0,4,0
How You Feel,0.0538,0.88,249926,0.539,0.433,98.011,0.0909,1,-8.886,0.141,1,0.00158,4,0
U R Freak - Jafunk Remix,0.188,0.867,186035,0.51,0.743,117.061,0.0787,1,-7.597,0.11,0,0.494,4,0
In My Bones,0.199,0.738,217083,0.679,0.66,99.995,0.0374,1,-6.872,0.128,1,0.0,4,0
Body Weak (Diamond Cut),0.0348,0.793,245720,0.809,0.822,117.248,0.0868,1,-5.867,0.0884,5,0.0223,4,0
Closer,0.195,0.729,151372,0.893,0.788,116.971,0.114,1,-5.893,0.155,9,0.0453,4,0
Higher (Escalators),0.0574,0.866,139636,0.573,0.939,110.077,0.0459,1,-5.825,0.0322,8,6.83e-06,4,0
Try (Rework),0.0858,0.626,186389,0.61,0.613,108.046,0.0554,0,-9.428,0.22,6,0.0127,4,0
Can't Steal My Heaven,0.0384,0.83,234875,0.531,0.769,93.022,0.197,1,-7.569,0.293,6,0.000665,4,0
Feels This Good,0.0834,0.905,132336,0.823,0.961,106.984,0.0454,0,-4.802,0.0661,10,0.0611,4,0
Purple Funk - Opolopo Remix Edit,0.0384,0.859,233284,0.776,0.524,120.002,0.0644,1,-6.855,0.462,2,0.000197,4,0
Don't Worry 'Bout It,0.0741,0.898,168750,0.771,0.66,120.02,0.166,1,-4.162,0.0707,4,0.0,4,0
Westside Story,0.0127,0.718,242286,0.693,0.67,105.004,0.332,1,-4.902,0.167,7,4.91e-05,4,0
Awesome Ways,0.00794,0.748,187317,0.862,0.882,122.991,0.0452,1,-5.642,0.121,9,0.7,4,0
Ice & Fire,0.0048,0.69,244835,0.628,0.495,79.967,0.0611,0,-9.388,0.0955,7,0.000141,4,0
Solid Ground,0.396,0.847,183243,0.656,0.471,110.976,0.0847,1,-7.432,0.201,2,0.00019,4,0
Same Song,0.171,0.716,151111,0.801,0.61,108.02,0.326,0,-6.608,0.312,10,2.9e-06,4,0
Sexy!,0.0153,0.878,185739,0.37,0.846,134.969,0.0587,0,-6.744,0.0679,11,0.0229,4,0
Everyone Moves To LA (feat. Felicia Douglass),0.0356,0.854,237653,0.658,0.544,109.995,0.0548,0,-8.316,0.128,0,0.000199,4,0
All Night Long - Ruck P Remix,0.0941,0.834,188250,0.517,0.804,108.01,0.0473,0,-6.686,0.1,7,0.00691,4,0
Glad I'm Not Alone,0.315,0.673,207194,0.539,0.814,138.912,0.115,0,-6.42,0.024,10,0.0,4,0
Break Through To My Heart,0.00423,0.793,291000,0.795,0.671,120.043,0.034,0,-7.769,0.114,5,0.535,4,0
JELLY,0.384,0.671,197002,0.671,0.902,79.848,0.13,1,-9.957,0.0514,8,0.00132,4,0
Gigantic Energy,0.114,0.783,264073,0.443,0.786,84.99,0.165,0,-9.761,0.186,5,0.0,4,0
Holy Ghost,0.00349,0.849,276402,0.696,0.196,117.992,0.0679,0,-6.232,0.247,10,0.0285,4,0
Recipe,0.0551,0.806,182212,0.778,0.265,108.009,0.102,0,-3.813,0.0851,4,0.0,4,0
Jammin' Tonight,0.18,0.818,247974,0.736,0.921,114.032,0.0595,1,-5.243,0.0517,0,0.00386,4,0
Everybody in the World (feat. New Breed Brass Band),0.0743,0.63,234195,0.83,0.79,102.638,0.0619,0,-7.014,0.123,0,0.0,4,0
You Gotta Respect Yourself!,0.0904,0.793,191566,0.738,0.907,111.989,0.0613,1,-3.916,0.0627,10,0.00452,4,0
Glad - Vocal Mix,0.0101,0.683,275655,0.837,0.862,120.019,0.0962,1,-5.756,0.091,1,0.0155,4,0
henny & patron,0.227,0.696,138841,0.831,0.872,115.086,0.131,1,-6.076,0.346,1,0.0,4,0
Boys Don't Sob,0.0463,0.708,176017,0.753,0.711,108.831,0.373,0,-6.984,0.122,5,0.0,4,0
Smoke,0.0295,0.9,118857,0.65,0.798,104.98,0.112,1,-5.356,0.0885,4,0.0,4,0
Ready for Me,0.104,0.713,185963,0.662,0.78,177.942,0.271,1,-6.016,0.0239,2,7.56e-06,4,0
BREAKTHROUGH,0.0586,0.815,178000,0.712,0.777,115.002,0.0439,0,-6.19,0.152,1,0.0,4,0
WASABI,0.038,0.73,167852,0.866,0.509,113.042,0.231,0,-4.303,0.1,11,0.0,4,0
Stop This Feeling,0.0121,0.826,178000,0.736,0.783,120.042,0.0512,1,-2.248,0.0662,5,0.000843,4,0
Glitter Fonk,0.0586,0.722,213815,0.748,0.214,115.121,0.0349,1,-7.015,0.382,7,0.0387,4,0
Lover,0.173,0.77,174894,0.576,0.841,94.029,0.061,0,-5.978,0.384,9,0.0,4,0
Words With You,0.0102,0.794,235320,0.677,0.872,113.043,0.0347,1,-6.159,0.0866,0,0.0173,4,0
How Dare You,0.233,0.78,202570,0.811,0.655,107.174,0.261,0,-4.831,0.066,11,6.13e-05,4,0
This Must Be The Place,0.45,0.928,298735,0.786,0.879,110.042,0.0572,0,-4.691,0.0392,4,0.0133,4,0
Sweatshirt,0.139,0.643,199000,0.607,0.826,84.067,0.042,1,-6.664,0.123,7,0.0,4,0
Scorpio,0.00115,0.766,172636,0.738,0.741,110.012,0.157,0,-4.79,0.296,7,1.7e-06,4,0
Ambrosia (feat. John Givez),0.137,0.758,183888,0.664,0.748,99.923,0.244,0,-5.439,0.105,10,0.0,4,0
Honey Imastar,0.0545,0.858,187004,0.677,0.784,136.101,0.169,1,-6.937,0.104,1,0.0209,4,0
Over It,0.231,0.839,226610,0.546,0.889,103.038,0.105,1,-4.699,0.106,6,0.000424,4,0
Thumpahlenah - Radio Edit,0.00317,0.848,202637,0.738,0.514,110.323,0.0555,0,-7.419,0.76,10,6.43e-05,4,0
Get Together,0.0368,0.718,329439,0.845,0.73,108.466,0.0448,1,-6.855,0.111,7,0.0016,4,0
Bad Day Ballad,0.211,0.717,125407,0.667,0.908,99.952,0.17,1,-6.81,0.223,6,0.0,4,0
Serious,0.0073,0.764,244587,0.835,0.659,119.983,0.0991,0,-6.087,0.0711,9,0.209,4,0
Rock With Me - Jafunk Remix,0.00636,0.753,125703,0.573,0.661,117.012,0.0508,0,-7.779,0.0707,11,0.000285,4,0
Pepper Dem,0.0267,0.83,248000,0.924,0.941,120.033,0.0947,0,-4.954,0.393,5,2.01e-05,4,0
Waste My Time,0.0722,0.774,171000,0.765,0.711,130.096,0.04,0,-8.37,0.305,10,2.4e-05,4,0
Crazy,0.114,0.503,183000,0.561,0.861,92.678,0.0507,1,-3.467,0.116,2,0.0,4,0
"Like, Maybe",0.0761,0.735,215255,0.516,0.389,86.008,0.0483,0,-6.148,0.345,4,5.96e-06,4,0
Aboutchu,0.00746,0.748,172384,0.6,0.791,97.032,0.04,1,-5.517,0.0821,0,1.05e-06,4,0
Love In A Groove,0.0202,0.781,210398,0.665,0.657,113.457,0.0309,1,-4.521,0.31,2,0.00297,4,0
lockdown,0.0326,0.763,201391,0.748,0.575,114.998,0.0929,1,-8.168,0.0677,7,2.67e-05,4,0
Medal,0.173,0.814,196665,0.59,0.627,102.026,0.0823,1,-8.506,0.296,2,0.0888,4,0
"7 Days, 9 years",0.000735,0.914,142653,0.535,0.963,98.064,0.0513,0,-6.279,0.143,11,0.0176,4,0
Real Good,0.00659,0.793,199669,0.818,0.756,106.994,0.0639,1,-3.837,0.165,1,0.0,4,0
Keep That Funk Alive,0.00704,0.626,261402,0.842,0.709,82.995,0.142,0,-6.714,0.257,5,0.0,4,0
Stuck On You,0.226,0.764,272211,0.334,0.858,100.063,0.301,0,-10.181,0.0838,9,0.0,4,0
This is It (feat. Cory Wong),0.0435,0.804,185289,0.581,0.751,100.048,0.138,1,-8.935,0.314,0,3.18e-05,4,0
This Vibe,0.0491,0.717,252307,0.923,0.846,107.054,0.0402,1,-4.556,0.507,0,0.000296,4,0
Until I Get Back,0.0996,0.772,273106,0.644,0.932,169.488,0.0884,1,-7.935,0.084,7,0.000216,4,0
Dead Inside Shuffle,0.141,0.849,200000,0.769,0.971,133.059,0.0402,1,-5.897,0.103,6,0.153,4,0
"L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)",0.000308,0.81,169200,0.779,0.641,111.054,0.0485,1,-4.834,0.23,9,0.0,4,0
New Guru,0.02,0.79,204175,0.572,0.745,132.531,0.176,0,-9.072,0.152,6,0.0,4,0
