songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
B.A.D.,0.236,0.767,170078,0.66,0.796,127.064,0.0869,1,-7.272,0.457,4,0.0,4,0
Sayo Lamang,0.223,0.527,184434,0.496,0.417,113.321,0.0396,0,-4.212,0.0776,2,9.87e-05,5,0
Dimes,0.533,0.752,198347,0.335,0.195,120.997,0.0349,1,-9.622,0.112,4,6.79e-06,4,0
TRUTH SERUM,0.152,0.727,202187,0.369,0.277,114.022,0.0395,1,-8.129,0.112,8,9.34e-06,4,0
LF: You (777),0.447,0.631,199714,0.668,0.658,140.051,0.0348,0,-5.352,0.125,5,0.0,4,0
Roots,0.411,0.566,189157,0.554,0.24,80.077,0.0784,0,-8.998,0.118,1,0.00101,4,0
Owshi,0.556,0.618,200962,0.494,0.324,78.077,0.311,0,-13.647,0.093,0,1.07e-05,4,0
Tip toe,0.0703,0.671,157000,0.825,0.737,87.511,0.0387,0,-7.895,0.082,5,0.000443,4,0
All I Want,0.618,0.497,150583,0.368,0.0377,90.046,0.0295,1,-11.732,0.107,7,6.96e-06,4,0
Sabik,0.0676,0.671,294000,0.477,0.192,100.004,0.036,1,-6.909,0.351,7,0.00042,4,0
INAANTAY,0.544,0.734,172147,0.376,0.746,75.989,0.0964,0,-15.14,0.102,5,5.57e-05,4,0
my bad,0.615,0.657,192604,0.466,0.584,91.011,0.0232,0,-11.288,0.17,10,0.0625,4,0
butterflies,0.129,0.713,212790,0.43,0.376,112.006,0.0333,1,-9.087,0.136,11,0.0,4,0
Better Off,0.629,0.732,166800,0.53,0.208,99.965,0.0599,1,-8.465,0.105,9,0.0,4,0
IDWTEXTUBABY,0.587,0.462,406000,0.683,0.406,129.967,0.264,0,-8.533,0.106,1,0.000921,4,0
Mood Swings,0.697,0.375,202956,0.585,0.559,80.268,0.137,1,-8.169,0.109,5,1.65e-06,3,0
Dare You,0.0329,0.838,176308,0.699,0.83,130.102,0.0819,0,-7.953,0.0439,8,0.000629,4,0
Patid,0.0486,0.626,247579,0.764,0.306,125.982,0.0306,0,-4.536,0.339,10,0.0,4,0
Sandal,0.465,0.862,197179,0.519,0.619,114.966,0.112,0,-6.962,0.115,6,0.0,4,0
No Hard Feelings,0.279,0.545,192500,0.808,0.449,96.046,0.0646,1,-3.411,0.114,6,0.0,4,0
4u,0.369,0.774,218537,0.488,0.82,123.048,0.247,0,-8.921,0.158,10,0.0,4,0
This Time,0.439,0.662,215111,0.455,0.256,137.936,0.0913,1,-9.331,0.196,7,0.0261,3,0
Ayos Lang ‘Yan,0.234,0.721,203609,0.515,0.379,120.119,0.0379,1,-9.713,0.223,8,0.0,4,0
T-Break,0.311,0.711,273765,0.577,0.437,128.093,0.0651,1,-7.149,0.328,6,0.000148,4,0
Say My Name,0.601,0.656,159862,0.538,0.401,145.807,0.0789,0,-6.124,0.0853,9,0.0,4,0
Megastar - Interlude,0.654,0.384,165000,0.306,0.316,118.474,0.0328,1,-11.233,0.118,0,0.0365,4,0
4:AM,0.689,0.725,228571,0.521,0.395,105.018,0.0485,0,-10.271,0.101,4,1.91e-05,4,0
3 AM,0.746,0.538,176787,0.528,0.547,170.084,0.0898,0,-7.893,0.303,5,5.36e-06,4,0
DKL,0.526,0.789,190245,0.376,0.653,134.917,0.0528,1,-8.91,0.0911,1,0.000294,4,0
LUV DRUNK II,0.154,0.743,174545,0.47,0.312,110.042,0.0391,1,-9.209,0.116,6,0.0,4,0
Wildfire,0.112,0.571,231139,0.495,0.13,106.998,0.0278,0,-8.85,0.233,7,5.39e-06,4,0
homebdy (feat. Madman Stan),0.0872,0.747,141762,0.441,0.714,121.925,0.105,0,-6.946,0.167,3,0.0,4,0
LUV DRUG,0.501,0.686,198888,0.52,0.1,109.927,0.069,1,-11.427,0.224,2,0.0,4,0
Magdamag,0.821,0.702,119952,0.588,0.609,140.193,0.18,1,-11.144,0.361,8,0.0154,4,0
Sigurado,0.0205,0.734,212854,0.686,0.793,97.035,0.0404,1,-7.232,0.0633,9,9.31e-06,4,0
Bodies,0.414,0.802,197647,0.527,0.538,119.015,0.0334,0,-4.55,0.106,0,6.82e-05,4,0
SEEN,0.347,0.736,172500,0.593,0.57,96.011,0.0667,1,-7.194,0.106,1,0.0,4,0
4ever,0.204,0.694,360005,0.399,0.447,120.058,0.0372,0,-5.539,0.124,9,0.0,4,0
Aminin,0.47,0.804,217297,0.553,0.575,74.028,0.106,1,-9.887,0.135,11,0.209,4,0
Ikot,0.641,0.682,212423,0.45,0.0912,75.033,0.0863,0,-8.866,0.0979,7,2.45e-05,4,0
Martir,0.425,0.636,314932,0.518,0.245,99.885,0.0357,0,-7.156,0.23,2,0.0,4,0
Yung Tayo,0.656,0.638,229738,0.585,0.487,135.013,0.0434,1,-8.131,0.416,10,0.0,4,0
Kailangan,0.00415,0.585,181479,0.679,0.704,164.031,0.033,1,-3.37,0.0792,8,0.0,4,0
May Iba Na Ba?,0.421,0.785,148856,0.507,0.489,118.051,0.0476,1,-8.106,0.211,1,0.0,4,0
Gusto feat. Al James,0.038,0.608,260000,0.695,0.203,83.965,0.0333,0,-5.307,0.0939,10,0.0,4,0
"Langit, Mundo",0.598,0.532,204694,0.686,0.558,179.917,0.349,1,-4.875,0.0972,7,6.8e-05,4,0
Kahit Saglit,0.636,0.673,190286,0.324,0.463,139.899,0.0382,0,-9.662,0.134,2,0.0,3,0
syf,0.579,0.839,210854,0.165,0.258,123.047,0.0572,1,-10.772,0.111,7,3.59e-05,3,0
MANATILI,0.0703,0.482,162810,0.625,0.661,145.0,0.116,1,-4.583,0.0788,6,0.0,4,0
Co-Pilot,0.559,0.436,250000,0.397,0.111,186.152,0.332,0,-11.062,0.118,2,6.69e-06,5,0
