songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
On My Mama,0.556,0.675,184258,0.546,0.607,77.415,0.0511,0,-7.716,0.167,4,0.00441,4,0
Oops (Oh My) [feat. Missy Elliott],0.233,0.66,237800,0.536,0.775,159.963,0.29,0,-8.786,0.111,10,0.00669,4,0
Are You That Somebody,0.14,0.85,265667,0.657,0.843,137.971,0.166,0,-7.078,0.0939,9,0.0192,4,0
Queen Space (with Summer Walker),0.174,0.8,230841,0.614,0.548,135.018,0.0668,0,-6.255,0.0849,7,0.000176,4,0
Princess Going Digital,0.0254,0.496,189440,0.723,0.321,130.477,0.0413,0,-6.625,0.218,10,0.0171,5,0
Alright,0.279,0.788,173913,0.528,0.464,107.941,0.0729,1,-6.688,0.103,11,0.00257,4,0
The Sweetest Taboo,0.128,0.752,277373,0.823,0.962,91.563,0.0447,0,-9.455,0.303,10,0.0098,4,0
Moonlight,0.518,0.642,187723,0.706,0.896,136.851,0.052,0,-6.872,0.25,7,0.0,4,0
We Might Even Be Falling In Love (Duet) - Spotify Singles,0.473,0.731,90111,0.423,0.78,76.964,0.0784,1,-10.147,0.129,6,0.000413,4,0
Stay Flo,0.397,0.823,175707,0.558,0.674,155.974,0.0278,1,-7.119,0.0821,9,2.03e-05,4,0
Free Mind,0.442,0.562,247579,0.463,0.416,125.15,0.0787,1,-7.478,0.157,6,0.000145,5,0
Do It,0.0932,0.725,176787,0.668,0.566,82.966,0.055,0,-7.286,0.112,5,2.33e-06,4,0
Put It On Da Floor Again (feat. Cardi B),0.0282,0.849,185748,0.614,0.472,111.363,0.317,1,-7.323,0.0603,1,0.0,5,0
Area Codes,0.0187,0.823,139326,0.388,0.507,154.569,0.491,1,-10.867,0.0876,1,0.0,4,0
The Rain (Supa Dupa Fly),0.141,0.836,251000,0.595,0.762,79.98,0.201,1,-9.338,0.329,6,0.00375,4,0
Let Me Blow Ya Mind,0.242,0.908,230133,0.557,0.897,90.032,0.107,0,-4.243,0.0709,8,0.0,4,0
Rush,0.0369,0.792,185093,0.503,0.381,99.97,0.0626,1,-8.044,0.0959,1,0.00057,4,0
People (feat. Ayra Starr & Omah Lay),0.592,0.559,184633,0.453,0.622,123.906,0.0684,0,-8.746,0.0909,10,1.23e-05,5,0
Only Have Eyes 42,0.24,0.606,170027,0.729,0.527,80.052,0.0619,0,-4.473,0.423,7,1.73e-06,4,0
All For You,0.495,0.739,183354,0.512,0.747,138.65,0.0621,0,-9.864,0.206,11,0.0221,4,0
Cadillac (A Pimp's Anthem),0.059,0.709,182609,0.488,0.491,138.022,0.0401,0,-6.292,0.122,6,0.0294,4,0
By Your Side (Neptunes Remix) - Remastered,0.0839,0.764,239093,0.565,0.87,82.0,0.0682,0,-7.92,0.0649,8,0.00421,4,0
When I'm in Your Arms,0.476,0.596,335310,0.462,0.655,173.866,0.0589,1,-10.605,0.112,0,0.0581,4,0
Gonna Love Me,0.402,0.514,166998,0.506,0.312,88.044,0.28,0,-7.095,0.191,10,2.56e-05,4,0
Party (feat. André 3000),0.0188,0.648,245480,0.593,0.719,160.984,0.0509,1,-6.267,0.169,10,0.0,4,0
You're Makin' Me High,0.0118,0.853,267440,0.563,0.893,92.112,0.0379,0,-8.663,0.119,10,2.12e-05,4,0
I'm Baby (ft. Jvck James),0.136,0.521,202756,0.565,0.261,114.562,0.0681,0,-9.596,0.134,11,1.65e-06,4,0
How Does It Make You Feel,0.355,0.456,216436,0.511,0.179,80.082,0.0304,1,-8.685,0.221,7,0.000468,3,0
Motivation,0.187,0.744,230560,0.672,0.266,140.889,0.0418,0,-5.589,0.105,9,0.000123,4,0
CUFF IT - WETTER REMIX,0.434,0.66,249407,0.688,0.65,118.05,0.0564,1,-6.34,0.489,7,0.0,4,0
JEANS (with Miguel),0.226,0.731,195187,0.578,0.329,92.904,0.0583,0,-4.797,0.0883,2,9.08e-06,3,0
I Get Lonely,0.186,0.774,317560,0.496,0.452,125.137,0.0498,0,-8.144,0.542,7,0.0,4,0
Rock The Boat,0.0702,0.637,274733,0.725,0.415,92.99,0.0333,1,-5.073,0.203,5,0.00438,4,0
Big Boss (Interlude),0.979,0.75,91249,0.289,0.554,155.974,0.0512,1,-10.912,0.101,1,0.0638,4,0
Low,0.425,0.698,181080,0.546,0.335,145.044,0.0559,0,-7.234,0.16,0,0.00314,4,0
Almeda,0.0227,0.827,236120,0.553,0.0631,110.015,0.032,1,-5.296,0.176,1,1.52e-05,4,0
Unloyal (with Ari Lennox),0.0357,0.805,207295,0.51,0.36,127.983,0.0569,0,-6.179,0.108,4,0.000469,4,0
Skin Tight (feat. Steve Lacy),0.246,0.468,227000,0.52,0.46,174.082,0.0329,0,-7.964,0.078,3,0.00259,3,0
Window Seat,0.648,0.643,289720,0.535,0.564,82.193,0.0941,0,-6.795,0.0766,0,0.00213,4,0
VIRGO'S GROOVE,0.0781,0.683,368758,0.85,0.598,107.988,0.0699,0,-5.042,0.741,11,1.09e-06,4,0
"Any Time, Any Place",0.604,0.571,428200,0.232,0.207,128.785,0.0699,1,-11.309,0.119,10,0.000246,4,0
