songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Eyes Closed,0.367,0.718,272837,0.519,0.661,89.984,0.0569,1,-8.3,0.072,1,0.00277,4,0
Golden Child,0.0443,0.392,243215,0.665,0.175,173.589,0.0451,0,-8.114,0.108,10,0.00423,4,0
Favorite Girl (feat. Offset),0.431,0.476,183347,0.616,0.314,97.946,0.103,0,-8.458,0.0961,0,3.61e-06,4,0
Sensational (feat. Davido & Lojay),0.108,0.774,231109,0.611,0.808,100.011,0.126,1,-7.077,0.116,6,0.0,4,0
Numb,0.238,0.743,253585,0.5,0.374,105.967,0.116,1,-5.918,0.19,8,4.22e-05,4,0
Me & U,0.117,0.775,192936,0.662,0.257,112.014,0.0408,1,-7.755,0.0928,10,0.0648,4,0
Push (feat. Omah Lay),0.563,0.837,178983,0.383,0.5,118.015,0.164,0,-10.527,0.087,9,0.289,4,0
Counting Thunder,0.503,0.654,198579,0.769,0.595,143.96,0.2,1,-5.356,0.686,7,0.00134,4,0
That's You,0.323,0.624,300921,0.524,0.546,130.078,0.0434,1,-7.034,0.0732,2,0.0,4,0
HIGH,0.0845,0.807,192278,0.847,0.797,105.987,0.0521,1,-6.541,0.0959,11,0.105,4,0
You (feat. Bryson Tiller),0.00972,0.811,161400,0.551,0.506,99.972,0.098,1,-4.242,0.0639,1,2.13e-05,4,0
Still Believe In Love,0.198,0.808,246266,0.721,0.767,94.034,0.197,1,-3.797,0.0734,1,0.0,4,0
Members Only (feat. PARTYNEXTDOOR),0.245,0.647,277721,0.34,0.176,91.998,0.0496,0,-8.795,0.107,2,0.0,4,0
Kinks,0.544,0.696,213685,0.481,0.374,88.039,0.267,0,-8.215,0.0969,2,0.00116,4,0
Girls Need Love (Girls Mix) (feat. Tink),0.563,0.51,158351,0.358,0.16,95.312,0.475,0,-11.492,0.096,6,0.0,4,0
Call My Name,0.292,0.432,217666,0.687,0.353,99.877,0.104,0,-8.486,0.342,10,4.13e-06,4,0
Tipsy,0.394,0.871,150758,0.442,0.583,100.975,0.0421,0,-8.954,0.0977,2,1.56e-06,4,0
Regardless,0.692,0.666,189258,0.272,0.4,108.789,0.037,0,-12.654,0.11,4,4.61e-05,5,0
Out of Luck,0.000675,0.702,178911,0.515,0.503,111.021,0.0303,0,-9.645,0.116,0,0.025,4,0
Separate (feat. Bibi Bourelly),0.777,0.739,197784,0.403,0.55,110.018,0.0402,0,-10.043,0.117,3,0.0,4,0
Moments (feat. Justin Bieber),0.562,0.569,280396,0.679,0.462,100.838,0.0624,0,-5.37,0.0523,5,1.28e-05,4,0
Bestie,0.118,0.665,174545,0.705,0.202,99.247,0.0426,1,-7.389,0.133,2,0.0243,4,0
Never Had This,0.412,0.336,173920,0.494,0.0892,85.925,0.0992,0,-9.077,0.128,0,0.0,4,0
AFTER HOURS,0.949,0.285,173027,0.16,0.306,168.512,0.0363,0,-14.875,0.376,1,0.000346,4,0
Slime You Out (feat. SZA),0.508,0.483,310491,0.408,0.105,88.88,0.0502,0,-9.243,0.259,5,0.0,3,0
Homicide (with Jessie Reyez),0.11,0.765,181903,0.74,0.592,105.013,0.178,1,-7.192,0.0748,1,0.0,4,0
Water,0.0856,0.673,200256,0.722,0.519,117.187,0.0755,0,-3.495,0.137,3,0.0,4,0
WY@,0.59,0.795,208040,0.341,0.313,119.872,0.166,0,-7.869,0.12,7,6.53e-05,4,0
IDGAF (feat. Chris Brown and Mariah the Scientist),0.0166,0.688,195000,0.733,0.287,127.951,0.0504,0,-4.573,0.129,10,0.0,4,0
It's You (feat. BIA),0.275,0.586,132537,0.519,0.262,133.991,0.0283,0,-5.391,0.121,10,6.25e-05,4,0
THIS YEAR (Blessings) - Remix,0.227,0.547,160240,0.581,0.309,66.653,0.058,0,-5.281,0.308,10,3.85e-05,5,0
Desire,0.65,0.622,293979,0.229,0.206,113.477,0.0504,0,-12.052,0.125,7,0.0786,5,0
Bahamas Promises,0.85,0.626,184090,0.309,0.369,117.94,0.0433,1,-10.397,0.117,1,1.31e-05,4,0
Broken is the man,0.229,0.571,132213,0.534,0.362,67.959,0.221,1,-9.821,0.0943,7,3.62e-05,4,0
Snooze (Acoustic) (feat. Justin Bieber),0.911,0.462,190465,0.331,0.604,141.364,0.0432,0,-8.794,0.15,9,0.0,3,0
