songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Favorite Girl (feat. Offset),0.431,0.476,183347,0.616,0.314,97.946,0.103,0,-8.458,0.0961,0,3.61e-06,4,0
ONE THING,0.439,0.721,172235,0.489,0.416,85.114,0.107,0,-7.032,0.364,7,0.0,4,0
Need U Tonite (with Genia),0.026,0.773,145813,0.543,0.297,72.997,0.042,0,-3.368,0.118,5,7.08e-06,4,0
Drifted (feat. Jayla Darden),0.599,0.53,250221,0.595,0.572,134.689,0.0852,0,-7.114,0.107,5,0.396,4,0
Ave Maria,0.387,0.679,177797,0.529,0.288,135.011,0.0554,0,-7.323,0.118,11,0.0,4,0
GMFU,0.15,0.578,241306,0.445,0.202,87.529,0.033,0,-8.53,0.075,10,0.00294,4,0
Mixed Signals,0.2,0.751,248872,0.56,0.546,133.958,0.06,1,-5.822,0.0776,6,1.19e-05,4,0
Let This Go,0.0724,0.771,177364,0.587,0.739,90.981,0.0612,0,-6.217,0.164,10,0.000149,4,0
Fake Love,0.192,0.61,175966,0.528,0.379,93.113,0.0605,0,-6.827,0.329,11,0.00123,4,0
LUV N DEVOTION,0.0218,0.71,183000,0.64,0.742,160.012,0.0572,0,-5.928,0.411,6,4.08e-05,4,0
Summer,0.0256,0.755,169729,0.745,0.86,150.024,0.228,0,-7.157,0.122,8,3.93e-05,4,0
Ocean Drive,0.218,0.618,138000,0.557,0.58,145.138,0.118,1,-5.738,0.116,4,5.43e-05,4,0
Back,0.577,0.583,138131,0.621,0.472,90.337,0.1,1,-7.084,0.109,1,0.000242,4,0
Raining Tomorrow,0.239,0.406,228485,0.561,0.508,197.957,0.168,0,-9.172,0.275,11,0.00153,4,0
Counting Thunder,0.503,0.654,198579,0.769,0.595,143.96,0.2,1,-5.356,0.686,7,0.00134,4,0
New Moves,0.639,0.77,164810,0.733,0.798,140.074,0.0544,0,-5.28,0.0902,6,0.000174,4,0
"You, The World Vs Me",0.852,0.576,123319,0.271,0.42,151.246,0.0635,0,-11.63,0.14,3,0.000622,4,0
Someday,0.381,0.733,161530,0.551,0.503,132.853,0.0439,1,-6.958,0.342,7,0.000188,4,0
Pray For Me,0.882,0.591,224606,0.308,0.408,107.823,0.0711,0,-9.455,0.115,4,3.62e-06,4,0
Regardless,0.692,0.666,189258,0.272,0.4,108.789,0.037,0,-12.654,0.11,4,4.61e-05,5,0
Caught Between 2 Worlds,0.0266,0.569,182037,0.684,0.445,90.003,0.115,1,-4.87,0.107,7,0.0,4,0
Separate (feat. Bibi Bourelly),0.777,0.739,197784,0.403,0.55,110.018,0.0402,0,-10.043,0.117,3,0.0,4,0
AFTER HOURS,0.949,0.285,173027,0.16,0.306,168.512,0.0363,0,-14.875,0.376,1,0.000346,4,0
More,0.123,0.518,196399,0.667,0.387,138.851,0.234,0,-6.586,0.102,11,7.78e-06,4,0
No Luv (with Chikoruss),0.0843,0.666,180507,0.793,0.87,95.979,0.14,1,-5.925,0.0654,0,0.0,4,0
Spicy,0.0835,0.696,168137,0.688,0.546,92.988,0.0571,0,-6.222,0.0444,5,0.0,4,0
Bonafide,0.0848,0.924,188421,0.536,0.783,113.998,0.048,1,-6.864,0.0943,7,0.000603,4,0
Switching Sides (feat. Dee Gatti),0.707,0.583,139795,0.39,0.325,103.47,0.12,0,-11.553,0.22,11,2.17e-05,4,0
Needs & Wants,0.624,0.766,185720,0.617,0.399,115.034,0.0997,1,-6.17,0.092,0,0.0,4,0
Never Had This,0.412,0.336,173920,0.494,0.0892,85.925,0.0992,0,-9.077,0.128,0,0.0,4,0
Peppermint,0.571,0.53,173617,0.336,0.629,188.024,0.0427,0,-10.597,0.121,4,0.00107,4,0
Don't Be Alarmed,0.658,0.644,230835,0.427,0.664,85.995,0.0402,1,-5.725,0.0968,8,0.0458,4,0
can u?,0.182,0.678,170762,0.428,0.555,115.072,0.0624,0,-7.661,0.161,8,0.0,4,0
Good Ex,0.357,0.616,155762,0.602,0.349,150.886,0.245,0,-7.949,0.126,1,0.0,4,0
Precious,0.61,0.763,195859,0.532,0.779,139.896,0.0726,0,-8.866,0.123,11,2.02e-06,4,0
Psycho Bitch,0.00329,0.715,187947,0.715,0.405,95.006,0.0342,1,-5.01,0.714,7,0.685,4,0
Sneak,0.00905,0.597,179478,0.659,0.291,115.037,0.0331,0,-6.258,0.408,11,1.82e-05,4,0
Brown Noise,0.678,0.644,144578,0.577,0.837,82.955,0.14,1,-10.381,0.0635,1,0.000405,4,0
Forever,0.608,0.563,196006,0.367,0.373,89.986,0.0971,1,-10.258,0.13,6,0.00148,4,0
Definition of Love,0.723,0.599,195834,0.424,0.0881,107.918,0.0666,0,-7.833,0.107,10,0.00282,4,0
Get Together,0.553,0.735,164308,0.467,0.676,130.174,0.0711,0,-10.951,0.103,11,0.0,3,0
Better,0.0276,0.576,186286,0.54,0.178,105.023,0.0362,0,-8.069,0.109,1,6.86e-05,4,0
nite,0.484,0.803,143773,0.364,0.523,119.964,0.0774,0,-9.026,0.134,5,0.00304,4,0
YKWYA,0.222,0.604,264613,0.613,0.382,90.232,0.153,0,-6.924,0.362,6,0.0,4,0
tight rope,0.229,0.594,202495,0.434,0.206,101.866,0.0267,1,-7.325,0.263,7,7.62e-05,4,0
good cry,0.0365,0.773,159265,0.621,0.421,109.939,0.0287,1,-5.481,0.138,9,0.0451,4,0
Pros and Cons,0.274,0.741,164243,0.49,0.579,115.382,0.113,1,-9.49,0.103,5,0.0,3,0
Don't Turn The Music Down,0.0779,0.597,223407,0.832,0.702,87.968,0.212,1,-4.953,0.0825,1,3.43e-05,4,0
Fly Girl,0.496,0.51,192023,0.463,0.533,108.598,0.188,0,-8.4,0.111,5,0.000226,4,0
