songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Au suivant,0.0759,0.731,199123,0.641,0.641,147.985,0.0555,0,-5.329,0.0979,8,0.0,4,0
Luva,0.218,0.662,176438,0.574,0.236,104.107,0.0689,0,-6.096,0.143,1,0.000159,4,0
Joli coeur,0.131,0.726,194467,0.705,0.523,149.943,0.0582,0,-6.651,0.175,2,0.0,4,0
Coco & Chanel,0.65,0.63,152813,0.544,0.456,112.525,0.111,0,-8.294,0.0965,1,8.18e-05,5,0
Bolingo,0.541,0.503,211181,0.593,0.444,132.105,0.386,0,-6.752,0.124,11,0.0,3,0
Warda,0.12,0.569,191417,0.707,0.462,83.761,0.0525,0,-5.722,0.108,5,0.0,4,0
La guitare suit la mélo,0.433,0.678,189120,0.525,0.732,125.001,0.0477,0,-8.218,0.267,3,0.0,4,0
Plus jamais,0.368,0.533,160605,0.702,0.257,97.679,0.356,0,-5.739,0.078,10,0.0,4,0
Dans La Chambre / Money,0.353,0.485,285870,0.534,0.568,179.894,0.326,0,-7.61,0.136,3,0.0,3,0
Délire (feat. Tiakola),0.151,0.878,206720,0.676,0.712,113.325,0.101,1,-4.95,0.306,2,5.75e-05,5,0
Trahison,0.438,0.729,176424,0.573,0.598,154.852,0.0791,0,-8.17,0.108,0,0.00449,4,0
Pardonne-moi,0.087,0.48,186906,0.585,0.491,101.417,0.0928,0,-7.681,0.105,5,1.44e-06,4,0
Hollandaise,0.375,0.559,158353,0.588,0.768,109.606,0.245,1,-6.613,0.151,1,0.0,5,0
Samira 3,0.44,0.687,207308,0.653,0.32,98.019,0.0506,0,-6.653,0.107,8,3.01e-06,4,0
C'est toi - Bonus,0.591,0.713,131480,0.537,0.637,175.927,0.0955,0,-6.09,0.129,10,0.0,4,0
Pas deux fois,0.877,0.373,164584,0.247,0.499,174.538,0.0506,0,-10.908,0.299,0,4.87e-06,4,0
Carry Me,0.279,0.513,223073,0.489,0.453,96.8,0.152,0,-7.829,0.0871,11,0.0108,4,0
Vécu - Bonus Track,0.303,0.679,180574,0.509,0.369,96.643,0.287,0,-8.931,0.124,1,0.0,4,0
Allo,0.322,0.825,195375,0.571,0.369,80.032,0.254,0,-6.108,0.0888,6,0.0,4,0
Molo (feat. Dadju),0.343,0.823,176453,0.624,0.694,174.056,0.229,0,-5.922,0.169,1,2.54e-05,4,0
Comme avant (feat. Low Jay),0.337,0.71,173333,0.587,0.767,108.033,0.345,0,-6.138,0.105,8,0.0,4,0
Comme toi (Acoustique),0.877,0.615,154286,0.448,0.727,115.888,0.0677,1,-7.451,0.118,3,0.0,5,0
London Fever,0.241,0.63,202106,0.593,0.648,148.2,0.106,0,-8.104,0.0822,0,0.000431,4,0
Parler de nous,0.655,0.645,193103,0.482,0.282,86.608,0.288,0,-8.302,0.0944,1,1.35e-06,4,0
Oublie ton ex,0.783,0.442,149333,0.368,0.418,89.99,0.344,0,-15.534,0.0975,1,0.0,4,0
On s'fait du mal (feat. Dadju),0.368,0.694,182427,0.571,0.408,152.058,0.0582,0,-6.477,0.151,4,0.0,4,0
Ti Ki Da,0.175,0.484,161061,0.691,0.359,98.08,0.156,0,-5.723,0.392,4,0.000636,4,0
Pas Les Mots,0.16,0.699,132135,0.506,0.641,88.493,0.45,1,-5.905,0.109,5,0.0,4,0
Quelqu'un d'autre,0.394,0.509,181224,0.6,0.585,97.693,0.0731,0,-7.007,0.0775,3,2.29e-06,4,0
Parcours,0.684,0.772,206864,0.273,0.528,93.884,0.228,1,-12.853,0.112,4,5.56e-06,4,0
On vient de loin,0.699,0.511,152617,0.623,0.319,172.137,0.376,1,-8.635,0.094,0,0.00489,4,0
RALENTIS,0.504,0.695,132515,0.479,0.431,81.492,0.154,0,-10.457,0.2,6,0.0,4,0
Plus fort,0.542,0.805,176327,0.452,0.466,97.938,0.0847,1,-7.229,0.102,1,0.0062,4,0
Garde Le,0.799,0.733,203294,0.579,0.79,113.317,0.0446,1,-6.822,0.114,10,0.0,5,0
Prouver,0.334,0.507,195804,0.624,0.476,129.739,0.113,0,-6.927,0.181,8,2.54e-05,4,0
Wine Slow,0.206,0.606,181482,0.357,0.375,81.079,0.305,0,-10.347,0.106,9,0.000101,4,0
Pourquoi,0.726,0.68,161726,0.447,0.545,84.002,0.183,1,-8.792,0.113,1,0.0,4,0
Insomnie (feat. Ya Levis),0.0372,0.583,179908,0.491,0.603,110.711,0.339,0,-7.632,0.0875,1,0.000617,3,0
Encore,0.545,0.839,140243,0.398,0.555,102.964,0.174,0,-9.705,0.132,6,0.000437,4,0
Non Stop,0.189,0.748,189206,0.633,0.701,77.546,0.106,0,-6.597,0.15,4,0.0,4,0
