songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Let's Stay Together,0.582,0.756,199396,0.401,0.514,101.954,0.0526,0,-10.702,0.0541,7,0.011,4,0
Lovely Day,0.292,0.692,254560,0.651,0.706,97.923,0.0324,1,-8.267,0.105,9,0.00241,4,0
"For the Love of You, Pts. 1 & 2",0.618,0.684,337333,0.417,0.71,102.756,0.0487,0,-9.591,0.107,11,6.2e-05,4,0
"Signed, Sealed, Delivered (I'm Yours)",0.0534,0.675,161160,0.597,0.828,108.875,0.0337,1,-11.329,0.0986,5,0.0,4,0
Me and Mrs. Jones,0.234,0.294,284907,0.528,0.452,200.813,0.0471,1,-10.01,0.147,8,0.0,3,0
Mercy Mercy Me (The Ecology),0.328,0.498,193573,0.634,0.515,93.161,0.0475,0,-12.16,0.0962,6,0.748,4,0
Papa Was A Rollin' Stone - Single Version,0.451,0.817,419640,0.405,0.898,121.467,0.0811,0,-13.513,0.0468,10,0.0507,4,0
Lean on Me,0.782,0.619,258835,0.22,0.426,75.143,0.0672,1,-13.843,0.124,0,1.19e-05,4,0
Best of My Love,0.447,0.784,220560,0.713,0.97,115.443,0.0339,1,-6.865,0.0904,0,0.14,4,0
You'll Never Find Another Love Like Mine,0.148,0.691,266200,0.718,0.934,110.623,0.0317,1,-8.457,0.108,2,4.81e-05,4,0
Killing Me Softly With His Song,0.727,0.476,286920,0.381,0.33,121.948,0.0342,0,-10.238,0.0614,5,0.0,4,0
What's Going On,0.447,0.283,233000,0.716,0.828,201.96,0.0986,0,-9.632,0.399,1,0.0,4,0
Rock Your Baby,0.0363,0.647,201400,0.557,0.889,105.649,0.0426,1,-13.06,0.0715,1,0.903,4,0
Midnight Train to Georgia,0.271,0.595,279333,0.379,0.448,92.006,0.0454,0,-12.058,0.1,10,2.81e-05,4,0
If You Don't Know Me by Now (feat. Teddy Pendergrass),0.721,0.345,205907,0.465,0.457,94.983,0.0355,1,-9.55,0.582,11,0.000371,3,0
Could It Be I'm Falling in Love,0.729,0.382,249733,0.727,0.826,207.265,0.0861,0,-6.677,0.196,9,0.0,4,0
Too Late To Turn Back Now,0.344,0.516,198693,0.73,0.907,115.126,0.0494,1,-7.136,0.425,7,0.0,4,0
Move on Up - Single Edit,0.417,0.538,165790,0.969,0.928,138.652,0.0906,0,-5.626,0.119,11,0.00154,4,0
If Loving You Is Wrong I Don't Want to Be Right,0.0555,0.519,237800,0.458,0.329,131.699,0.0583,0,-11.702,0.162,4,0.0,4,0
Mr. Big Stuff,0.29,0.886,164560,0.491,0.971,93.236,0.171,1,-12.589,0.229,8,2.46e-06,4,0
Just My Imagination (Running Away With Me),0.88,0.425,228160,0.242,0.477,92.472,0.0267,1,-15.424,0.195,0,0.0118,4,0
"Can't Get Enough Of Your Love, Babe",0.114,0.729,274000,0.78,0.795,111.833,0.0631,1,-7.604,0.0759,5,0.106,4,0
Ain't No Sunshine,0.457,0.527,125093,0.415,0.515,78.169,0.122,0,-11.451,0.117,4,1.72e-05,4,0
When Will I See You Again,0.732,0.564,178747,0.593,0.766,120.753,0.0328,1,-9.245,0.343,9,0.00366,4,0
Love Train,0.186,0.743,178400,0.572,0.675,122.658,0.0493,1,-9.627,0.163,0,1.44e-05,4,0
Use ta Be My Girl - Single Version,0.528,0.65,198173,0.614,0.872,111.477,0.0522,1,-7.367,0.167,1,0.0,4,0
How Can You Mend a Broken Heart,0.509,0.467,383503,0.42,0.365,146.512,0.0398,1,-6.957,0.0707,4,2.56e-05,3,0
Oh Girl,0.296,0.422,217520,0.486,0.53,134.587,0.0282,0,-9.866,0.108,0,0.0,4,0
Drift Away - Single Version,0.308,0.521,237467,0.443,0.596,76.228,0.0395,1,-8.188,0.475,11,0.0,4,0
You Are The Sunshine Of My Life,0.823,0.519,178200,0.46,0.675,132.082,0.0688,1,-14.53,0.243,11,5.97e-05,4,0
Easy,0.112,0.589,256427,0.384,0.354,132.909,0.0332,0,-15.075,0.0596,10,2.8e-05,4,0
Hercules,0.778,0.657,249227,0.492,0.966,166.646,0.0404,0,-11.677,0.113,8,0.000223,4,0
Never Can Say Goodbye,0.337,0.527,179773,0.821,0.835,166.139,0.047,1,-7.19,0.394,2,1.68e-06,4,0
I'm Gonna Love You Just A Little More Baby,0.0111,0.606,431507,0.486,0.809,87.567,0.041,0,-13.553,0.0757,7,0.00145,4,0
For the Love of Money,0.236,0.679,439867,0.802,0.894,97.375,0.0406,1,-7.739,0.132,0,2.33e-06,4,0
Close the Door,0.407,0.542,325493,0.499,0.655,178.281,0.0671,0,-10.423,0.0771,5,0.0005,4,0
Theme From Shaft - Remastered 2009,0.233,0.487,279200,0.716,0.819,120.795,0.0463,0,-17.689,0.113,9,0.00445,4,0
Let's Get It On,0.0948,0.541,291360,0.647,0.642,168.809,0.0599,1,-9.715,0.0576,3,4.3e-06,4,0
You Are Everything,0.0306,0.521,190440,0.525,0.495,150.392,0.0463,1,-9.581,0.145,10,2.2e-05,4,0
Rock the Boat,0.256,0.596,202573,0.58,0.884,107.182,0.0446,1,-9.72,0.1,3,0.0,4,0
When Somebody Loves You Back,0.392,0.71,296880,0.581,0.919,97.746,0.0612,0,-9.108,0.128,9,0.0,4,0
Tired of Being Alone,0.339,0.772,172320,0.397,0.617,97.964,0.0391,1,-8.585,0.0753,7,0.00541,4,0
It's A Shame,0.0947,0.372,190058,0.642,0.705,198.731,0.0594,1,-11.955,0.117,11,0.0,4,0
Ain't No Love In The Heart Of The City - Single Version,0.933,0.518,233560,0.376,0.744,158.089,0.0431,0,-18.248,0.0976,9,0.86,4,0
You Make Me Feel Brand New,0.849,0.453,288440,0.359,0.178,76.015,0.0247,1,-8.567,0.137,7,3.02e-05,4,0
Back Stabbers,0.317,0.751,186093,0.714,0.935,124.379,0.0374,1,-11.614,0.639,10,0.0,4,0
Where Is the Love,0.369,0.558,166400,0.439,0.605,114.969,0.0281,1,-13.443,0.161,8,1.78e-05,4,0
Don't Leave Me This Way (feat. Teddy Pendergrass),0.278,0.472,363973,0.71,0.527,120.052,0.0599,1,-8.852,0.103,0,1.36e-06,4,0
Now That We Found Love,0.249,0.713,281200,0.645,0.961,113.903,0.0396,1,-8.404,0.273,0,4.17e-06,4,0
Neither One Of Us (Wants To Be The First To Say Goodbye),0.685,0.511,264267,0.346,0.599,140.29,0.0388,1,-14.28,0.294,5,0.000124,4,0
Pusherman,0.238,0.85,300693,0.669,0.91,126.624,0.0379,1,-9.562,0.108,10,0.0855,4,0
Woman To Woman,0.661,0.595,238000,0.309,0.469,124.918,0.0593,1,-10.422,0.458,8,0.000149,4,0
Lady Love,0.372,0.657,242387,0.673,0.789,90.328,0.0573,1,-7.685,0.049,0,0.000991,4,0
The Love I Lost (feat. Teddy Pendergrass),0.119,0.665,384613,0.859,0.639,123.387,0.0671,1,-4.532,0.0769,2,0.0,4,0
Whatcha See Is Whatcha Get,0.249,0.641,214973,0.74,0.914,152.939,0.118,1,-8.425,0.281,6,0.0,4,0
Take Me to the River,0.218,0.786,225373,0.418,0.94,119.101,0.0432,1,-11.115,0.134,9,0.000158,4,0
Wake Up Everybody (feat. Teddy Pendergrass),0.426,0.565,452773,0.644,0.633,97.716,0.0696,1,-8.116,0.264,6,0.0,4,0
Respect Yourself,0.16,0.828,211680,0.669,0.926,109.964,0.0254,0,-8.637,0.0756,6,0.00333,4,0
"That Lady, Pts. 1 & 2",0.261,0.344,334387,0.769,0.923,126.318,0.0606,0,-9.112,0.335,5,0.000122,4,0
Your Song,0.408,0.497,390987,0.73,0.704,131.188,0.0511,0,-8.514,0.0928,0,2.14e-06,4,0
I Love Music,0.0523,0.643,413067,0.838,0.923,127.612,0.0455,0,-8.063,0.328,0,6.15e-05,4,0
TSOP (The Sound of Philadelphia),0.0249,0.654,227160,0.925,0.963,113.403,0.0268,0,-4.365,0.0572,7,0.0022,4,0
Love the One You're With,0.367,0.75,223520,0.78,0.738,94.864,0.036,1,-7.861,0.153,4,2.67e-06,4,0
Thin Line Between Love and Hate,0.756,0.523,207653,0.431,0.435,118.687,0.0426,0,-9.187,0.0459,8,0.0,4,0
Hang On In There Baby,0.336,0.593,233720,0.855,0.648,96.183,0.0775,1,-8.421,0.126,7,2.1e-05,4,0
Woman's Gotta Have It,0.567,0.506,210453,0.59,0.735,83.627,0.0302,0,-8.922,0.17,11,2.1e-05,4,0
L-O-V-E (Love),0.019,0.665,189307,0.468,0.699,109.432,0.027,1,-9.558,0.0987,5,0.0,4,0
Wake up Everybody (feat. Teddy Pendergrass),0.444,0.503,211427,0.552,0.481,96.384,0.0888,1,-10.073,0.16,6,0.0,4,0
Masterpiece,0.153,0.789,830400,0.392,0.895,119.0,0.0345,0,-15.395,0.0299,10,0.476,4,0
It Should Have Been Me,0.634,0.663,213213,0.485,0.871,184.804,0.149,1,-9.468,0.28,10,0.000463,4,0
Drowning in the Sea of Love,0.392,0.603,203107,0.448,0.509,119.717,0.0934,0,-10.548,0.105,9,0.0157,4,0
Enjoy Yourself,0.171,0.601,204413,0.643,0.822,203.669,0.224,0,-8.912,0.536,9,0.0,4,0
Starting All Over Again,0.686,0.624,230920,0.326,0.486,137.812,0.0349,1,-10.617,0.108,11,0.103,4,0
You're A Big Girl Now,0.435,0.431,198000,0.479,0.746,71.576,0.0371,1,-9.759,0.277,6,0.0,4,0
Don't Let the Green Grass Fool You,0.442,0.573,169707,0.707,0.961,152.467,0.0632,0,-8.29,0.123,6,0.000241,4,0
