songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Snooze,0.141,0.559,201800,0.551,0.392,143.008,0.132,1,-7.231,0.11,5,0.0,4,0
Future Sex Sounds,0.578,0.415,186122,0.47,0.579,78.064,0.289,0,-6.952,0.207,5,0.0,4,0
Hold On,0.849,0.7,406467,0.414,0.444,60.479,0.0373,1,-10.864,0.107,0,0.0606,4,0
Focus,0.25,0.414,200133,0.314,0.09,84.993,0.0548,0,-12.943,0.117,1,1.47e-05,4,0
Who Hurt You?,0.586,0.649,231964,0.493,0.277,104.542,0.11,0,-7.645,0.0667,11,0.000167,4,0
Girl With The Tattoo Enter.lewd,0.856,0.372,102813,0.239,0.127,113.451,0.0296,0,-11.314,0.168,6,0.000175,4,0
ALL MINE,0.428,0.617,216063,0.378,0.22,141.967,0.0315,1,-8.54,0.11,9,9.16e-05,4,0
CPR,0.637,0.693,203240,0.369,0.141,140.148,0.175,0,-12.683,0.0951,7,0.00335,4,0
Sativa,0.316,0.741,276960,0.61,0.72,125.99,0.0511,0,-7.34,0.534,6,0.0,4,0
Good & Plenty - Remix,0.811,0.629,204706,0.579,0.363,135.86,0.107,0,-6.543,0.0813,9,0.00366,4,0
Every Kind Of Way,0.635,0.416,160173,0.298,0.191,95.386,0.0442,1,-8.499,0.136,7,2.16e-06,4,0
2AM,0.438,0.504,242823,0.267,0.392,83.966,0.406,0,-13.678,0.141,9,0.0,4,0
Rain,0.337,0.643,264507,0.486,0.146,138.151,0.0278,0,-10.443,0.702,4,3.86e-06,3,0
One Night Only,0.263,0.874,195910,0.402,0.764,119.99,0.0691,1,-5.786,0.147,4,0.00094,4,0
Skin Tight (feat. Steve Lacy),0.246,0.468,227000,0.52,0.46,174.082,0.0329,0,-7.964,0.078,3,0.00259,3,0
Garden Kisses,0.915,0.478,195406,0.373,0.354,120.129,0.0317,1,-9.505,0.128,5,6.36e-06,4,0
Comfortable,0.629,0.429,255066,0.4,0.357,72.487,0.0882,0,-11.679,0.087,5,3.25e-05,4,0
Kickin’ Back,0.31,0.703,202435,0.669,0.546,115.139,0.0648,0,-7.002,0.115,11,0.0,4,0
Hrs & Hrs,0.579,0.52,204317,0.546,0.634,137.419,0.213,0,-4.991,0.112,8,0.0,3,0
Get It Together,0.625,0.791,291400,0.186,0.317,114.061,0.0333,1,-11.367,0.0574,10,2.67e-06,4,0
Rehab (Winter In Paris),0.809,0.549,180304,0.242,0.286,144.211,0.038,1,-11.692,0.127,5,8.1e-05,4,0
On The Way (feat. Mila J),0.756,0.575,222600,0.443,0.658,113.862,0.28,0,-11.626,0.109,7,0.0,4,0
Say Yes,0.211,0.747,268373,0.398,0.428,117.901,0.0743,0,-12.932,0.113,5,1.42e-06,1,0
"Any Time, Any Place",0.604,0.571,428200,0.232,0.207,128.785,0.0699,1,-11.309,0.119,10,0.000246,4,0
All For You,0.493,0.738,183354,0.511,0.743,138.654,0.0616,0,-9.879,0.205,11,0.0244,4,0
Damage,0.113,0.646,223415,0.696,0.18,81.336,0.065,1,-6.505,0.115,1,0.0,4,0
F.U.C.K.,0.709,0.761,205374,0.397,0.464,127.971,0.0516,0,-9.48,0.166,8,0.105,4,0
CUFF IT - WETTER REMIX,0.434,0.66,249407,0.688,0.65,118.05,0.0564,1,-6.34,0.489,7,0.0,4,0
Mad Riches,0.948,0.395,116129,0.241,0.248,77.873,0.045,0,-11.555,0.117,3,0.000418,4,0
Better Than I Imagined (Feat. H.E.R. & Meshell Ndegeocello),0.0252,0.646,299367,0.483,0.407,143.866,0.0631,0,-9.147,0.0887,10,0.0161,4,0
B.E.D.,0.00368,0.739,236147,0.536,0.193,122.022,0.0587,1,-6.501,0.0968,1,0.0,4,0
That's Why I Love You,0.324,0.529,241747,0.494,0.531,120.073,0.438,0,-6.081,0.13,3,0.0,4,0
Take You There,0.885,0.411,243307,0.302,0.257,78.187,0.0446,0,-12.444,0.0839,1,7.24e-05,4,0
Superstar,0.127,0.673,191573,0.592,0.705,142.222,0.0537,0,-5.196,0.336,6,0.0,3,0
Water,0.434,0.771,122813,0.513,0.51,142.049,0.0778,0,-7.156,0.0985,8,1.21e-05,4,0
I Just Died,0.0831,0.716,209560,0.601,0.643,109.852,0.0514,0,-10.808,0.0401,1,0.0016,4,0
Fire & Desire,0.0671,0.722,238120,0.252,0.275,79.923,0.0761,0,-14.411,0.0852,1,0.0,4,0
I'm Baby (ft. Jvck James),0.136,0.521,202756,0.565,0.261,114.562,0.0681,0,-9.596,0.134,11,1.65e-06,4,0
Too Deep,0.286,0.616,200223,0.243,0.562,183.948,0.106,1,-13.975,0.264,9,0.143,4,0
On It,0.315,0.422,205000,0.377,0.227,128.441,0.0376,0,-6.7,0.107,1,0.0,3,0
Vixen,0.392,0.427,181533,0.499,0.338,82.523,0.0601,0,-6.213,0.389,0,0.0,4,0
PERSIAN RUGS,0.0489,0.768,174307,0.428,0.147,110.478,0.0459,0,-8.156,0.105,1,0.000491,4,0
Peak (Fed Up),0.346,0.522,188243,0.263,0.196,99.648,0.0909,0,-8.513,0.111,8,0.0,3,0
Hate the Club (feat. Masego),0.456,0.663,278715,0.626,0.494,105.026,0.0567,1,-4.756,0.0984,1,7.25e-06,4,0
Like Her Too,0.538,0.66,177533,0.379,0.629,124.034,0.0395,0,-7.739,0.109,10,2.12e-06,3,0
Take You Down,0.107,0.387,245933,0.64,0.617,59.989,0.081,0,-5.817,0.319,11,0.0,4,0
Caretaker (feat. SZA),0.78,0.614,171373,0.275,0.165,130.664,0.186,0,-12.804,0.119,2,0.0,4,0
Ooh Nah Nah (feat. Masego),0.052,0.85,240000,0.273,0.572,116.894,0.278,0,-11.567,0.104,7,2.22e-06,4,0
