songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
We Might Even Be Falling In Love (Duet) - Spotify Singles,0.473,0.731,90111,0.423,0.78,76.964,0.0784,1,-10.147,0.129,6,0.000413,4,0
Falling Behind,0.942,0.449,173640,0.353,0.55,165.888,0.0915,1,-12.986,0.109,7,0.0786,4,0
Distance,0.68,0.601,255800,0.511,0.469,139.955,0.038,1,-7.297,0.0732,0,0.252,4,0
Moonlight,0.511,0.639,187558,0.723,0.878,136.872,0.0532,0,-6.462,0.167,7,0.0,4,0
My Love Mine All Mine,0.868,0.504,137773,0.308,0.121,113.95,0.0321,1,-14.958,0.158,9,0.135,4,0
Red Room,0.631,0.687,232053,0.361,0.453,80.935,0.0501,1,-9.782,0.117,7,0.00479,4,0
A Dream With a Baseball Player,0.488,0.617,221187,0.371,0.588,139.931,0.0356,1,-10.364,0.069,1,0.00582,4,0
Choose You,0.873,0.426,251501,0.237,0.198,85.465,0.08,0,-12.03,0.1,3,0.011,4,0
Fragile,0.931,0.361,241080,0.413,0.336,149.301,0.065,1,-12.43,0.231,3,0.000179,4,0
Grass is Grass,0.84,0.379,250000,0.522,0.56,130.426,0.0674,1,-11.138,0.4,2,0.0101,4,0
Masterpiece,0.65,0.752,344681,0.45,0.836,76.49,0.0755,1,-5.2,0.0925,7,0.269,4,0
Lexicon,0.0419,0.624,177733,0.9,0.579,102.998,0.0315,0,-5.115,0.0771,2,0.000243,4,0
Nightrider,0.0774,0.729,300991,0.571,0.582,81.486,0.0869,0,-9.188,0.0994,11,0.213,4,0
Chocolate Hills,0.594,0.675,190433,0.28,0.218,129.942,0.0632,1,-11.854,0.109,3,0.00916,4,0
After Hours - Yu Su Remix,0.482,0.665,348094,0.42,0.496,90.001,0.0468,0,-18.655,0.106,5,0.895,4,0
I Can Only Whisper (feat. BADBADNOTGOOD),0.192,0.611,164693,0.446,0.465,84.938,0.0355,1,-9.297,0.281,2,0.0363,4,0
Asking To Break,0.709,0.579,172844,0.558,0.16,138.015,0.0274,0,-10.443,0.108,4,0.738,4,0
Can't Fight,0.0772,0.737,190560,0.522,0.768,86.985,0.0485,0,-9.205,0.152,6,0.00347,4,0
Fight for Love,0.42,0.836,297717,0.411,0.845,90.876,0.0325,0,-9.084,0.0913,6,0.382,4,0
Back On 74,0.207,0.62,209483,0.761,0.194,146.003,0.175,0,-7.282,0.269,10,0.000147,4,0
Reckless & Sweet,0.432,0.674,159680,0.548,0.378,195.937,0.0898,0,-8.537,0.0751,0,0.091,4,0
Too Much to Ask,0.814,0.614,227253,0.27,0.194,171.911,0.132,1,-15.648,0.114,4,0.0134,4,0
And We Go Gentle,0.299,0.587,203267,0.584,0.525,71.826,0.0395,0,-7.594,0.109,4,2.53e-05,4,0
Bliss,0.0878,0.766,173775,0.362,0.517,72.988,0.0377,1,-6.477,0.119,0,0.0,4,0
Thin Line,0.481,0.572,258120,0.631,0.267,132.008,0.0359,1,-14.218,0.343,5,0.801,4,0
Addicted,0.241,0.453,204175,0.507,0.153,134.023,0.0519,1,-10.098,0.16,2,0.0107,4,0
Green Eyes,0.324,0.618,197525,0.75,0.864,88.179,0.0641,0,-6.938,0.431,5,0.0168,4,0
Lemon Squeezy,0.583,0.743,212762,0.482,0.613,95.003,0.0264,1,-5.427,0.226,2,1.29e-06,4,0
Why Why Why Why Why,0.338,0.805,238679,0.61,0.686,114.762,0.0357,0,-6.64,0.112,9,0.0616,4,0
Sorrow,0.539,0.825,140899,0.345,0.332,98.0,0.055,0,-8.74,0.0941,4,0.00459,4,0
Live Inside,0.439,0.793,207680,0.283,0.571,92.956,0.0859,1,-8.933,0.0453,8,0.000391,4,0
interested,0.861,0.833,193140,0.288,0.23,126.002,0.0783,1,-11.599,0.138,8,0.000155,4,0
Heartquake,0.626,0.58,218373,0.481,0.373,99.984,0.12,0,-8.424,0.143,1,0.581,4,0
Impurities,0.177,0.681,229203,0.718,0.432,88.921,0.0883,1,-5.763,0.326,9,0.165,4,0
I'll Come Too,0.757,0.661,222400,0.472,0.206,73.986,0.164,1,-7.889,0.192,7,0.00275,4,0
SULA (Paperback),0.672,0.277,255907,0.29,0.281,84.68,0.0313,0,-10.772,0.12,8,1.61e-06,4,0
Evil Spider,0.309,0.826,153213,0.635,0.538,105.971,0.106,0,-5.844,0.139,6,0.0,4,0
Do You Love Her Now,0.545,0.658,274995,0.336,0.337,160.014,0.0651,1,-10.96,0.0939,2,0.0237,4,0
Wildfires,0.108,0.862,206947,0.314,0.502,114.472,0.0369,0,-8.269,0.0878,3,0.156,4,0
Hold On,0.963,0.303,200597,0.243,0.146,102.519,0.0407,1,-15.443,0.103,11,0.154,3,0
Own Your Own,0.386,0.654,236093,0.377,0.302,82.113,0.177,1,-9.505,0.107,2,0.0129,4,0
Cut Me,0.88,0.507,250120,0.305,0.367,166.104,0.0355,1,-11.152,0.103,6,0.00317,4,0
Caroline,0.376,0.596,216933,0.576,0.485,160.176,0.0388,1,-7.955,0.107,10,0.0904,4,0
For Granted,0.119,0.722,161947,0.613,0.398,92.495,0.0411,1,-8.394,0.112,0,0.083,4,0
Where Do You Go,0.705,0.637,237493,0.647,0.333,149.936,0.0423,1,-10.584,0.0915,0,0.176,4,0
Cashmere,0.576,0.646,183947,0.663,0.646,75.94,0.247,0,-4.426,0.112,11,0.0,4,0
Love from NGC 7318,0.914,0.525,168272,0.269,0.0998,76.665,0.0744,0,-9.909,0.121,7,0.00141,5,0
Saturday Yawning,0.722,0.772,148462,0.576,0.853,156.049,0.055,1,-9.214,0.318,5,1.05e-05,4,0
Hope,0.404,0.59,270067,0.521,0.423,99.165,0.0335,0,-8.823,0.357,1,0.000101,4,0
D>E>A>T>H>M>E>T>A>L,0.823,0.263,261850,0.796,0.256,87.014,0.044,0,-7.29,0.102,5,0.523,4,0
Stay Away (From Me),0.31,0.74,177402,0.611,0.106,108.042,0.0912,1,-10.842,0.111,6,0.255,4,0
Love Will Work It Out,0.197,0.629,225461,0.498,0.591,82.108,0.0823,0,-10.313,0.206,2,0.00045,4,0
Trippin,0.354,0.661,172436,0.602,0.642,98.058,0.0583,0,-6.38,0.155,0,1.96e-05,4,0
Skylight,0.0411,0.524,240449,0.566,0.362,159.914,0.0364,1,-5.443,0.25,1,0.0,4,0
You're Too Precious,0.886,0.684,223900,0.477,0.297,149.89,0.14,1,-9.458,0.103,1,0.366,3,0
Hurt,0.715,0.675,216095,0.38,0.7,94.92,0.0315,0,-8.622,0.174,4,0.000201,4,0
CooCool,0.139,0.761,271113,0.668,0.568,118.005,0.0482,0,-7.164,0.175,6,0.000561,4,0
Bayou,0.567,0.686,133377,0.362,0.663,160.023,0.0584,0,-10.094,0.106,2,0.77,4,0
Signs,0.179,0.764,179694,0.506,0.59,93.983,0.0307,1,-8.754,0.0829,5,0.000599,4,0
Rain,0.678,0.629,228695,0.4,0.569,79.372,0.0333,0,-11.336,0.0992,4,0.000104,4,0
Ordinary Love,0.0737,0.546,263349,0.85,0.439,105.991,0.0347,0,-5.818,0.247,9,0.178,4,0
Home,0.0344,0.703,156293,0.661,0.558,97.012,0.0787,1,-7.554,0.198,7,0.00932,4,0
The Loop,0.284,0.483,241173,0.595,0.834,172.911,0.0647,0,-8.148,0.161,0,0.0298,4,0
Je Suis La Pomme Rouge,0.335,0.427,270265,0.613,0.299,93.823,0.0348,1,-8.376,0.366,2,0.000971,4,0
elevator girl ft. Ivy Sole,0.0832,0.671,206658,0.423,0.653,81.952,0.0666,0,-9.511,0.0528,10,0.00268,4,0
Bless Me,0.745,0.398,299813,0.509,0.264,136.705,0.0393,1,-7.687,0.126,0,0.0022,4,0
Hold U,0.00693,0.838,256665,0.402,0.595,107.019,0.0333,0,-11.474,0.067,9,0.00417,4,0
Unconditional,0.235,0.72,189004,0.81,0.893,164.062,0.118,0,-6.618,0.594,11,0.00396,4,0
Hold On,0.0103,0.744,210922,0.615,0.444,118.965,0.0394,1,-8.756,0.134,0,0.00113,4,0
A day in the water,0.717,0.592,241661,0.524,0.232,139.637,0.136,1,-7.872,0.0997,0,0.00583,5,0
Low,0.125,0.651,274424,0.535,0.565,79.538,0.06,1,-8.727,0.158,1,0.184,4,0
Fall Again,0.712,0.327,250328,0.283,0.253,79.066,0.0366,0,-13.42,0.0984,9,0.486,4,0
Shine,0.0656,0.535,182710,0.597,0.128,183.897,0.0537,1,-7.958,0.164,8,0.00814,4,0
Sinking,0.829,0.804,192000,0.243,0.674,100.127,0.0471,0,-11.819,0.337,7,0.000882,4,0
Mormor,0.648,0.473,240262,0.438,0.495,82.257,0.0333,1,-7.264,0.135,0,0.000231,4,0
Lost in Translation,0.366,0.36,246325,0.369,0.15,170.104,0.0849,1,-11.398,0.128,0,0.000143,4,0
Close to You,0.957,0.288,120509,0.0668,0.046,65.254,0.0482,1,-17.446,0.0995,9,0.114,3,0
Polite,0.0476,0.722,204792,0.559,0.62,99.996,0.0446,0,-10.496,0.361,7,0.213,4,0
Move into Me,0.611,0.684,258360,0.531,0.319,105.031,0.0378,1,-9.184,0.104,9,0.195,4,0
Dream Free,0.469,0.64,258026,0.672,0.847,79.195,0.0324,1,-8.304,0.073,7,0.71,4,0
Everything Will Be Okay,0.894,0.702,140825,0.433,0.411,149.857,0.185,0,-9.906,0.0911,6,0.163,4,0
Into the Wave,0.564,0.597,198843,0.562,0.532,83.987,0.0398,1,-9.915,0.104,7,0.898,4,0
Hold Up,0.4,0.668,208685,0.489,0.775,179.886,0.0517,0,-6.581,0.0487,4,0.249,4,0
Look To Him,0.347,0.733,251533,0.639,0.415,94.014,0.0969,0,-7.971,0.301,11,0.011,4,0
Somebody Else,0.114,0.606,264467,0.63,0.264,150.019,0.0326,1,-6.493,0.216,0,0.000221,4,0
Almost Went Too Far,0.29,0.706,384987,0.357,0.721,81.492,0.106,1,-14.15,0.733,11,0.298,4,0
Eat You Alive,0.755,0.693,190000,0.475,0.591,97.95,0.0419,0,-7.839,0.302,2,0.643,4,0
Water,0.628,0.476,190588,0.449,0.334,203.839,0.118,0,-8.996,0.0962,8,0.0977,4,0
Oceans,0.467,0.659,279573,0.387,0.0779,114.989,0.0335,0,-13.172,0.0839,6,0.692,4,0
blame game,0.925,0.698,209413,0.328,0.171,94.541,0.0353,1,-7.674,0.0914,2,0.0,3,0
BKLYNLDN,0.0649,0.585,240732,0.331,0.426,121.068,0.0715,1,-11.313,0.339,7,0.000268,4,0
Magdalena,0.767,0.501,192053,0.298,0.0424,110.099,0.0415,1,-14.964,0.145,1,0.019,4,0
Native Nomad - Radio Edit,0.545,0.255,269488,0.433,0.0653,165.336,0.0614,0,-10.802,0.102,8,0.117,4,0
Ooh La La,0.0407,0.807,228213,0.672,0.788,119.967,0.0518,0,-7.364,0.123,2,0.0364,4,0
Ocean,0.352,0.687,261614,0.695,0.799,100.045,0.0284,1,-9.42,0.0817,5,0.82,4,0
Busy,0.0888,0.754,239500,0.655,0.695,124.986,0.0494,0,-6.872,0.335,11,0.0342,4,0
Tuesday,0.0171,0.667,172320,0.573,0.565,149.908,0.0506,1,-7.947,0.146,9,1.56e-05,4,0
Saturated,0.359,0.799,168213,0.41,0.447,140.003,0.0498,0,-11.812,0.0879,9,0.0924,4,0
Water - FKJ Remix,0.243,0.792,199103,0.458,0.415,113.503,0.111,0,-8.222,0.104,5,0.00532,5,0
Walking Flames,0.824,0.677,250383,0.505,0.077,117.259,0.0508,1,-12.274,0.219,10,0.243,4,0
