songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Let Me Go,0.723,0.602,216524,0.478,0.425,152.957,0.0629,0,-8.439,0.108,7,0.00479,4,0
2 Step In The Living Room,0.208,0.654,270080,0.544,0.448,97.029,0.0357,1,-8.194,0.113,6,0.00557,4,0
Distance,0.68,0.601,255800,0.511,0.469,139.955,0.038,1,-7.297,0.0732,0,0.252,4,0
Desire,0.65,0.622,293979,0.229,0.206,113.477,0.0504,0,-12.052,0.125,7,0.0786,5,0
DO 4 LOVE,0.913,0.367,189463,0.142,0.1,69.827,0.0319,0,-12.717,0.107,6,0.00367,4,0
Good Bye,0.061,0.716,250435,0.633,0.445,138.035,0.048,1,-8.159,0.0757,3,0.00122,4,0
Back On 74,0.207,0.62,209483,0.761,0.194,146.003,0.175,0,-7.282,0.269,10,0.000147,4,0
Wait,0.135,0.662,215770,0.695,0.629,95.986,0.0743,0,-7.086,0.0736,1,0.0,4,0
How Much Can A Heart Take (feat. Yebba),0.324,0.661,302240,0.693,0.613,82.058,0.196,0,-6.553,0.0959,6,0.0336,4,0
Waterfall (I Adore You),0.518,0.455,292940,0.549,0.219,152.02,0.0616,1,-10.255,0.261,1,0.0657,4,0
Good & Plenty,0.788,0.658,204706,0.619,0.354,136.077,0.0772,0,-7.316,0.0951,9,0.0667,4,0
When I'm in Your Arms,0.476,0.596,335310,0.462,0.655,173.866,0.0589,1,-10.605,0.112,0,0.0581,4,0
Closer To God (feat. Teyana Taylor),0.233,0.551,246604,0.569,0.618,143.766,0.0401,0,-5.744,0.252,9,9.99e-06,4,0
Through The Night (feat. Free Nationals),0.689,0.468,258024,0.38,0.406,129.897,0.0309,1,-6.326,0.114,1,5.98e-05,3,0
Waiting For You (feat. Naomi Sharon),0.531,0.776,219999,0.537,0.586,82.02,0.0406,0,-5.459,0.111,10,0.0316,4,0
TODAY,0.848,0.494,241667,0.406,0.0853,159.957,0.0559,0,-8.472,0.0765,0,5.63e-06,4,0
How Does It Make You Feel,0.355,0.456,216436,0.511,0.179,80.082,0.0304,1,-8.685,0.221,7,0.000468,3,0
PATTERNS,0.75,0.566,224051,0.378,0.328,49.931,0.456,1,-12.745,0.129,7,0.0,4,0
Better Than I Imagined (Feat. H.E.R. & Meshell Ndegeocello),0.0252,0.646,299367,0.483,0.407,143.866,0.0631,0,-9.147,0.0887,10,0.0161,4,0
Lost,0.526,0.486,208933,0.459,0.428,133.688,0.0294,0,-6.768,0.12,9,0.000505,4,0
Promises,0.289,0.797,264827,0.266,0.683,92.011,0.0415,1,-13.758,0.0969,1,0.0368,4,0
Lying To You,0.252,0.727,238571,0.456,0.783,84.018,0.0564,0,-9.324,0.0884,10,0.121,4,0
Back to your Place,0.166,0.551,202827,0.571,0.299,141.859,0.0381,0,-4.2,0.0949,1,0.0,3,0
Times It By Two,0.0532,0.672,205743,0.689,0.322,137.997,0.0593,1,-6.751,0.0483,9,5.59e-06,4,0
Messy,0.803,0.6,223232,0.443,0.446,146.008,0.0308,1,-10.756,0.0911,9,0.0565,4,0
no spine,0.533,0.708,182200,0.405,0.633,59.988,0.0579,1,-8.003,0.142,9,0.000188,4,0
My Phone Can Die,0.221,0.63,179509,0.432,0.339,122.119,0.0369,0,-7.071,0.103,6,9e-05,4,0
"Hollywood (feat. Earth, Wind & Fire + Hazel Monét)",0.66,0.576,217633,0.587,0.428,82.946,0.0555,1,-8.24,0.629,9,0.000211,4,0
Forever,0.608,0.563,196006,0.367,0.373,89.986,0.0971,1,-10.258,0.13,6,0.00148,4,0
Mad At Fire,0.88,0.708,231532,0.339,0.423,109.885,0.037,0,-9.49,0.258,7,0.0238,4,0
Wait A Little Longer,0.46,0.53,208665,0.387,0.312,95.689,0.0913,0,-11.613,0.165,2,0.00128,4,0
black like you,0.727,0.74,186056,0.394,0.511,84.04,0.174,0,-8.903,0.0914,10,1.49e-05,4,0
Back To Love [Feat. SiR & Alex Isley],0.207,0.568,201773,0.549,0.204,90.035,0.0547,0,-10.462,0.115,0,0.00211,4,0
Colors,0.879,0.549,248759,0.532,0.207,136.993,0.116,0,-9.623,0.125,9,0.0113,4,0
Right My Wrongs,0.504,0.328,140960,0.418,0.103,78.179,0.0325,1,-9.55,0.211,7,4.89e-05,3,0
Fight for Love,0.42,0.836,297717,0.411,0.845,90.876,0.0325,0,-9.084,0.0913,6,0.382,4,0
Can't Hide It,0.454,0.638,176277,0.483,0.41,94.036,0.0292,1,-10.461,0.119,5,0.0279,4,0
Good Morning (feat. Susan Carol),0.609,0.649,162039,0.47,0.882,83.012,0.0572,0,-8.64,0.103,7,0.0,4,0
Spend The Night,0.0515,0.849,193730,0.623,0.627,111.007,0.0463,0,-5.375,0.0817,9,2.97e-06,4,0
Why (Spare Me Tears),0.546,0.609,205229,0.448,0.672,138.038,0.0467,0,-9.083,0.0695,9,0.00349,4,0
Grow,0.103,0.672,180523,0.672,0.807,85.012,0.0847,1,-7.693,0.0823,9,0.000489,4,0
Feelings,0.536,0.741,202597,0.347,0.516,77.015,0.0562,1,-8.361,0.14,9,9.78e-05,4,0
Golden Child (Jealous),0.333,0.76,207240,0.587,0.868,99.137,0.0425,1,-10.224,0.0962,2,0.389,4,0
"SMILE (feat. Xavier Omär, DAISY WORLD & ROMderful)",0.0108,0.705,198881,0.673,0.515,142.785,0.0413,0,-6.115,0.101,7,0.000327,4,0
Don't Doubt It,0.62,0.561,182493,0.575,0.368,152.137,0.0745,1,-10.594,0.0934,2,0.0152,4,0
Queen Space (with Summer Walker),0.163,0.796,230841,0.604,0.546,135.038,0.0667,0,-6.193,0.0836,7,0.000169,4,0
For Granted (feat. Arin Ray),0.147,0.774,176842,0.613,0.344,95.011,0.0606,0,-8.713,0.111,11,0.00757,4,0
Choose You,0.873,0.426,251501,0.237,0.198,85.465,0.08,0,-12.03,0.1,3,0.011,4,0
Sleeper,0.306,0.477,244271,0.537,0.489,96.485,0.0545,1,-7.329,0.129,9,0.00221,4,0
SIDE OF YOU,0.558,0.647,168109,0.515,0.543,86.804,0.127,0,-7.27,0.111,3,0.000243,4,0
Pull Up,0.277,0.707,181920,0.362,0.262,138.221,0.171,1,-11.043,0.111,0,0.00024,4,0
AM/FM,0.637,0.57,165752,0.53,0.53,89.951,0.0403,1,-7.412,0.348,11,0.114,4,0
Bittersweet - Radio Edit,0.345,0.57,236640,0.409,0.304,137.8,0.0331,0,-7.555,0.219,5,0.000188,4,0
The Reason,0.688,0.677,204000,0.241,0.217,129.899,0.107,0,-10.32,0.112,4,0.0,3,0
Means The World,0.599,0.64,181131,0.666,0.748,73.068,0.29,0,-7.332,0.361,8,9.49e-05,4,0
Desperate Soul,0.848,0.41,127826,0.276,0.217,173.839,0.0631,0,-9.518,0.377,0,0.0,3,0
Trouble,0.691,0.648,130988,0.352,0.632,180.189,0.0643,0,-5.985,0.109,0,1.63e-06,3,0
Trouble,0.944,0.359,232258,0.196,0.317,91.034,0.0411,1,-13.254,0.101,7,0.0,4,0
What A Difference She Made,0.446,0.547,175427,0.352,0.517,82.275,0.0272,1,-8.297,0.0999,11,0.0,3,0
Smile,0.146,0.754,159529,0.528,0.602,87.333,0.0317,0,-7.715,0.118,0,0.0254,4,0
A Part,0.796,0.724,182434,0.36,0.5,74.967,0.0607,1,-9.313,0.101,6,0.0,4,0
Let's Stay Together,0.892,0.657,218254,0.289,0.277,89.847,0.0364,1,-9.996,0.11,5,0.00118,4,0
Forgot Your Name (feat. Cory Henry),0.00866,0.814,218973,0.563,0.411,110.991,0.0377,1,-9.074,0.117,9,0.00188,4,0
MIllion Shades,0.426,0.633,190130,0.772,0.335,154.034,0.476,1,-5.182,0.118,7,7.29e-06,4,0
Mama,0.137,0.576,220573,0.428,0.12,140.026,0.0311,1,-11.262,0.0931,5,0.0155,4,0
Crush You,0.205,0.837,256069,0.445,0.658,91.037,0.206,0,-9.411,0.662,11,0.0234,4,0
Stay,0.438,0.683,270031,0.219,0.151,139.468,0.0472,0,-12.254,0.116,10,0.0604,3,0
Taxi Driver,0.347,0.802,176454,0.297,0.868,88.444,0.21,0,-7.372,0.128,6,0.00513,4,0
