songTitle,Acousticness,Danceability,Duration,Energy,Valence,Tempo,Speechiness,Mode,Loudness,Liveness,Key,Instrumentalness,Time,Target
Someday,0.381,0.733,161530,0.551,0.503,132.853,0.0439,1,-6.958,0.342,7,0.000188,4,0
Be My Guest,0.0618,0.588,176571,0.599,0.748,101.924,0.0975,0,-4.385,0.117,5,0.000408,4,0
Falling or flying,0.403,0.62,204920,0.356,0.375,79.62,0.0975,1,-8.619,0.121,0,0.00014,4,0
Self,0.445,0.725,199615,0.417,0.975,151.947,0.0976,0,-10.635,0.0834,1,0.79,4,0
Good Ex,0.357,0.616,155762,0.602,0.349,150.886,0.245,0,-7.949,0.126,1,0.0,4,0
Is It A Crime?,0.397,0.65,142041,0.541,0.447,77.011,0.0508,0,-7.156,0.0838,10,0.0,4,0
Marking My Time,0.959,0.428,268038,0.26,0.364,81.074,0.0292,0,-8.751,0.0914,9,1.18e-06,4,0
blue,0.668,0.725,184500,0.258,0.173,127.876,0.255,0,-14.065,0.0955,11,2.63e-05,3,0
Passenger Princess,0.59,0.572,217431,0.507,0.709,132.947,0.0534,0,-9.555,0.302,1,0.0,4,0
Freudian Slips,0.518,0.556,164176,0.362,0.355,91.029,0.191,1,-13.661,0.149,10,0.037,4,0
Cardboard Box,0.04,0.579,161366,0.714,0.696,80.419,0.0584,1,-4.308,0.341,1,0.0,4,0
Poison,0.172,0.615,171133,0.737,0.528,95.924,0.154,0,-5.744,0.0995,8,0.000184,4,0
Waste My Time,0.0745,0.784,180732,0.531,0.436,120.053,0.0579,0,-5.874,0.093,5,2.03e-05,4,0
Rush,0.48,0.63,220000,0.369,0.456,167.932,0.296,0,-13.21,0.111,7,0.000412,4,0
Celebrate,0.34,0.773,201600,0.449,0.36,106.885,0.0424,0,-8.761,0.106,8,0.000386,3,0
QUESTIONS!!,0.184,0.767,84000,0.46,0.675,155.931,0.252,0,-10.147,0.153,0,0.0157,4,0
Promises,0.289,0.797,264827,0.266,0.683,92.011,0.0415,1,-13.758,0.0969,1,0.0368,4,0
After The Day Party,0.933,0.323,147692,0.261,0.241,86.441,0.0348,1,-13.651,0.13,11,0.00975,5,0
This Is,0.221,0.483,206429,0.492,0.328,168.79,0.157,0,-6.734,0.0907,0,0.0,4,0
Heaven,0.834,0.609,162768,0.159,0.43,69.183,0.129,1,-13.542,0.0781,8,0.00469,4,0
In Too Deep (feat. Kiana Ledé),0.605,0.661,232707,0.29,0.13,151.887,0.0453,1,-14.568,0.0629,9,0.0096,3,0
Worth It.,0.505,0.736,246813,0.483,0.606,109.932,0.0682,1,-7.85,0.351,8,1.39e-05,4,0
Fly Girl (feat. Missy Elliott),0.406,0.698,205385,0.846,0.726,103.968,0.0981,0,-3.735,0.204,8,0.0,4,0
Wet,0.00331,0.803,166000,0.634,0.658,120.092,0.0635,0,-4.666,0.0995,11,0.000243,4,0
Don't Get Ahead of Yourself,0.265,0.623,183987,0.442,0.697,79.007,0.072,0,-9.274,0.0979,10,0.0,5,0
Not Another Love Song,0.171,0.499,217801,0.612,0.218,157.218,0.127,0,-5.947,0.0993,4,4.99e-05,4,0
Go Baby,0.928,0.574,236236,0.176,0.497,78.929,0.213,0,-10.924,0.119,8,0.437,4,0
Woman,0.71,0.535,269413,0.649,0.796,86.761,0.205,1,-7.638,0.0973,1,0.000236,4,0
homies,0.784,0.646,225068,0.347,0.422,91.578,0.0327,1,-5.168,0.116,5,0.0,3,0
Uptown,0.834,0.49,199080,0.278,0.174,82.062,0.0375,1,-12.277,0.0707,10,0.0,4,0
